barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,hogares_por_poblacion,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,area_barrio_km2,densidad_poblacional,infraestructura_por_km2,outlier_flag,cluster_barrio,cluster_descripcion,categoria_infraestructura,tooltip_html
ALBERDI,5.905158990213171,7.983069338869889,6.105619914553568,0.0622439429309809,6.9216431379639705,4.18242961530017,8.217394470749506,-0.4889171865444709,3.3062764637183175,4.3848388648796695,1.59049755773519,5.916212314851698,1.6748596541598555,2.756901562842845,3.066934459356096,1.9005663680289615,0.10541661150517423,-0.41923022653073,1.379112474873584,-0.8218914554807127,-0.5719261113774959,0.8460434230488473,-0.49744243847086145,3.3503731135501913,0.29027091864054483,-0.4234929901623796,-31.408369589323,-64.2021742180649,1.106822645147727,1.2328091538638999,-0.5021727750176483,-1,0.3229879685276647,Suburbio Popular Consolidado,Media,<b>ALBERDI</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 32729.0<br>Score Infra: <b style='color:#e2e8f0'>Media</b>
ALBORADA NORTE,-0.48927544742157275,-0.3986197661743339,-0.3904461877873882,-0.7454469659930475,-0.5518009520794055,-0.660755964257503,-0.3185713204273574,-0.4889171865444709,0.5379940755699403,0.18167602888434883,-0.5490765103497621,-0.2853478608449372,-1.0370819712844137,1.4725598833702847,-1.2424653705764666,-0.4496412372007491,-0.7649522791493887,-0.41923022653073,-0.27727181040083376,2.6428988239083124,-0.647455543871472,-1.181972429259419,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,1.1558255181761345,-31.3416624086498,-64.2683019408073,-0.36660281679479395,0.28628292539132033,2.0784730944540204,1,-0.40822090466690975,Núcleo Urbano Consolidado,Muy Alta,<b>ALBORADA NORTE</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Urbano Consolidado</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
ALBORADA SUR,-0.48927544742157275,-0.3986197661743339,-0.39803505005647816,-0.8345960729383045,-0.5518009520794055,-0.660755964257503,-0.3185713204273574,-0.4889171865444709,-0.38476672047951876,-0.20042968347886214,-0.41006463586966635,-0.2853478608449372,-1.0370819712844137,1.4725598833702847,-1.2424653705764666,-0.4496412372007491,-0.7649522791493887,-0.41923022653073,-0.27727181040083376,1.1070875298528935,-0.647455543871472,-1.181972429259419,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,0.16048382293112595,-31.3620500617943,-64.2251144260463,-0.36660281679479395,0.28628292539132033,0.9948617554966095,1,-1.1394297778614841,Anillo Denso Residencial,Alta,<b>ALBORADA SUR</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
ALEJANDRO CENTENO,-0.3442404921356192,-0.27156639326546367,-0.3904461877873882,-0.841728001493925,-0.15846178944554357,0.031127689965021584,-0.3185713204273574,-0.4889171865444709,-0.10793848166468102,-0.20042968347886214,-0.4221526249548921,-0.2853478608449372,0.3188888414377209,0.6221174199357502,-0.3154133372887487,-0.4496412372007491,0.4505628957302597,-0.41923022653073,-0.27727181040083376,0.204030488948307,0.3579526394909614,0.8460434230488473,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,0.17930443845439734,-31.3582805289735,-64.231473963748,-0.25186886688943366,-0.3919089944699778,-0.15408239028286905,1,-1.1394297778614841,Anillo Denso Residencial,Alta,<b>ALEJANDRO CENTENO</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 1231.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
ALMIRANTE BROWN,-0.3863026132308615,-0.37342814913205796,-0.3069687028273993,0.017669389458352405,-0.15846178944554357,0.031127689965021584,-0.3185713204273574,-0.4889171865444709,-0.47704280008446465,-0.009376827297256658,-0.4523725976679564,-0.2853478608449372,1.6748596541598555,-1.28703913063157,-0.5092796134379041,-0.4496412372007491,0.7056710188531488,-0.41923022653073,-0.27727181040083376,-0.13845542962605137,1.7831063575330315,0.8460434230488473,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,0.08412589709385376,-31.4616440154167,-64.0911138850279,-0.32433241419808223,0.18784222432050568,0.13886148546769198,1,-1.1394297778614841,Anillo Denso Residencial,Alta,<b>ALMIRANTE BROWN</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 1019.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
ALTA CORDOBA,6.271416893712309,6.370258204315479,2.4174328517758754,-0.3959824667676401,5.938295231379316,3.8364877881889075,6.794733505553362,-0.4889171865444709,1.8298591900391827,0.9458874536107709,2.7388565208316336,2.8154322270033805,-1.0370819712844137,0.8303890436340036,3.123650657165689,1.8038806121176127,-0.05215017042366905,-0.41923022653073,0.5101895711230697,-0.9048252653597054,-0.647455543871472,0.8460434230488473,-0.49744243847086145,3.3503731135501913,0.29027091864054483,-0.6783778975346832,-31.3903799365102,-64.1842494728698,2.4836300440120502,0.06745442088110336,-0.5155203377017267,1,0.3229879685276647,Suburbio Popular Consolidado,Baja,<b>ALTA CORDOBA</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 34575.0<br>Score Infra: <b style='color:#e2e8f0'>Baja</b>
ALTAMIRA,0.6223946681286294,0.5296365574486623,-0.13242487063833155,-0.5849785734915849,-0.15846178944554357,-0.31481413714624074,0.037093920871678586,1.901887855657992,0.5379940755699403,-0.009376827297256658,0.0009269930280080778,-0.2853478608449372,-1.0370819712844137,-0.07212132572509328,1.3355436207686895,1.4097002226328827,-0.5173473361183492,0.4751840978646053,-0.27727181040083376,-0.6145569307832313,-0.647455543871472,0.8460434230488473,2.0102828441296667,-0.29847421946995023,0.29027091864054483,-0.5385676107903817,-31.4251579009481,-64.1312574377859,0.03194669340277324,0.3147407561250296,-0.4600225770679274,1,0.3229879685276647,Suburbio Popular Consolidado,Baja,<b>ALTAMIRA</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 6103.0<br>Score Infra: <b style='color:#e2e8f0'>Baja</b>
ALTO ALBERDI,5.457356125534105,5.023601980251203,2.5464435103504037,-0.2372970564050826,7.3149823005978325,4.528371442411432,8.573059712048542,1.901887855657992,3.3985525433232633,1.9011517345187983,1.681157475874383,5.916212314851698,1.6748596541598555,0.27499804710532894,2.993719004001892,1.8745355875912908,0.21796431288291954,-0.23925661247557106,1.5148816785846018,-0.800390097363937,-0.5657351742878258,0.8460434230488473,2.0102828441296667,3.3503731135501913,0.29027091864054483,-0.2756167253366761,-31.4077929131874,-64.219940676278,1.9401534391971855,0.1908558978533988,-0.5070902981117824,1,0.3229879685276647,Suburbio Popular Consolidado,Media,<b>ALTO ALBERDI</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 30472.0<br>Score Infra: <b style='color:#e2e8f0'>Media</b>
ALTO DE DON BOSCO,-0.4545543568948397,-0.39204803998939236,-0.40562391232556805,-0.9237451798835615,-0.5518009520794055,-0.660755964257503,-0.3185713204273574,-0.4889171865444709,-1.0306992777141402,-0.7735882520236786,-0.5490765103497621,-0.2853478608449372,-1.0370819712844137,-0.020053419800529944,-0.9341354952115856,-0.4496412372007491,-0.7649522791493887,-0.41923022653073,-0.27727181040083376,-1.0430482818246931,-0.647455543871472,-1.181972429259419,-0.49744243847086145,-0.29847421946995023,-3.445057481760149,-1.2338549214072352,-31.3869535266229,-64.2657645536358,0.09837161176903442,-1.2096290258455946,-0.5232478739925088,1,-1.1394297778614841,Anillo Denso Residencial,Muy Baja,<b>ALTO DE DON BOSCO</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 675.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
ALTO DE SANTA ANA,-0.28928196598759026,-0.2759475440554247,-0.25384666694377,-0.08217761032033552,-0.5518009520794055,-0.660755964257503,-0.3185713204273574,-0.4889171865444709,-0.47704280008446465,-0.39148253966046764,-0.16830485416515198,-0.2853478608449372,-1.0370819712844137,-0.5928003849707256,-0.10607900719152183,-0.4496412372007491,-0.7649522791493887,-0.41923022653073,-0.27727181040083376,-0.4317953867906364,-0.647455543871472,-1.181972429259419,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,-0.8375465316743496,-31.4064423364043,-64.2489468672371,-0.022400967078713176,-0.8952521511667587,-0.48215143099153085,1,-1.1394297778614841,Anillo Denso Residencial,Muy Baja,<b>ALTO DE SANTA ANA</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 1508.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
