barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,area_barrio_km2,densidad_poblacional,densidad_hogares,infraestructura_por_km2,educacion_ratio_publico_privado,servicios_basicos_score,tamano_promedio_hogar,cluster_barrio,cluster_descripcion,categoria_infraestructura,tooltip_html
1 DE MAYO,3.397195512891604,2.560454944934963,2.202029229100918,0.16883369876307763,0.8320298302692002,1.0758257193341945,0.3977986178312334,-0.48584923172746025,0.4533168296410579,-0.19473719256359964,-0.3149675279585204,-0.28378320797232354,1.682563641638338,2.568492187776073,0.6209718553965115,-0.49941130387521077,-0.4167327248757193,-0.2757577768833604,-0.9182151359681601,-0.5236302998930843,0.8528028654224415,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,-1.0190069133474329,0.0,0.0,0.28325560856813947,2.1888905712491757,1.5205387324893378,-0.5189558252442182,-0.040696876810483125,0.39709002759836504,0.5381702259006937,-0.5508448775795894,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Muy Baja,"<b>1 DE MAYO</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 19996.0<br>Score Infra: Muy Baja"
2 DE SEPTIEMBRE,-0.06385286628977761,-0.18320999953016476,0.5556222412652161,2.8813557249323947,-0.35247373213133265,-0.31179283249633316,-0.31679235383650955,1.9142459730061934,-0.008983983411548631,-0.19473719256359964,-0.5454591245138511,-0.28378320797232354,0.32441586554464696,0.47380747937004186,-0.44690291629477147,-0.4769796275526727,1.669885428591569,-0.2757577768833604,-0.39813039097117386,-0.1749403170219131,0.8528028654224415,2.0230629019273323,-0.2968260885977624,0.2968260885977624,0.011854339239590346,0.0,0.0,-0.25677370873409466,0.7855519263707749,0.1249006846848101,-0.19038789896959543,-0.040696876810483125,1.6956864290426572,2.0556867983101785,-0.5508448775795894,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Alta,"<b>2 DE SEPTIEMBRE</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 2624.0<br>Score Infra: Alta"
20 DE JUNIO,-0.45494416080584094,-0.39663060868262456,-0.19135870691950044,1.5640982965377526,-0.5498909925314214,-0.6586974704539651,-0.31679235383650955,1.9142459730061934,0.4533168296410579,0.18853042945400297,-0.515131282861834,-0.28378320797232354,-1.0337319105490443,-0.9481016478139537,-0.44690291629477147,-0.7611141943048213,3.2290985212218493,-0.2757577768833604,2.6410668946896796,-0.6477192617689459,-1.1726039399558572,2.0230629019273323,-0.2968260885977624,0.2968260885977624,2.350620806046399,0.0,0.0,-0.37812861149864163,1.9459661921469933,1.5573249031027778,5.36818999069155,-0.6046659617015194,0.39709002759836504,0.051491494007589275,1.8153931182840382,"Núcleo Consolidado (Alto Estándar, Alta Infraestructura)",Muy Alta,"<b>20 DE JUNIO</b><hr>Tipología: Núcleo Consolidado (Alto Estándar, Alta Infraestructura)<br>Pob: 661.0<br>Score Infra: Muy Alta"
23 DE ABRIL,-0.2122802806629142,-0.2734187106152251,0.12115373058635034,1.9665443749301936,-0.5498909925314214,-0.6586974704539651,-0.31679235383650955,-0.48584923172746025,-0.7486652842957191,-0.5780048145812022,-0.3634920746017479,-0.28378320797232354,0.32441586554464696,0.1291647736520047,-0.44690291629477147,-0.7611141943048213,-0.4167327248757193,-0.2757577768833604,-0.7954812728420275,0.012434015410637989,-1.1726039399558572,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,-1.070013069074395,0.0,0.0,-0.29318017956345876,0.6829420309359909,0.07184796082051452,-0.473013654792375,-0.6046659617015194,-0.9018959917281483,2.002015362206706,-0.5508448775795894,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Muy Baja,"<b>23 DE ABRIL</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 1879.0<br>Score Infra: Muy Baja"
25 DE MAYO,-0.4870204208247335,-0.39663060868262456,-0.16849194319956015,1.8300318285151365,0.4371953094690225,1.0758257193341945,-0.31679235383650955,-0.48584923172746025,0.08347617919897267,-0.5780048145812022,-0.5211968511922374,-0.28378320797232354,4.398859193825721,-1.2349599477828588,-0.44690291629477147,2.830571046205563,-0.4167327248757193,-0.2757577768833604,2.6410668946896796,9.279397688299984,0.8528028654224415,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,2.9471243746006617,0.0,0.0,-0.29318017956345876,-0.9069350288209035,-0.6272000549744027,0.9982330317806346,2.215179462753662,0.39709002759836504,-1.3422345080342082,1.8153931182840382,"Núcleo Consolidado (Alto Estándar, Alta Infraestructura)",Muy Alta,"<b>25 DE MAYO</b><hr>Tipología: Núcleo Consolidado (Alto Estándar, Alta Infraestructura)<br>Pob: 500.0<br>Score Infra: Muy Alta"
4 DE FEBRERO,-0.41649249506890756,-0.39278023686801833,-0.28282576179926167,0.45249613287228735,-0.5498909925314214,-0.6586974704539651,-0.31679235383650955,-0.48584923172746025,-0.8411254469062404,-0.38637100357240095,-0.47873787287941333,-0.28378320797232354,0.32441586554464696,-0.6839443643893505,-0.44690291629477147,-0.7611141943048213,-0.4167327248757193,-0.2757577768833604,-0.6819524494503552,0.8053624817973939,-1.1726039399558572,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,-0.9964568234470917,0.0,0.0,-0.25070596359586733,-0.7744875520041821,-0.7862334652265404,-0.4698989313719111,-0.6046659617015194,-0.9018959917281483,1.4722263477659732,-0.5508448775795894,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Muy Baja,"<b>4 DE FEBRERO</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 854.0<br>Score Infra: Muy Baja"
ACHAVAL PENA,-0.43641563793778493,-0.3867296525879228,-0.32855928923914224,-0.10419139406703662,-0.5498909925314214,-0.6586974704539651,-0.31679235383650955,-0.48584923172746025,-0.47128479646415516,-0.5780048145812022,-0.07234479474238271,-0.28378320797232354,-1.0337319105490443,-0.8118955485481432,-0.44690291629477147,-0.7611141943048213,-0.4167327248757193,-0.2757577768833604,0.18025293901072506,-0.6477192617689459,-1.1726039399558572,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,-0.43753673806006504,0.0,0.0,4.500338479636148,-1.4640295423976681,-1.2361943126588215,-0.5247605370732646,-0.6046659617015194,-0.9018959917281483,0.31759793688190463,-0.5508448775795894,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Baja,"<b>ACHAVAL PENA</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 754.0<br>Score Infra: Baja"
ACOSTA,0.5115274997634016,0.3288894518124643,0.6394670415716639,0.6811989703728375,0.8320298302692002,1.7696349952494583,-0.31679235383650955,-0.48584923172746025,0.6382371548621005,-0.19473719256359964,-0.45447559955779954,-0.28378320797232354,0.32441586554464696,1.2394508555460393,-0.44690291629477147,0.18849343668262283,-0.4167327248757193,-0.2757577768833604,-0.5392743335662262,-0.42311824077363636,0.8528028654224415,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,-0.4305569483290071,0.0,0.0,-0.026199393481455353,0.36157480316107804,0.1249006846848101,-0.4463261382124908,3.343117632535735,0.39709002759836504,0.611925167126756,-0.5508448775795894,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Media,"<b>ACOSTA</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 5512.0<br>Score Infra: Media"
AERONAUTICO- VILLA ZEPELLIN,-0.40174936934593825,-0.3658276341657747,-0.3514260529590825,-0.43394897371899277,0.23977804906893374,0.7289210813765625,-0.31679235383650955,-0.48584923172746025,-0.10144414602206994,-0.5780048145812022,-0.5454591245138511,-0.28378320797232354,-1.0337319105490443,-0.5982996201540307,-0.44690291629477147,2.4615699706998115,-0.4167327248757193,-0.2757577768833604,0.6128898065303416,-0.6477192617689459,0.8528028654224415,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,1.448617210032754,0.0,0.0,-0.23250272818118525,-0.04089612566407335,-0.08106882949848238,-0.3320724200163815,1.6512103778626257,0.39709002759836504,0.6055192215273096,1.8153931182840382,"Núcleo Consolidado (Alto Estándar, Alta Infraestructura)",Muy Alta,"<b>AERONAUTICO- VILLA ZEPELLIN</b><hr>Tipología: Núcleo Consolidado (Alto Estándar, Alta Infraestructura)<br>Pob: 928.0<br>Score Infra: Muy Alta"
AEROPUERTO,-0.4870204208247335,-0.39663060868262456,-0.3666705621057094,-0.4747254486221917,-0.35247373213133265,-0.31179283249633316,-0.31679235383650955,-0.48584923172746025,-0.28636447124311254,-0.38637100357240095,-0.5454591245138511,-0.28378320797232354,-1.0337319105490443,-1.2349599477828588,-0.44690291629477147,0.7343308938643821,-0.4167327248757193,-0.2757577768833604,1.4137282634283557,-0.6477192617689459,0.8528028654224415,-0.49430000374546906,-0.2968260885977624,0.2968260885977624,1.1071444201133025,0.0,0.0,1.4846691459371548,-1.4500309204382247,-1.2152255881736391,-0.4816853279516213,-0.040696876810483125,0.39709002759836504,-1.3422345080342082,1.8153931182840382,"Núcleo Consolidado (Alto Estándar, Alta Infraestructura)",Muy Alta,"<b>AEROPUERTO</b><hr>Tipología: Núcleo Consolidado (Alto Estándar, Alta Infraestructura)<br>Pob: 500.0<br>Score Infra: Muy Alta"
