barrio,poblacion,hogares,nbi,escuelas_municipales,pct_nbi
COUNTRY VALLE ESCONDIDO,3330.0,909.0,4.0,0,0.4
COUNTRY RANCH CLUB,13.0,2.0,0.0,0,0.0
COUNTRY LOS MIMBRES,93.0,25.0,0.0,0,0.0
COUNTRY LOS ALGARROBOS,180.0,45.0,0.0,0,0.0
COUNTRY LOMAS DE LA CAROLINA,1572.0,383.0,0.0,0,0.0
COUNTRY LAS DELICIAS,776.0,213.0,2.0,0,0.9
COUNTRY LA SANTINA - COUNTRY CAMPINA DEL SUR,98.0,22.0,0.0,0,0.0
COUNTRY LA RESERVA,795.0,207.0,2.0,0,1.0
COUNTRY JOCKEY CLUB,1555.0,379.0,7.0,0,1.8
COUNTRY FORTIN DEL POZO,428.0,95.0,6.0,0,6.3
COUNTRY CLUB,217.0,63.0,0.0,0,0.0
COUNTRY BARRANCAS,80.0,23.0,0.0,0,0.0
COUNTRY ALTOS DEL CHATEAU,560.0,126.0,0.0,0,0.0
COSTA VERDE,66.0,20.0,0.0,0,0.0
CORRAL DE PALOS,1244.0,342.0,23.0,0,6.7
CORDOBA V,300.0,97.0,1.0,0,1.0
CORDOBA IV,399.0,132.0,0.0,0,0.0
COOPERATIVA LA UNIDAD,2120.0,508.0,32.0,0,6.3
COOPERATIVA LA HERMOSA,494.0,99.0,24.0,0,24.2
COOPERATIVA EL FUTURO,424.0,99.0,12.0,0,12.1
COOPERATIVA 16 DE NOVIEMBRE,1892.0,459.0,58.0,0,12.6
CONSORCIO ESPERANZA,344.0,97.0,3.0,0,3.1
CONSORCIO 16 DE NOVIEMBRE,785.0,213.0,12.0,0,5.6
CONGRESO,2534.0,657.0,39.0,1,5.9
COMERCIAL,6575.0,1700.0,215.0,1,12.6
COMANDANTE ESPORA,1567.0,500.0,10.0,0,2.0
COLONIA LOLA,4709.0,1184.0,146.0,1,12.3
COLON,3862.0,1259.0,30.0,0,2.4
COLINAS DEL CERRO,2264.0,674.0,27.0,0,4.0
COLINAS DE VELEZ SARSFIELD,1642.0,581.0,4.0,0,0.7
COLINAS DE BELLA VISTA,817.0,242.0,13.0,0,5.4
COFICO,498.0,177.0,1.0,0,0.6
CLAROS DEL BOSQUE,146.0,38.0,5.0,0,13.2
CIUDADELA,1442.0,469.0,10.0,0,2.1
CIUDAD VILLA RETIRO,1402.0,316.0,57.0,0,18.0
CIUDAD UNIVERSITARIA,,,,0,
CIUDAD PARQUE LAS ROSAS,1385.0,325.0,26.0,0,8.0
CIUDAD OBISPO ANGELELLI,1828.0,403.0,81.0,0,20.1
CIUDAD MI ESPERANZA,1492.0,349.0,50.0,0,14.3
CIUDAD EVITA,2662.0,638.0,95.0,0,14.9
CIUDAD DE MIS SUENOS,2147.0,511.0,85.0,0,16.6
CIUDAD DE LOS CUARTETOS,2204.0,489.0,68.0,0,13.9
CIUDAD DE LAS ARTES,,,,0,
CIUDAD DE JUAN PABLO II,2125.0,552.0,45.0,0,8.2
CIUDAD AMPLIACION FERREYRA,,,,0,
CIUDAD AMPLIACION CABILDO,2593.0,577.0,93.0,0,16.1
CIRCUNVALACION,,,,0,
CHATEAU CARRERAS,1624.0,514.0,3.0,0,0.6
CERVECEROS,3893.0,1094.0,17.0,0,1.6
CERRO NORTE,5374.0,1449.0,111.0,0,7.7
CERRO DE LAS ROSAS,5947.0,1944.0,3.0,0,0.2
CERRO CHICO,2719.0,1019.0,6.0,0,0.6
CENTRO AMERICA,5529.0,1658.0,36.0,1,2.2
CENTRO,28200.0,14423.0,568.0,0,3.9
CASEROS,1497.0,619.0,6.0,0,1.0
CARRARA,295.0,75.0,11.0,0,14.7
CAROLA LORENZINI,426.0,145.0,3.0,0,2.1
CARBO,1444.0,395.0,29.0,0,7.3
CAMPING GRL SAN MARTIN,,,,0,
CAMINO A VILLA POSSE,96.0,22.0,5.0,0,22.7
CAMINO A SAN CARLOS,1123.0,316.0,58.0,0,18.4
CALIFORNIA,600.0,196.0,12.0,0,6.1
CACERES,875.0,248.0,21.0,0,8.5
CABO FARINA,2287.0,647.0,79.0,0,12.2
CABANA DEL PILAR,458.0,151.0,0.0,0,0.0
BRIGADIER SAN MARTIN,392.0,119.0,0.0,0,0.0
BOEDO,2664.0,567.0,154.0,0,27.2
BIALET MASSE,2091.0,591.0,20.0,0,3.4
BH_CAMINO A 60 CUADRAS,1615.0,422.0,89.0,0,21.1
BETANIA,1992.0,480.0,65.0,0,13.5
BELLA VISTA OESTE,1828.0,532.0,28.0,0,5.3
BELLA VISTA,4607.0,1364.0,118.0,0,8.7
BARRANCAS DEL SUR,172.0,40.0,0.0,0,0.0
BAJO GENERAL PAZ,1223.0,423.0,7.0,0,1.7
BAJO GALAN,810.0,301.0,6.0,0,2.0
BAJADA SAN ROQUE,388.0,125.0,3.0,0,2.4
BAJADA DE PIEDRA,889.0,225.0,26.0,0,11.6
AYACUCHO,4356.0,1435.0,15.0,0,1.0
AVENIDA,1121.0,352.0,4.0,0,1.1
ATE,968.0,324.0,6.0,0,1.9
ARTURO CAPDEVILA,1818.0,484.0,7.0,0,1.4
ARGUELLO NORTE,15574.0,4079.0,539.0,0,13.2
ARGUELLO II,2677.0,623.0,91.0,0,14.6
