cueanexo,nombre,est_sector,est_ambito,est_barrio,est_localidad,nivel,lat,lon,barrio_asignado
140345300,ESCUELA JOSE AGUIRRE CAMARA,Estatal,Urbano,LOS FILTROS,CORDOBA,"[""1. Común - Primario""]",-31.4119,-64.2479,LAS VIOLETAS
140355800,INSTITUTO LEON XIII,Privado,Urbano,VILLA RIVERA INDARTE,CORDOBA,"[""2. Común - Secundario""]",-31.3302,-64.287,VILLA RIVERA INDARTE
140362600,I.P.E.M. Nº 195 PRIMER TTE.PEDRO IGNACIO BEAN,Estatal,Urbano,LAS FLORES,CORDOBA,"[""2. Común - Secundario""]",-31.4514,-64.202,LAS FLORES
140362700,INSTITUTO SAN JOSE ARTESANO,Privado,Urbano,LOS OLMOS,CORDOBA,"[""2. Común - Secundario""]",-31.4564,-64.2133,CABO FARINA
140362900,I.P.E.M. Nº 120 REPUBLICA DE FRANCIA,Estatal,Urbano,RESIDENCIAL VELEZ SARSFIELD,CORDOBA,"[""2. Común - Secundario""]",-31.4493,-64.2061,LAS FLORES
140365800,INSTITUTO MARIA IGNACIA NAVARRO DE LABAT,Privado,Urbano,SAN VICENTE,CORDOBA,"[""2. Común - Secundario""]",-31.4259,-64.1581,CRISOL SUD
140367100,INSTITUTO PARROQUIAL SANTO CRISTO,Privado,Urbano,OBSERVATORIO,CORDOBA,"[""2. Común - Secundario""]",-31.4239,-64.2044,CUPANI
140367200,INSTITUTO SAUL A. TABORDA,Privado,Urbano,CERRO DE LAS ROSAS,CORDOBA,"[""2. Común - Secundario""]",-31.3754,-64.2238,LAS MARGARITAS
140368000,I.P.E.M. Nº 159 ARISTOBULO DEL VALLE,Estatal,Urbano,VIVERO NORTE,CORDOBA,"[""2. Común - Secundario""]",-31.3806,-64.145,NUEVA ITALIA
140373900,I.P.E.T. y M. Nº 133 DR. FLORENCIO ESCARDO,Estatal,Urbano,CAMPO DE LA RIBERA,CORDOBA,"[""2. Común - Secundario""]",-31.4078,-64.14,MALDONADO
140374200,I.P.E.M. Nº 202 DR. LUIS FEDERICO LELOIR,Estatal,Urbano,LOS BOULEVARES,CORDOBA,"[""2. Común - Secundario""]",-31.3446,-64.2326,LAS CORTADERAS
140380100,INSTITUTO DE ENSEÑANZA DOMINGO FAUSTINO SARMIENTO (NIVEL SECUNDARIO Y TECNICO),Privado,Urbano,SAN VICENTE,CORDOBA,"[""2. Común - Secundario""]",-31.4206,-64.1546,YAPEYU
140391100,ESCUELA NUEVA JUAN MANTOVANI,Privado,Urbano,ARGUELLO,CORDOBA,"[""2. Común - Secundario""]",-31.3469,-64.2755,LA SALLE
140394900,I.P.E.M. Nº 150 JUAN LARREA,Estatal,Urbano,SARMIENTO,CORDOBA,"[""2. Común - Secundario""]",-31.4319,-64.1556,CRISOL SUD
140395000,C.E.N.M.A. Nº 151,Estatal,Urbano,CRISOL SUR,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.4334,-64.1678,CRISOL SUD
140395001,C.E.N.M.A. N° 151  ANEXO Bº EMPALME,Estatal,Urbano,SAN JAVIER,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.4396,-64.1266,EMPALME
140395002,C.E.N.M.A. Nº 151 ANEXO Bº CERVECEROS,Estatal,Urbano,CERVECEROS,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.4633,-64.1588,CERVECEROS
140395200,INSTITUTO SANTO TOMAS,Privado,Urbano,ALBERDI,CORDOBA,"[""2. Común - Secundario""]",-31.4157,-64.195,URQUIZA
140396900,I.P.E.M. Nº 138 JERONIMO LUIS DE CABRERA,Estatal,Urbano,ALBERDI,CORDOBA,"[""2. Común - Secundario""]",-31.4099,-64.1915,URQUIZA
140395100,ESCUELA NOCTURNA FRAY MAMERTO ESQUIU,Estatal,Urbano,BRIGADIER SAN MARTIN,CORDOBA,"[""6. Jóvenes y Adultos - Primario""]",-31.4394,-64.1407,JOSE IGNACIO DIAZ SECCION 1
140399000,INSTITUTO NUESTRA SEÑORA DEL SAGRADO CORAZON,Privado,Urbano,CRISOL SUR,CORDOBA,"[""2. Común - Secundario""]",-31.4364,-64.1666,CRISOL SUD
140401900,I.P.E.T. Nº 251 GUARNICION AEREA CORDOBA,Estatal,Urbano,AERONAUTICO,CORDOBA,"[""2. Común - Secundario""]",-31.4387,-64.2722,SACHI
140402000,I.P.E.T. Nº 250 DR. JUAN BIALET MASSE,Estatal,Urbano,LAS FLORES,CORDOBA,"[""2. Común - Secundario""]",-31.4533,-64.2055,LAS FLORES
140406900,I.P.E.M. Nº 124 ADELA ROSA OVIEDO de DE LA VEGA,Estatal,Urbano,CORONEL OLMEDO,CORDOBA,"[""2. Común - Secundario""]",-31.4806,-64.1415,VILLA CORONEL OLMEDO
140407500,INSTITUTO DEAN FUNES,Privado,Urbano,1º DE MAYO,CORDOBA,"[""2. Común - Secundario""]",-31.4306,-64.1194,EMPALME
