barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,area_barrio_km2,densidad_poblacional,densidad_hogares,infraestructura_por_km2,educacion_ratio_publico_privado,servicios_basicos_score,tamano_promedio_hogar,cluster_barrio,cluster_descripcion,categoria_infraestructura,tooltip_html
ALBERDI,32729.0,15505.0,858.0,5.53,38,14,24,0,47,27,354,2,2,10.396,0.632,1.16,0.0,0.61,1.44,0.61,1,0,1,1,0.1507,0.0,0.0,2.5,13091.6,6202.0,0.0603,0.6,0.6667,2.1109,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Media,"<b>ALBERDI</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 32729.0<br>Score Infra: Media"
ALBORADA NORTE,500.0,200.0,2.0,1.0,0,0,0,0,17,5,0,0,0,6.217,0.0,0.0,0.0,0.0,24.0,0.0,0,0,0,1,0.4444,0.0,0.0,0.06,8333.3333,3333.3333,7.4067,1.0,0.3333,2.5,1,"Núcleo Consolidado (Alto Estándar, Alta Infraestructura)",Muy Alta,"<b>ALBORADA NORTE</b><hr>Tipología: Núcleo Consolidado (Alto Estándar, Alta Infraestructura)<br>Pob: 500.0<br>Score Infra: Muy Alta"
ALBORADA SUR,500.0,200.0,1.0,0.5,0,0,0,0,7,3,23,0,0,6.217,0.0,0.0,0.0,0.0,14.0,0.0,0,0,0,1,0.2593,0.0,0.0,0.06,8333.3333,3333.3333,4.3217,1.0,0.3333,2.5,1,"Núcleo Consolidado (Alto Estándar, Alta Infraestructura)",Alta,"<b>ALBORADA SUR</b><hr>Tipología: Núcleo Consolidado (Alto Estándar, Alta Infraestructura)<br>Pob: 500.0<br>Score Infra: Alta"
ALEJANDRO CENTENO,1231.0,432.0,2.0,0.46,2,2,0,0,10,3,21,0,1,7.116,0.0,1.62,0.0,0.0,8.12,8.12,1,0,0,1,0.2628,0.0,0.0,0.25,4924.0,1728.0,1.0512,3.0,0.6667,2.8495,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Alta,"<b>ALEJANDRO CENTENO</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 1231.0<br>Score Infra: Alta"
ALMIRANTE BROWN,1019.0,246.0,13.0,5.28,2,2,0,0,6,4,16,0,2,6.928,0.0,1.96,0.0,0.0,5.89,19.63,1,0,0,1,0.2451,0.0,0.0,0.13,7838.4615,1892.3077,1.8854,3.0,0.6667,4.1423,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Alta,"<b>ALMIRANTE BROWN</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 1019.0<br>Score Infra: Alta"
ALTA CORDOBA,34575.0,12560.0,372.0,2.96,33,13,20,0,31,9,544,1,0,10.451,0.606,0.95,0.0,0.29,0.9,0.0,1,0,1,1,0.1033,0.0,0.0,4.78,7233.2636,2627.6151,0.0216,0.6667,0.6667,2.7528,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Baja,"<b>ALTA CORDOBA</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 34575.0<br>Score Infra: Baja"
ALTAMIRA,6103.0,1895.0,36.0,1.9,2,1,1,1,17,4,91,0,0,8.717,0.5,0.33,1.64,0.0,2.79,0.0,1,1,0,1,0.1293,0.0,0.0,0.72,8476.3889,2631.9444,0.1796,1.0,1.0,3.2206,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Baja,"<b>ALTAMIRA</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 6103.0<br>Score Infra: Baja"
ALTO ALBERDI,30472.0,10101.0,389.0,3.85,40,15,25,1,48,14,369,2,2,10.325,0.625,1.31,0.33,0.66,1.58,0.66,1,1,1,1,0.1782,0.0,0.0,3.88,7853.6082,2603.3505,0.0459,0.6154,1.0,3.0167,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Media,"<b>ALTO ALBERDI</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 30472.0<br>Score Infra: Media"
ALTO DE DON BOSCO,675.0,212.0,0.0,0.0,0,0,0,0,0,0,0,0,0,6.516,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.83,813.253,255.4217,0.0,1.0,0.0,3.184,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Muy Baja,"<b>ALTO DE DON BOSCO</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 675.0<br>Score Infra: Muy Baja"
ALTO DE SANTA ANA,1508.0,424.0,20.0,4.72,0,0,0,0,6,2,63,0,0,7.319,0.0,0.0,0.0,0.0,3.98,0.0,0,0,0,1,0.0737,0.0,0.0,0.63,2393.6508,673.0159,0.117,1.0,0.3333,3.5566,0,"Transición Urbana (Vulnerabilidad Media, Servicios Básicos)",Muy Baja,"<b>ALTO DE SANTA ANA</b><hr>Tipología: Transición Urbana (Vulnerabilidad Media, Servicios Básicos)<br>Pob: 1508.0<br>Score Infra: Muy Baja"
