barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,tamano_promedio_hogar,educacion_ratio_publico_privado,ranking_infraestructura,percentil_infraestructura
VILLA GRAN PARQUE,581.0,200.0,11.0,5.5,0,0,0,0,0,0,81,0,1,6.366,0.0,0.0,0.0,0.0,0.0,17.21,0,0,0,0,0.0,-31.3271029528563,-64.1616106373206,2.9,0.0,469,2.7
VILLA LA MERCED,1325.0,280.0,61.0,21.79,3,3,0,1,6,1,0,0,0,7.19,0.0,2.26,6.656999999999986,0.0,4.53,0.0,1,1,0,1,0.4629,-31.4082708450202,-64.0642238571163,4.73,3.0,56,88.9
VILLA MAFEKIN,1923.0,542.0,44.0,8.12,3,3,0,0,14,3,0,0,1,7.562,0.0,1.56,0.0,0.0,7.28,5.2,1,0,0,1,0.2431,-31.4022481112785,-64.2569491260768,3.55,3.0,175,64.8
VILLA MARTA,981.0,340.0,2.0,0.59,0,0,0,0,8,3,29,0,0,6.89,0.0,0.0,0.0,0.0,8.15,0.0,0,0,0,1,0.1509,-31.3608191633499,-64.2281814784385,2.89,0.0,283,42.9
VILLA MARTINEZ,3496.0,826.0,169.0,20.46,3,3,0,0,9,2,4,0,1,8.16,0.0,0.86,0.0,0.0,2.57,2.86,1,0,0,1,0.1073,-31.4160857927922,-64.2507310219899,4.23,3.0,361,27.1
VILLA PAEZ,4861.0,1428.0,105.0,7.35,7,4,3,1,12,4,140,0,1,8.489,0.429,1.44,2.06,0.0,2.47,2.06,1,1,0,1,0.2144,-31.3959348360502,-64.2060005908958,3.4,1.33,207,58.3
VILLA QUISQUIZACATE,1477.0,421.0,13.0,3.09,1,1,0,0,6,2,152,0,1,7.298,0.0,0.68,0.0,0.0,4.06,6.77,1,0,0,1,0.1224,-31.3331577606987,-64.2818486053848,3.51,1.0,325,34.1
VILLA RETIRO,910.0,258.0,16.0,6.2,6,3,3,0,3,2,53,0,1,6.815,0.5,4.8035,0.0,0.0,3.3,10.99,1,0,0,1,0.3944,-31.336307674505548,-64.145948137302,3.53,1.0,80,84.0
VILLA REVOL,4327.0,1341.0,58.0,4.33,2,2,0,0,10,4,298,0,1,8.373,0.0,0.46,0.0,0.0,2.31,2.31,1,0,0,1,0.0747,-31.4435550254359,-64.1727065975052,3.23,2.0,405,18.2
VILLA REVOL ANEXO,876.0,258.0,31.0,12.02,1,1,0,0,6,5,16,1,0,6.777,0.0,1.14,0.0,1.5584999999999962,6.85,0.0,1,0,1,1,0.3171,-31.4370580300058,-64.1699676689109,3.4,1.0,116,76.7
VILLA RIVADAVIA,876.0,226.0,49.0,21.68,5,5,0,1,23,1,0,0,1,6.777,0.0,4.8035,6.656999999999986,0.0,24.0,11.42,1,1,0,1,1.0,-31.5130596771592,-64.1945915895642,3.88,5.0,1,100.0
VILLA RIVERA INDARTE,4473.0,1207.0,62.0,5.14,13,5,8,1,20,2,121,0,1,8.406,0.615,2.91,2.24,0.0,4.47,2.24,1,1,0,1,0.3595,-31.3254407068763,-64.2939456332099,3.71,0.62,97,80.6
VILLA SAN CARLOS,507.0,200.0,15.0,7.5,9,6,3,0,8,4,4,0,1,6.23,0.333,4.8035,0.0,0.0,15.78,19.72,1,0,0,1,0.6256,-31.4620977600299,-64.1700416939278,2.54,2.0,28,94.5
VILLA SAN ISIDRO,844.0,252.0,7.0,2.78,0,0,0,0,9,3,26,0,0,6.739,0.0,0.0,0.0,0.0,10.66,0.0,0,0,0,1,0.1974,-31.4575712536414,-64.1881087347359,3.35,0.0,224,54.8
VILLA SERRANA,1089.0,275.0,51.0,18.55,2,1,1,0,6,1,1,0,2,6.994,0.5,1.84,0.0,0.0,5.51,18.37,1,0,0,1,0.2297,-31.3301623505514,-64.2789046482414,3.96,1.0,190,61.7
VILLA SIBURU,1333.0,365.0,43.0,11.78,4,4,0,1,8,4,100,0,1,7.196,0.0,3.0,6.656999999999986,0.0,6.0,7.5,1,1,0,1,0.5415,-31.3956863950044,-64.2305440533676,3.65,4.0,40,92.1
VILLA SILVANO FUNES,925.0,274.0,15.0,5.47,0,0,0,0,22,7,28,0,1,6.831,0.0,0.0,0.0,0.0,23.78,10.81,0,0,0,1,0.4404,-31.3403524658703,-64.251239453436,3.38,0.0,69,86.2
VILLA SOLFERINO,664.0,200.0,5.0,2.5,0,0,0,0,7,3,11,0,1,6.5,0.0,0.0,0.0,0.0,10.54,15.06,0,0,0,1,0.1952,-31.341833627199,-64.2755114664663,3.32,0.0,227,54.3
VILLA UNION,4842.0,1232.0,212.0,17.21,4,4,0,1,16,2,8,0,1,8.485,0.0,0.83,2.07,0.0,3.3,2.07,1,1,0,1,0.1878,-31.4250447239479,-64.2651931533667,3.93,4.0,236,52.4
VILLA WARCALDE,624.0,200.0,20.0,10.0,3,0,3,0,5,1,10,0,0,6.438,1.0,4.8035,0.0,0.0,8.01,0.0,1,0,0,1,0.4817,-31.3436875418139,-64.2949561314855,3.12,0.0,51,89.8
VIVERO NORTE,1571.0,442.0,17.0,3.85,2,2,0,1,8,2,152,0,0,7.36,0.0,1.27,6.37,0.0,5.09,0.0,1,1,0,1,0.395,-31.382311576231,-64.1446636862196,3.55,2.0,79,84.2
YAPEYU,25119.0,7218.0,426.0,5.9,8,8,0,1,6,2,30,0,1,10.131,0.0,0.32,0.4,0.0,0.24,0.4,1,1,0,1,0.04,-31.410369494566265,-64.14616987081894,3.48,8.0,443,10.5
YOFRE H,3578.0,1016.0,58.0,5.71,2,2,0,0,0,0,267,0,0,8.183,0.0,0.56,0.0,0.0,0.0,0.0,1,0,0,0,0.0389,-31.38234254247095,-64.12556007490045,3.52,2.0,446,9.9
YOFRE I,5262.0,1582.0,66.0,4.17,0,0,0,1,15,2,44,0,1,8.568,0.0,0.0,1.9,0.0,2.85,1.9,0,1,0,1,0.1162,-31.3900178275939,-64.12771732212764,3.33,0.0,334,32.6
YOFRE NORTE,6935.0,2180.0,60.0,2.75,9,4,5,0,18,4,46,0,1,8.844,0.556,1.3,0.0,0.0,2.6,1.44,1,0,0,1,0.1384,-31.383963889503,-64.1340907794603,3.18,0.8,306,38.3
YOFRE SUD,5126.0,1543.0,55.0,3.56,3,3,0,0,12,3,321,0,1,8.542,0.0,0.59,0.0,0.0,2.34,1.95,1,0,0,1,0.0843,-31.3922689658402,-64.1354610976761,3.32,3.0,390,21.3
ZEPA,1061.0,255.0,36.0,14.12,4,4,0,1,5,3,10,1,2,6.968,0.0,3.77,6.656999999999986,1.5584999999999962,4.71,18.85,1,1,1,1,0.6822,-31.3894472257739,-64.1064392092923,4.16,4.0,17,96.8
