Iteration,ARI
0,0.7384591029058455
1,0.987882187719136
2,0.943560793296711
3,0.943560793296711
4,0.828206986836545
5,0.9366171813685927
6,1.0
7,0.9366171813685927
8,0.6175085293571749
9,0.946871791938409
10,0.5480421625457679
11,0.9667718692416605
12,0.743465001836009
13,0.9667718692416605
14,0.6694394523360676
15,0.9489088123945023
16,0.6453075988723156
17,0.9600916427044985
18,0.946871791938409
19,0.9667718692416605
20,0.9366171813685927
21,0.946871791938409
22,0.6036774586789191
23,0.5492873006466991
24,0.6732685221991266
25,0.9667718692416605
26,0.943560793296711
27,0.9667718692416605
28,0.9430945729074189
29,0.9667718692416605
30,0.9667718692416605
31,0.946871791938409
32,0.49252372113809034
33,0.5279042517150782
34,0.6178710770464403
35,0.7626851304064173
36,0.6694394523360676
37,0.6694394523360676
38,0.943560793296711
39,0.8093876204583059
40,1.0
41,0.943560793296711
42,0.5988619840451003
43,0.5316970435841439
44,0.6063520671777034
45,0.9813988396164216
46,0.7055901442866048
47,0.943560793296711
48,0.6049466029116574
49,0.6040416177856025
