barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,tamano_promedio_hogar,educacion_ratio_publico_privado,ranking_infraestructura,percentil_infraestructura
1 DE MAYO,3.3972,2.5605,2.202,0.1688,0.832,1.0758,0.3978,-0.4858,0.4533,-0.1947,-0.315,-0.2838,1.6826,2.5685,0.621,-0.4994,-0.4167,-0.2758,-0.9182,-0.5236,0.8528,-0.4943,-0.2968,0.2968,-1.019,-31.4359592193562,-64.1176949424045,0.5444,0.6601,445,-1.3855
2 DE SEPTIEMBRE,-0.0639,-0.1832,0.5556,2.8814,-0.3525,-0.3118,-0.3168,1.9142,-0.009,-0.1947,-0.5455,-0.2838,0.3244,0.4738,-0.4469,-0.477,1.6699,-0.2758,-0.3981,-0.1749,0.8528,2.0231,-0.2968,0.2968,0.0119,-31.3336313559965,-64.2419277567805,2.0505,-0.1742,188,0.4157
20 DE JUNIO,-0.4549,-0.3966,-0.1914,1.5641,-0.5499,-0.6587,-0.3168,1.9142,0.4533,0.1885,-0.5151,-0.2838,-1.0337,-0.9481,-0.4469,-0.7611,3.2291,-0.2758,2.6411,-0.6477,-1.1726,2.0231,-0.2968,0.2968,2.3506,-31.38667683145,-64.1637940986309,0.0424,-0.7304,20,1.5866
23 DE ABRIL,-0.2123,-0.2734,0.1212,1.9665,-0.5499,-0.6587,-0.3168,-0.4858,-0.7487,-0.578,-0.3635,-0.2838,0.3244,0.1292,-0.4469,-0.7611,-0.4167,-0.2758,-0.7955,0.0124,-1.1726,-0.4943,-0.2968,0.2968,-1.07,-31.4576861165788,-64.1279620826956,1.9986,-0.7304,455,-1.4548
25 DE MAYO,-0.487,-0.3966,-0.1685,1.83,0.4372,1.0758,-0.3168,-0.4858,0.0835,-0.578,-0.5212,-0.2838,4.3989,-1.235,-0.4469,2.8306,-0.4167,-0.2758,2.6411,9.2794,0.8528,-0.4943,-0.2968,0.2968,2.9471,-31.4900986725101,-64.0823231112529,-1.3426,2.0507,6,1.6766
4 DE FEBRERO,-0.4165,-0.3928,-0.2828,0.4525,-0.5499,-0.6587,-0.3168,-0.4858,-0.8411,-0.3864,-0.4787,-0.2838,0.3244,-0.6839,-0.4469,-0.7611,-0.4167,-0.2758,-0.682,0.8054,-1.1726,-0.4943,-0.2968,0.2968,-0.9965,-31.4561267034649,-64.1456965562471,1.4792,-0.7304,438,-1.3371
ACHAVAL PENA,-0.4364,-0.3867,-0.3286,-0.1042,-0.5499,-0.6587,-0.3168,-0.4858,-0.4713,-0.578,-0.0723,-0.2838,-1.0337,-0.8119,-0.4469,-0.7611,-0.4167,-0.2758,0.1803,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,-0.4375,-31.436225387803,-64.2040585961533,0.3194,-0.7304,297,-0.3464
ACOSTA,0.5115,0.3289,0.6395,0.6812,0.832,1.7696,-0.3168,-0.4858,0.6382,-0.1947,-0.4545,-0.2838,0.3244,1.2395,-0.4469,0.1885,-0.4167,-0.2758,-0.5393,-0.4231,0.8528,-0.4943,-0.2968,0.2968,-0.4306,-31.4236045698365,-64.1235108429697,0.6137,3.1631,286,-0.2701
AERONAUTICO- VILLA ZEPELLIN,-0.4017,-0.3658,-0.3514,-0.4339,0.2398,0.7289,-0.3168,-0.4858,-0.1014,-0.578,-0.5455,-0.2838,-1.0337,-0.5983,-0.4469,2.4616,-0.4167,-0.2758,0.6129,-0.6477,0.8528,-0.4943,-0.2968,0.2968,1.4486,-31.4304095651434,-64.270881350096,0.5963,1.4945,48,1.3995
AEROPUERTO,-0.487,-0.3966,-0.3667,-0.4747,-0.3525,-0.3118,-0.3168,-0.4858,-0.2864,-0.3864,-0.5455,-0.2838,-1.0337,-1.235,-0.4469,0.7343,-0.4167,-0.2758,1.4137,-0.6477,0.8528,-0.4943,-0.2968,0.2968,1.1071,-31.3249626672809,-64.1957356859382,-1.3426,-0.1742,71,1.2367
AIRES DEL SUR,-0.487,-0.3966,-0.4048,-0.9179,-0.5499,-0.6587,-0.3168,-0.4858,-0.8411,-0.3864,-0.5455,-0.2838,-1.0337,-1.235,-0.4469,-0.7611,-0.4167,-0.2758,-0.4273,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,-0.8311,-31.4642440553401,-64.1844348530897,-1.3426,-0.7304,406,-1.1292
ALBERDI,5.934,8.0219,6.1351,0.0625,6.952,4.198,8.2583,-0.4858,3.3196,4.4045,1.6018,5.9468,1.6826,3.0772,1.9129,0.1062,-0.4167,1.3884,-0.82,-0.572,0.8528,-0.4943,3.369,0.2968,-0.4198,-31.408369589323,-64.2021742180649,-2.0177,-0.4078,284,-0.2563
ALBORADA NORTE,-0.487,-0.3966,-0.3895,-0.7407,-0.5499,-0.6587,-0.3168,-0.4858,0.5458,0.1885,-0.5455,-0.2838,-1.0337,-1.235,-0.4469,-0.7611,-0.4167,-0.2758,2.6411,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,1.1571,-31.3416624086498,-64.2683019408073,-1.3426,-0.7304,59,1.2921
ALBORADA SUR,-0.487,-0.3966,-0.3972,-0.8293,-0.5499,-0.6587,-0.3168,-0.4858,-0.3788,-0.1947,-0.406,-0.2838,-1.0337,-1.235,-0.4469,-0.7611,-0.4167,-0.2758,1.1069,-0.6477,-1.1726,-0.4943,-0.2968,0.2968,0.1633,-31.3620500617943,-64.2251144260463,-1.3426,-0.7304,156,0.634
