barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,hogares_por_poblacion,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,area_barrio_km2,densidad_poblacional,infraestructura_por_km2,outlier_flag,cluster_barrio,cluster_descripcion,categoria_infraestructura,tooltip_html
ALBORADA SUR,500.0,200.0,1.0,0.5,0,0,0,0,7,3,23,0,0,0.4,6.217,0.0,0.0,0.0,0.0,14.0,0.0,0,0,0,1,0.2593,-31.3620500617943,-64.2251144260463,0.06,8333.33,4.322,1,0,Anillo Denso Residencial,Alta,<b>ALBORADA SUR</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
ALEJANDRO CENTENO,1231.0,432.0,2.0,0.46,2,2,0,0,10,3,21,0,1,0.351,7.116,0.0,1.62,0.0,0.0,8.12,8.12,1,0,0,1,0.2628,-31.3582805289735,-64.231473963748,0.25,4924.0,1.051,1,0,Anillo Denso Residencial,Alta,<b>ALEJANDRO CENTENO</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 1231.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
ALMIRANTE BROWN,1019.0,246.0,13.0,5.28,2,2,0,0,6,4,16,0,2,0.241,6.928,0.0,1.96,0.0,0.0,5.89,19.63,1,0,0,1,0.2451,-31.4616440154167,-64.0911138850279,0.13,7838.46,1.885,1,0,Anillo Denso Residencial,Alta,<b>ALMIRANTE BROWN</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 1019.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
ALTA CORDOBA,34575.0,12560.0,372.0,2.96,33,13,20,0,31,9,544,1,0,0.363,10.451,0.606,0.95,0.0,0.29,0.9,0.0,1,0,1,1,0.1033,-31.3903799365102,-64.1842494728698,4.78,7233.26,0.022,1,2,Suburbio Popular Consolidado,Baja,<b>ALTA CORDOBA</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 34575.0<br>Score Infra: <b style='color:#e2e8f0'>Baja</b>
ALTAMIRA,6103.0,1895.0,36.0,1.9,2,1,1,1,17,4,91,0,0,0.311,8.717,0.5,0.33,1.64,0.0,2.79,0.0,1,1,0,1,0.1293,-31.4251579009481,-64.1312574377859,0.72,8476.39,0.18,1,2,Suburbio Popular Consolidado,Baja,<b>ALTAMIRA</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 6103.0<br>Score Infra: <b style='color:#e2e8f0'>Baja</b>
ALTO ALBERDI,30472.0,10101.0,389.0,3.85,40,15,25,1,48,14,369,2,2,0.331,10.325,0.625,1.31,0.33,0.66,1.58,0.66,1,1,1,1,0.1782,-31.4077929131874,-64.219940676278,3.88,7853.61,0.046,1,2,Suburbio Popular Consolidado,Media,<b>ALTO ALBERDI</b><hr>Tipología: <span style='color:#38bdf8'>Suburbio Popular Consolidado</span><br>Pob: 30472.0<br>Score Infra: <b style='color:#e2e8f0'>Media</b>
ALTO DE DON BOSCO,675.0,212.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.314,6.516,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-31.3869535266229,-64.2657645536358,0.83,813.25,0.0,1,0,Anillo Denso Residencial,Muy Baja,<b>ALTO DE DON BOSCO</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 675.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
ALTO DE SANTA ANA,1508.0,424.0,20.0,4.72,0,0,0,0,6,2,63,0,0,0.281,7.319,0.0,0.0,0.0,0.0,3.98,0.0,0,0,0,1,0.0737,-31.4064423364043,-64.2489468672371,0.63,2393.65,0.117,1,0,Anillo Denso Residencial,Muy Baja,<b>ALTO DE SANTA ANA</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 1508.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
ALTO HERMOSO,500.0,200.0,0.0,0.0,0,0,0,0,8,3,0,0,0,0.4,6.217,0.0,0.0,0.0,0.0,16.0,0.0,0,0,0,1,0.2963,-31.3302939640896,-64.3052937554776,0.52,961.54,0.57,1,0,Anillo Denso Residencial,Alta,<b>ALTO HERMOSO</b><hr>Tipología: <span style='color:#38bdf8'>Anillo Denso Residencial</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
ALTO PALERMO,923.0,311.0,0.0,0.0,1,1,0,0,25,13,158,0,0,0.337,6.829,0.0,1.08,0.0,0.0,24.0,0.0,1,0,0,1,0.5194,-31.3756925958522,-64.2247362943992,0.26,3550.0,1.998,1,1,Núcleo Urbano Consolidado,Muy Alta,<b>ALTO PALERMO</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Urbano Consolidado</span><br>Pob: 923.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
