barrio,poblacion,hogares,nbi
PARQUE SAN VICENTE,"1,327",451,3
PARQUE SAN CARLOS,749,231,2
PARQUE REPUBLICA,"7,412","1,861",201
PARQUE MONTECRISTO,"1,554",466,6
PARQUE MODELO,259,82,0
PARQUE LOS MOLINOS,864,264,6
PARQUE LICEO SECCION 3,"5,593","1,426",164
PARQUE LICEO SECCION 2,"7,826","2,013",157
PARQUE LICEO SECCION 1,"3,693","1,108",58
PARQUE LATINO,"1,306",432,4
PARQUE JORGE NEWBERY,"2,909",913,16
PARQUE FUTURA,"2,851",703,68
PARQUE DON BOSCO,"4,691","1,385",24
PARQUE DEL ESTE,679,180,24
PARQUE DE LA VIDA,,,
PARQUE DE LA VEGA III,596,180,1
PARQUE DE LA VEGA II,596,155,22
PARQUE COREMA,584,220,1
PARQUE CHATEAU CARRERAS,28,7,1
PARQUE CHACABUCO,"1,164",388,1
PARQUE CAPITAL SUD,"1,443",442,2
PARQUE CAPITAL,"3,972","1,272",6
PARQUE ATLANTICA,"2,249",734,17
PARQUE ALAMEDA,656,195,3
PANAMERICANO,"3,346","1,072",26
PALMAS DEL CLARET,623,211,0
PALMAR,"1,025",283,10
PALERMO BAJO,"1,909",666,3
PADRE CLARET,871,256,0
OSN,"1,993",575,8
ONA,"1,333",405,9
OMBU,"1,681",567,5
OBSERVATORIO,"6,616","2,360",128
OBRERO,"2,481",919,13
NUEVO URCA,104,36,0
NUEVA ITALIA,"3,347",988,54
NUEVA CORDOBA ANEXA,"1,582",500,6
NUEVA CORDOBA,"37,055","20,811",245
NUESTRO HOGAR III,"5,570","1,394",305
NUESTRO HOGAR II,861,209,33
NUESTRO HOGAR I,595,157,18
NICOLAS AVELLANEDA,"1,782",492,16
MUTUAL DE LOS DOCENTES,729,205,1
MIRIZZI,693,163,17
MIRALTA,"3,528",889,145
MIRADOR DEL CHATEAU,377,144,0
MIRADOR,"3,164",956,107
MILITAR GENERAL DEHEZA,825,198,2
MERCANTIL,723,214,3
MAURIZI,756,255,11
MAULLER,"5,734","1,593",125
MARQUES DE SOBREMONTE,"12,304","3,770",170
MARQUES ANEXO,"5,239","1,352",115
MARIANO FRAGUEIRO,"3,630",963,89
MARIANO BALCARCE,"1,994",656,10
MARIA LASTENIA,451,117,11
MARECHAL,"3,557","1,077",61
MARCOS SASTRE,"1,104",281,18
MARCELO T DE ALVEAR,"2,748",751,48
MANANTIALES I-MANANTIALES II,28,6,0
MALDONADO,"8,018","1,873",359
MAIPU SECCION 2,"2,283",764,8
MAIPU SECCION 1,"2,022",679,7
LOURDES,"1,413",318,50
LOS SUENOS,,,
LOS SOLES,,,
LOS SAUCES,"1,635",469,22
LOS ROBLES,"3,479",958,144
LOS PLATANOS,"7,003","2,166",58
LOS PINOS,"1,901",532,21
LOS PARAISOS,"5,079","1,638",40
LOS OLMOS SUD,"1,243",318,24
LOS OLMOS,"1,859",541,21
LOS NARANJOS,"1,615",561,7
LOS JOSEFINOS,371,100,9
LOS JACARANDAES,"1,305",319,70
LOS HORNILLOS,726,174,20
LOS GRANADOS,"3,435",917,41
LOS GIGANTES,"4,442","1,249",49
LOS FRESNOS,"1,067",246,38
LOS FILTROS,852,198,32
LOS EUCALIPTUS,"1,741",480,15
LOS CIELOS,,,
LOS CHINGOLOS,"1,944",473,42
LOS CEIBOS,826,249,7
LOS BOULEVARES,"12,277","3,480",218
LOS ARBOLES,,,
LOS ANGELES,766,282,0
LOS ALAMOS,"1,964",518,33
LOMAS DE SAN MARTIN,"1,734",560,3
LICEO GENERAL PAZ,628,165,14
LAS VIOLETAS,"3,243",834,98
LAS ROSAS,877,346,1
LAS PLAYAS,"2,869",798,49
LAS PALMAS ANEXO,864,230,3
LAS PALMAS,"6,142","1,993",57
LAS MARGARITAS,"2,032",644,19
LAS MAGNOLIAS,"2,459",767,25
LAS LILAS,"2,237",550,56
LAS HUERTILLAS,"1,133",278,27
LAS FLORES,"4,037","1,284",39
LAS DALIAS,649,181,7
LAS CORTADERAS,461,116,18
LAS CANUELAS,30,7,0
LAS CANITAS,203,57,0
LAMADRID,"2,346",666,32
LA TOMA,232,59,18
LA SALLE,707,210,3
LA HORTENSIA,"1,423",371,29
LA FRATERNIDAD,314,88,5
LA FRANCE,"3,218","1,016",30
LA FLORESTA,"1,590",366,72
LA ESPERANZA,306,76,1
LA DOROTEA,526,122,16
LA CAROLINA,700,184,0
KENNEDY,"1,074",326,8
KAIROS,826,182,23
JUNIORS,"6,521","2,409",19
JUAN XXIII,977,308,2
JUAN B JUSTO,"3,088",813,24
JOSE IGNACIO DIAZ SECCION 3,"5,938","1,503",237
JOSE IGNACIO DIAZ SECCION 2,"2,204",598,52
JOSE IGNACIO DIAZ SECCION 1,"4,483","1,196",86
JOSE I RUCCI,126,40,0
JOSE HERNANDEZ,"3,233",951,44
JOCKEY CLUB,258,73,0
JERONIMO LUIS DE CABRERA,"1,636",464,24
JARDINES DEL JOCKEY,516,130,1
JARDIN HIPODROMO,"1,094",322,14
JARDIN ESPINOSA,"1,515",485,3
JARDIN DEL SUD,"1,482",451,3
JARDIN DEL PILAR,"2,131",633,37
JARDIN DEL CLARET,418,136,1
JARDIN,"6,841","2,621",45
ITUZAINGO II,"1,553",394,42
ITUZAINGO ANEXO,"6,081","1,583",138
ITUZAINGO,"3,192",933,18
IRUPE,523,159,10
IPV ANEXO LOS GIGANTES,"2,620",707,18
IPONA,982,402,8
INDUSTRIAL OESTE,"1,621",473,14
INDUSTRIAL ESTE,"1,153",386,1
INDEPENDENCIA,813,294,7
INAUDI,"1,662",459,4
HORIZONTE,"2,016",641,11
HIPOLITO IRIGOYEN,"3,313",893,83
GUINAZU SUD,164,41,3
GUINAZU,"1,361",373,41
GUEMES,"11,588","5,333",428
GUAYAQUIL,587,196,0
GUARNICION MILITAR CORDOBA,268,66,0
GUARNICION AEREA CORDOBA,,,
GRANJA DE FUNES,"3,866","1,228",27
GRANADERO PRINGLES,"2,209",628,16
GENERAL SAVIO,"4,889","1,309",313
GENERAL PUEYRREDON,"24,021","7,938",561
GENERAL PAZ,"9,524","4,209",107
GENERAL MOSCONI,"3,324",851,110
GENERAL BUSTOS,"15,659","4,933",243
GENERAL BELGRANO,"3,154",890,30
GENERAL ARTIGAS,"1,552",471,8
GENERAL ARENALES,"2,318",622,60
FINCAS DEL SUR,490,119,0
FINCA LA DOROTEA,273,72,10
FERROVIARIO MITRE,"1,133",350,42
FERREYRA SEGUNDA SECCION,939,215,32
FERREYRA,"3,868","1,029",101
FERRER,"1,844",462,139
FERIAR,,,
ESTADIO CORDOBA,,,
ESTACION FLORES,"3,876","1,024",124
ESCUELA DE SUBOFICIALES,,,
ESCOBAR,"2,180",733,7
EMPALME CASAS DE OBREROS Y EMPLEADOS,"1,233",375,13
EMPALME,"3,426","1,140",12
EMAUS,219,64,1
EL VIEJO ALGARROBO,324,83,4
EL TREBOL,"1,264",412,6
EL REFUGIO,"1,201",334,2
