barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,hogares_por_poblacion,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,area_barrio_km2,densidad_poblacional,densidad_hogares,infraestructura_por_km2,educacion_ratio_publico_privado,centroide_lat,centroide_lon,cluster_barrio,cluster_descripcion,categoria_infraestructura,tooltip_barrio,servicios_basicos_score,infraestructura_por_habitante,ranking_infraestructura,percentil_infraestructura
ALBORADA NORTE,500.0,200.0,2.0,1.0,0,0,0,0,17,5,0,0,0,0.4,6.217,0.0,0.0,0.0,0.0,24.0,0.0,0,0,0,1,0.4444,0.06,8333.33,3333.33,7.407,1.0,-31.3416624086498,-64.2683019408073,3,Tipo D (Infr 0.40 - NBI 2.8%),Muy Alta,<b>ALBORADA NORTE</b><br>Pob: 500.0<br>Score: 0.44 (Muy Alta),0.33,8.888,59,87.4
ALBORADA SUR,500.0,200.0,1.0,0.5,0,0,0,0,7,3,23,0,0,0.4,6.217,0.0,0.0,0.0,0.0,14.0,0.0,0,0,0,1,0.2593,0.06,8333.33,3333.33,4.322,1.0,-31.3620500617943,-64.2251144260463,3,Tipo D (Infr 0.40 - NBI 2.8%),Alta,<b>ALBORADA SUR</b><br>Pob: 500.0<br>Score: 0.26 (Alta),0.33,5.186,156,68.4
ALEJANDRO CENTENO,1231.0,432.0,2.0,0.46,2,2,0,0,10,3,21,0,1,0.351,7.116,0.0,1.62,0.0,0.0,8.12,8.12,1,0,0,1,0.2628,0.25,4924.0,1728.0,1.051,3.0,-31.3582805289735,-64.231473963748,1,Tipo B (Infr 0.14 - NBI 3.0%),Alta,<b>ALEJANDRO CENTENO</b><br>Pob: 1231.0<br>Score: 0.26 (Alta),0.67,2.1348,154,69.0
ALMIRANTE BROWN,1019.0,246.0,13.0,5.28,2,2,0,0,6,4,16,0,2,0.241,6.928,0.0,1.96,0.0,0.0,5.89,19.63,1,0,0,1,0.2451,0.13,7838.46,1892.31,1.885,3.0,-31.4616440154167,-64.0911138850279,1,Tipo B (Infr 0.14 - NBI 3.0%),Alta,<b>ALMIRANTE BROWN</b><br>Pob: 1019.0<br>Score: 0.25 (Alta),0.67,2.4053,172,65.4
ALTA CORDOBA,34575.0,12560.0,372.0,2.96,33,13,20,0,31,9,544,1,0,0.363,10.451,0.606,0.95,0.0,0.29,0.9,0.0,1,0,1,1,0.1033,4.78,7233.26,2627.62,0.022,0.67,-31.3903799365102,-64.1842494728698,4,Tipo E (Infr 0.11 - NBI 5.5%),Baja,<b>ALTA CORDOBA</b><br>Pob: 34575.0<br>Score: 0.10 (Baja),0.67,0.0299,369,25.4
ALTAMIRA,6103.0,1895.0,36.0,1.9,2,1,1,1,17,4,91,0,0,0.311,8.717,0.5,0.33,1.64,0.0,2.79,0.0,1,1,0,1,0.1293,0.72,8476.39,2631.94,0.18,1.0,-31.4251579009481,-64.1312574377859,1,Tipo B (Infr 0.14 - NBI 3.0%),Baja,<b>ALTAMIRA</b><br>Pob: 6103.0<br>Score: 0.13 (Baja),1.0,0.2119,317,36.0
ALTO ALBERDI,30472.0,10101.0,389.0,3.85,40,15,25,1,48,14,369,2,2,0.331,10.325,0.625,1.31,0.33,0.66,1.58,0.66,1,1,1,1,0.1782,3.88,7853.61,2603.35,0.046,0.62,-31.4077929131874,-64.219940676278,4,Tipo E (Infr 0.11 - NBI 5.5%),Media,<b>ALTO ALBERDI</b><br>Pob: 30472.0<br>Score: 0.18 (Media),1.0,0.0585,244,50.8
ALTO DE DON BOSCO,675.0,212.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.314,6.516,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.83,813.25,255.42,0.0,1.0,-31.3869535266229,-64.2657645536358,1,Tipo B (Infr 0.14 - NBI 3.0%),Muy Baja,<b>ALTO DE DON BOSCO</b><br>Pob: 675.0<br>Score: 0.00 (Muy Baja),0.0,0.0,469,2.7
ALTO DE SANTA ANA,1508.0,424.0,20.0,4.72,0,0,0,0,6,2,63,0,0,0.281,7.319,0.0,0.0,0.0,0.0,3.98,0.0,0,0,0,1,0.0737,0.63,2393.65,673.02,0.117,1.0,-31.4064423364043,-64.2489468672371,1,Tipo B (Infr 0.14 - NBI 3.0%),Muy Baja,<b>ALTO DE SANTA ANA</b><br>Pob: 1508.0<br>Score: 0.07 (Muy Baja),0.33,0.4887,412,16.8
ALTO HERMOSO,500.0,200.0,0.0,0.0,0,0,0,0,8,3,0,0,0,0.4,6.217,0.0,0.0,0.0,0.0,16.0,0.0,0,0,0,1,0.2963,0.52,961.54,384.62,0.57,1.0,-31.3302939640896,-64.3052937554776,3,Tipo D (Infr 0.40 - NBI 2.8%),Alta,<b>ALTO HERMOSO</b><br>Pob: 500.0<br>Score: 0.30 (Alta),0.33,5.926,132,73.1
