barrio,centroide_lat,centroide_lon,cluster_barrio,dbscan_cluster
1 DE MAYO,-31.4359592193562,-64.1176949424045,2,0
2 DE SEPTIEMBRE,-31.3336313559965,-64.2419277567805,4,2
20 DE JUNIO,-31.38667683145,-64.1637940986309,1,0
23 DE ABRIL,-31.4576861165788,-64.1279620826956,4,0
25 DE MAYO,-31.4900986725101,-64.0823231112529,1,-1
4 DE FEBRERO,-31.4561267034649,-64.1456965562471,0,0
ACHAVAL PENA,-31.436225387803,-64.2040585961533,0,0
ACOSTA,-31.4236045698365,-64.1235108429697,2,0
AEROPUERTO,-31.3249626672809,-64.1957356859382,1,-1
AIRES DEL SUR,-31.4642440553401,-64.1844348530897,0,0
ALBERDI,-31.408369589323,-64.2021742180649,2,0
ALBORADA NORTE,-31.3416624086498,-64.2683019408073,1,0
ALBORADA SUR,-31.3620500617943,-64.2251144260463,0,0
ALEJANDRO CENTENO,-31.3582805289735,-64.231473963748,0,0
ALMIRANTE BROWN,-31.4616440154167,-64.0911138850279,0,1
ALTA CORDOBA,-31.3903799365102,-64.1842494728698,2,-1
ALTAMIRA,-31.4251579009481,-64.1312574377859,2,0
ALTO ALBERDI,-31.4077929131874,-64.219940676278,2,0
ALTO DE DON BOSCO,-31.3869535266229,-64.2657645536358,0,0
ALTO DE SANTA ANA,-31.4064423364043,-64.2489468672371,0,0
ALTO HERMOSO,-31.3302939640896,-64.3052937554776,0,0
ALTO PALERMO,-31.3756925958522,-64.2247362943992,1,0
ALTO VERDE,-31.3735358226288,-64.2141325964614,2,0
ALTOS DE VELEZ SARSFIELD,-31.4483323168207,-64.2140975038702,2,0
ALTOS DE VILLA CABRERA,-31.3812472018439,-64.2196230940151,0,0
ALTOS SAN MARTIN,-31.3772325958898,-64.2143578517347,0,0
ALTOS SUD DE SAN VICENTE,-31.4371311914398,-64.1408888444944,2,0
AMEGHINO NORTE,-31.4291728661583,-64.2372008417107,4,0
AMEGHINO SUD,-31.4344344120781,-64.2375798932284,2,0
AMPLIACION ALTAMIRA,-31.418800365534,-64.130149050924,2,0
AMPLIACION BENJAMIN MATIENZO,-31.44629840021855,-64.2349158491345,4,0
AMPLIACION CABO FARINA,-31.4615420959235,-64.2148780007921,0,0
AMPLIACION EMPALME,-31.4317354197924,-64.1252161280049,2,0
AMPLIACION GENERAL ARTIGAS,-31.4632233206896,-64.1958875212659,2,0
AMPLIACION JARDIN ESPINOSA,-31.4554158322251,-64.1732980577387,0,0
AMPLIACION JOSE IGNACIO DIAZ SECCION 2,-31.4509219153054,-64.1466007273166,4,0
AMPLIACION JOSE IGNACIO DIAZ SECCION 3,-31.4507822343279,-64.1432181375558,0,0
AMPLIACION KENNEDY,-31.4562968531853,-64.1943881636183,1,0
AMPLIACION LAS PALMAS,-31.4010828106417,-64.2428597732512,2,0
AMPLIACION LOS ALAMOS,-31.3644166507386,-64.1542919428214,0,0
AMPLIACION LOS PLATANOS,-31.4186010236435,-64.2341405576036,0,0
AMPLIACION PALMAR,-31.3875352636237,-64.1202527784613,0,0
AMPLIACION PANAMERICANO,-31.365476066006,-64.1799886672889,0,0
AMPLIACION PARQUE SAN CARLOS,-31.4499585215276,-64.1563841653437,0,0
AMPLIACION POETA LUGONES,-31.3597595516254,-64.2227669849132,2,0
AMPLIACION PRIMERO DE MAYO,-31.4437153991218,-64.1123370937661,4,0
AMPLIACION PUEYRREDON,-31.393666954668,-64.1450821797477,2,0
AMPLIACION RESIDENCIAL AMERICA,-31.376008249888,-64.1612331264453,2,0
AMPLIACION ROSEDAL,-31.4399633501796,-64.2242393178094,2,0
AMPLIACION SAN FERNANDO,-31.4534767190212,-64.1916184339401,2,0
AMPLIACION SAN PABLO,-31.4520403999847,-64.1597214554589,2,0
AMPLIACION URCA,-31.3861014776024,-64.2397057643087,0,0
AMPLIACION VELEZ SARSFIELD,-31.4536351703001,-64.2155839465438,2,0
ANA MARIA ZUMARAN,-31.3788939846699,-64.2012741737084,2,0
ANEXO LOS ALAMOS,-31.3666642452745,-64.1594514014465,3,0
APEADERO LA TABLADA,-31.3520184390118,-64.2355975006689,0,0
ARGUELLO,-31.3461722429859,-64.262051826128,2,0
ARGUELLO II,-31.3247249919385,-64.2422392486779,4,2
ARGUELLO NORTE,-31.3308180580161,-64.2488448935656,4,2
ARTURO CAPDEVILA,-31.3761910181056,-64.131224666199,2,0
ATE,-31.4341764450624,-64.2307559136671,0,0
AVENIDA,-31.4281121539283,-64.2169629957844,0,0
AYACUCHO,-31.3790860572758,-64.1710426559524,2,0
BAJADA DE PIEDRA,-31.414768303164,-64.1450691476688,4,3
BAJADA SAN ROQUE,-31.4270086711897,-64.2050175366239,0,0
BAJO GALAN,-31.393145323592,-64.2020960413652,1,0
BAJO GENERAL PAZ,-31.415001699413,-64.1586498297489,1,3
BARRANCAS DEL SUR,-31.4629669528025,-64.1843646320929,0,0
BELLA VISTA,-31.4310760948932,-64.2017610385703,2,0
BELLA VISTA OESTE,-31.4325822240742,-64.2076232592013,2,0
BETANIA,-31.4568137138722,-64.0910018817445,4,1
BIALET MASSE,-31.4525117900242,-64.1651467142123,2,0
BOEDO,-31.4319549557882,-64.1081671999376,4,0
BRIGADIER SAN MARTIN,-31.3411226022524,-64.2394604532514,1,0
CABANA DEL PILAR,-31.4422675134741,-64.167683330608,1,0
CABO FARINA,-31.46548795914475,-64.20747572478724,4,0
CACERES,-31.4334534441777,-64.1995556046831,1,0
CALIFORNIA,-31.4512195238216,-64.2049114948959,1,0
CAMINO A SAN CARLOS,-31.498433296585,-64.1602009421762,4,-1
CAMINO A VILLA POSSE,-31.4454314028892,-64.1016340990286,1,0
CAMPING GRL SAN MARTIN,-31.3643753189019,-64.2618877279315,0,0
CARBO,-31.481475590577,-64.2062215826798,1,0
CAROLA LORENZINI,-31.4287913300171,-64.2143267353581,0,0
CARRARA,-31.4539727871905,-64.2571015075561,1,-1
CASEROS,-31.4142417872261,-64.2082520348117,2,0
CENTRO,-31.4178042932322,-64.1834500355127,2,-1
CENTRO AMERICA,-31.3711168685116,-64.169598089564,2,0
CERRO CHICO,-31.3661094460602,-64.2218998049562,2,0
CERRO DE LAS ROSAS,-31.3721205657055,-64.2338114049795,2,0
CERRO NORTE,-31.3209690442071,-64.2768733858269,2,-1
CERVECEROS,-31.4645962351559,-64.1590022913468,2,0
CHATEAU CARRERAS,-31.3816923685587,-64.2552177396363,1,0
CIRCUNVALACION,-31.41451436457093,-64.20343550824263,1,0
CIUDAD AMPLIACION CABILDO,-31.4849199270226,-64.2274587118079,4,6
CIUDAD AMPLIACION FERREYRA,-31.4735017733638,-64.1192198232826,0,-1
CIUDAD DE JUAN PABLO II,-31.3635208249505,-64.1578281757511,2,0
CIUDAD DE LAS ARTES,-31.4372589847956,-64.1749362785875,0,0
CIUDAD DE LOS CUARTETOS,-31.3566522536983,-64.1303859488957,4,-1
CIUDAD DE MIS SUENOS,-31.4778174582913,-64.086363859368,4,1
CIUDAD EVITA,-31.4484079521651,-64.1087832676033,4,0
CIUDAD MI ESPERANZA,-31.4039224720164,-64.0647579740385,4,-1
CIUDAD OBISPO ANGELELLI,-31.5051491986518,-64.1937646299897,4,-1
CIUDAD PARQUE LAS ROSAS,-31.4488199161473,-64.2411054061895,2,0
CIUDAD UNIVERSITARIA,-31.4381745010519,-64.1885056254328,1,0
CIUDAD VILLA RETIRO,-31.3475166725032,-64.1404442766924,4,-1
CIUDADELA,-31.4460153622855,-64.2017866497851,0,0
CLAROS DEL BOSQUE,-31.456977552863,-64.1501328655991,0,0
COFICO,-31.4031901115249,-64.1852851395368,1,-1
COLINAS DE BELLA VISTA,-31.436452678148,-64.2085248637918,1,0
COLINAS DE VELEZ SARSFIELD,-31.4381468762996,-64.1990623202613,0,0
COLINAS DEL CERRO,-31.3794775140737,-64.2425945373611,2,0
COLON,-31.436618122344,-64.1545306231643,2,0
COLONIA LOLA,-31.41369840274715,-64.1166371703697,4,0
COMANDANTE ESPORA,-31.4172008300048,-64.2239801087424,0,0
COMERCIAL,-31.4888795374585,-64.2022362312717,4,0
CONGRESO,-31.4681013129692,-64.2358058990285,2,6
CONSORCIO 16 DE NOVIEMBRE,-31.318339045152,-64.2568748329355,1,2
CONSORCIO ESPERANZA,-31.420751186944,-64.2343527594393,0,0
COOPERATIVA 16 DE NOVIEMBRE,-31.313277089012065,-64.26143287238966,4,2
COOPERATIVA EL FUTURO,-31.4401823495232,-64.1081012779207,0,0
COOPERATIVA LA HERMOSA,-31.4387347588299,-64.108104347353,4,0
COOPERATIVA LA UNIDAD,-31.4306306779508,-64.1128840395055,2,0
CORDOBA IV,-31.3896498487242,-64.2635715412857,1,0
CORDOBA V,-31.3849544927415,-64.2624888179182,0,0
CORRAL DE PALOS,-31.4396411027469,-64.141051484461,2,0
COSTA VERDE,-31.3812221255911,-64.2504690018409,1,0
COUNTRY ALTOS DEL CHATEAU,-31.374793804328448,-64.2668099528476,0,0
COUNTRY BARRANCAS,-31.3805061482489,-64.2462880530412,0,0
COUNTRY CLUB,-31.4533364108918,-64.1872789853517,0,0
COUNTRY FORTIN DEL POZO,-31.4740206319748,-64.1757907577539,0,-1
COUNTRY JOCKEY CLUB,-31.4634727942897,-64.1766590207414,0,0
COUNTRY LA RESERVA,-31.3672636397445,-64.2683557873944,0,0
COUNTRY LAS DELICIAS,-31.3619352535703,-64.2994579008155,0,-1
COUNTRY LOMAS DE LA CAROLINA,-31.3556553169784,-64.3056209170965,0,-1
COUNTRY LOS ALGARROBOS,-31.4833510004042,-64.2406895217807,0,4
COUNTRY LOS MIMBRES,-31.4933845474551,-64.1839627867177,0,-1
COUNTRY RANCH CLUB,-31.4527198034093,-64.2191810889962,0,0
COUNTRY VALLE ESCONDIDO,-31.365093628436902,-64.280614112077,2,0
CRISOL NORTE,-31.428051362204,-64.167176368668,1,0
CRISOL SUD,-31.4349582821362,-64.1674254311003,2,0
CUPANI,-31.4214735888533,-64.2076951619414,2,0
DE LOS BIOQUIMICOS,-31.3204288535283,-64.2668138957885,0,2
DE LOS DOCENTES,-31.4590670929175,-64.1524118917786,3,0
DEAN FUNES,-31.4458597071522,-64.1178957921271,0,0
DIPAS,-31.3563236095696,-64.2944936477692,0,0
DUCASSE,-31.404888252086,-64.1908855434012,1,-1
EJERCITO ARGENTINO,-31.447568948723,-64.1961913422897,1,0
EL BALCON,-31.3747201959085,-64.2747796532456,0,0
EL BOSQUE,-31.3380384713002,-64.307387518257,0,-1
EL CABILDO,-31.4859068227125,-64.2351105437776,2,4
EL CERRITO,-31.3221687252868,-64.2502548066828,4,2
EL PRADO,-31.375753313966,-64.2703111858803,0,0
EL PUEBLITO,-31.4064405446942,-64.2568328545741,4,0
EL QUEBRACHAL,-31.3380076521557,-64.0666753385544,0,-1
EL QUEBRACHO,-31.4773371547605,-64.1377151621983,4,-1
EL REFUGIO,-31.3442649511605,-64.2818199937408,0,0
EL TREBOL,-31.4230857776258,-64.2255537451732,0,0
EL VIEJO ALGARROBO,-31.5024363493638,-64.1658119554321,1,-1
EMAUS,-31.4371264001266,-64.1430479576708,3,0
EMPALME,-31.4345112094775,-64.130487667635,2,0
EMPALME CASAS DE OBREROS Y EMPLEADOS,-31.4387401458057,-64.1251666065268,0,0
ESCOBAR,-31.3918891605182,-64.2206422574801,2,0
ESCUELA DE SUBOFICIALES,-31.4272175434882,-64.2575368439051,0,-1
ESTACION FLORES,-31.4487314083608,-64.2475078934286,4,0
ESTADIO CORDOBA,-31.3678801343148,-64.2467689606442,0,5
FERIAR,-31.3702867943909,-64.2556701915654,0,5
FERRER,-31.4437749243189,-64.2117812947588,4,0
FERREYRA,-31.4663540173135,-64.1106089877883,4,1
FERREYRA SEGUNDA SECCION,-31.4710619707259,-64.1175953235484,4,-1
FERROVIARIO MITRE,-31.4334514626288,-64.136352474103,1,0
FINCA LA DOROTEA,-31.3764290500034,-64.1151406917793,0,-1
FINCAS DEL SUR,-31.4867716545205,-64.1572739805666,0,-1
GENERAL ARENALES,-31.3687802681924,-64.0602371117818,4,-1
GENERAL ARTIGAS,-31.4615195852108,-64.1996215023561,0,0
GENERAL BELGRANO,-31.3704293934515,-64.1372878299525,2,0
GENERAL BUSTOS,-31.3903336123251,-64.1696498558799,2,0
GENERAL MOSCONI,-31.3651885926033,-64.1504410565656,4,0
GENERAL PAZ,-31.4125574874454,-64.1656906995031,2,3
GENERAL PUEYRREDON,-31.4020774327923,-64.1624596839047,2,3
GENERAL SAVIO,-31.371992117919,-64.1580891610321,4,0
GRANADERO PRINGLES,-31.3755515882091,-64.1976083748721,2,0
GRANJA DE FUNES,-31.349164455122,-64.2445719762199,2,0
GUARNICION AEREA CORDOBA,-31.4437692781579,-64.2815434253756,0,-1
GUARNICION MILITAR CORDOBA,-31.3932530580866,-64.2925498765201,0,-1
