barrio,poblacion,hogares,nbi,pct_nbi,escuelas_municipales,escuelas_total,escuelas_estatales,escuelas_privadas,centros_salud,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales
SARGENTO CABRAL,0,0,78,0.0,0,1,1,0,1,9,4,34,0,1
SANTA RITA,0,395,13,3.29,0,5,5,0,1,14,5,247,0,0
SANTA ISABEL SECCION 3,0,0,51,0.0,0,2,2,0,0,14,3,0,0,2
SANTA ISABEL SECCION 2,0,0,100,0.0,0,8,4,4,1,19,5,0,0,1
SANTA ISABEL SECCION 1,0,0,45,0.0,0,3,3,0,1,13,6,0,0,1
SANTA ISABEL ANEXO,0,328,24,7.32,0,0,0,0,0,8,2,0,0,0
SANTA CLARA DE ASIS,0,481,8,1.66,0,9,3,6,0,8,2,200,0,1
SANTA CECILIA,0,317,40,12.62,0,2,2,0,0,7,3,40,0,1
SAN VICENTE,0,0,291,0.0,0,11,4,7,0,42,9,272,1,1
SAN SALVADOR,0,648,4,0.62,0,1,1,0,0,16,9,339,0,1
SAN RAMON,356,96,11,11.46,0,3,3,0,0,3,1,0,0,0
SAN RAFAEL,0,0,20,0.0,0,8,2,6,0,9,2,252,1,0
SAN PEDRO NOLASCO,982,265,26,9.81,0,2,2,0,0,9,1,15,0,2
SAN PABLO,0,672,25,3.72,0,0,0,0,0,15,6,69,0,1
SAN NICOLAS,0,596,44,7.38,0,1,1,0,0,7,2,193,0,1
SAN MARTIN NORTE,0,560,34,6.07,0,5,2,3,1,13,7,44,0,0
SAN MARTIN ANEXO,0,0,37,0.0,0,0,0,0,0,12,3,0,0,0
SAN MARTIN,0,0,207,0.0,0,10,5,5,1,19,5,72,0,0
SAN MARCELO,270,91,0,0.0,0,0,0,0,0,14,11,8,0,0
SAN LUIS DE FRANCIA,406,107,4,3.74,0,2,2,0,0,6,1,19,0,0
SAN LORENZO NORTE,419,140,5,3.57,0,1,1,0,0,4,2,47,0,1
SAN LORENZO,0,618,17,2.75,0,2,2,0,1,27,8,0,0,1
SAN JOSE,548,166,2,1.2,0,5,2,3,0,15,4,27,0,1
SAN JAVIER,0,413,36,8.72,0,1,1,0,0,7,1,10,0,0
SAN IGNACIO,0,755,82,10.86,0,0,0,0,0,17,3,181,0,1
SAN FRANCISCO,0,362,2,0.55,0,1,1,0,0,6,4,133,0,0
SAN FERNANDO,0,0,65,0.0,0,7,2,5,0,9,4,246,0,0
SAN FELIPE,0,667,44,6.6,0,2,2,0,0,4,3,20,0,1
SAN DANIEL,0,455,13,2.86,0,3,3,0,1,8,11,158,0,1
SAN CAYETANO,288,65,6,9.23,0,0,0,0,0,9,9,14,0,0
SAN ANTONIO,323,93,4,4.3,0,1,1,0,0,11,2,2,1,1
SACHI,0,255,28,10.98,0,2,2,0,0,10,2,0,0,1
ROSEDAL ANEXO,916,288,6,2.08,0,1,1,0,0,5,3,0,0,2
ROSEDAL,0,755,6,0.79,0,2,2,0,0,1,1,186,0,2
ROGELIO MARTINEZ,0,390,3,0.77,0,1,1,0,0,12,7,0,0,1
ROCIO DEL SUR,0,0,0,0.0,0,0,0,0,0,4,1,0,0,0
ROCIO,0,0,0,0.0,0,0,0,0,0,3,1,0,0,1
RIVERA INDARTE,0,517,23,4.45,0,3,0,3,0,6,2,301,0,1
RIVADAVIA,0,0,25,0.0,0,0,0,0,0,14,11,37,0,1
RESIDENCIAL VELEZ SARSFIELD,0,0,6,0.0,0,1,1,0,0,14,5,372,0,1
RESIDENCIAL SUD,947,282,5,1.77,0,8,5,3,0,39,10,30,1,1
RESIDENCIAL SANTA ROSA,0,713,43,6.03,0,4,3,1,0,7,2,0,0,1
RESIDENCIAL SANTA ANA,0,474,13,2.74,0,1,1,0,0,17,6,0,0,1
RESIDENCIAL SAN ROQUE,0,0,501,0.0,0,6,6,0,1,12,2,90,0,2
RESIDENCIAL SAN JORGE,0,292,36,12.33,0,3,3,0,0,1,1,31,0,1
RESIDENCIAL SAN CARLOS,0,908,17,1.87,0,0,0,0,0,11,7,672,2,0
RESIDENCIAL OLIVOS,971,311,4,1.29,0,1,1,0,0,3,3,118,0,1
RESIDENCIAL ARAGON,0,432,55,12.73,0,3,3,0,0,5,1,5,0,0
RESIDENCIAL AMERICA,0,0,50,0.0,0,3,0,3,0,13,4,64,0,1
RES CHATEAU CARRERAS CO VI CO,201,62,0,0.0,0,0,0,0,0,5,2,0,0,0
RENE FAVALORO II,0,470,9,1.91,0,0,0,0,0,4,2,0,0,1
RENE FAVALORO,0,296,1,0.34,0,3,3,0,0,5,1,0,0,1
RENACIMIENTO,0,699,71,10.16,0,1,1,0,0,13,1,2,0,1
REMEDIOS DE ESCALADA,0,0,150,0.0,0,0,0,0,0,0,0,17,0,1
RECREO DEL NORTE,0,487,61,12.53,0,0,0,0,0,0,0,15,0,0
RAMON J CARCANO,0,532,50,9.4,0,1,1,0,0,6,4,0,0,1
QUINTAS DE SAN JORGE,0,340,46,13.53,0,1,1,0,1,4,2,28,0,2
QUINTAS DE ITALIA,436,115,3,2.61,0,0,0,0,0,0,0,52,0,0
QUINTAS DE FLORES,194,44,0,0.0,0,0,0,0,0,10,1,5,0,0
QUINTAS DE ARGUELLO,649,205,2,0.98,0,6,6,0,0,10,3,0,0,1
QUINTA SANTA ANA,648,242,0,0.0,0,2,2,0,0,4,3,11,0,0
QUEBRADA DE LAS ROSAS,0,0,20,0.0,0,3,3,0,0,21,7,568,0,0
PUENTE BLANCO,0,354,14,3.95,0,2,2,0,0,5,2,68,0,1
PROVIDENCIA,0,0,148,0.0,0,5,4,1,0,30,21,405,0,1
PRIMERA JUNTA,783,253,3,1.19,0,1,1,0,0,10,4,0,0,1
POSTA DE VARGAS,719,171,5,2.92,0,0,0,0,0,4,2,3,0,1
PORTAL DEL JACARANDA,183,54,2,3.7,0,1,0,1,0,9,3,0,0,0
PORTAL DE CORDOBA,0,535,20,3.74,0,2,2,0,0,3,1,33,0,0
POLICIAL,0,0,156,0.0,0,4,4,0,1,2,1,65,0,1
POLICARPIO CABRAL,517,157,5,3.18,0,0,0,0,0,10,2,0,0,0
POETA LUGONES,0,0,14,0.0,0,6,5,1,0,31,5,992,0,1
PIEDRAS BLANCAS,41,16,0,0.0,0,0,0,0,0,5,1,0,0,0
PATRICIOS OESTE,0,0,114,0.0,0,3,3,0,0,16,6,43,1,1
PATRICIOS NORTE,0,485,39,8.04,0,0,0,0,0,14,5,227,0,1
PATRICIOS ESTE,0,653,51,7.81,0,1,1,0,1,1,1,10,0,1
PATRICIOS,0,0,67,0.0,0,0,0,0,0,8,1,466,0,1
PATRIA,0,640,5,0.78,0,3,0,3,0,19,8,0,0,0
PASO DE LOS ANDES,0,902,25,2.77,0,17,6,11,0,12,18,238,2,0
PARQUE VELEZ SARSFIELD,0,0,8,0.0,0,1,1,0,0,13,3,1016,0,1
PARQUE TABLADA,981,323,1,0.31,0,0,0,0,0,16,4,30,0,1
PARQUE SARMIENTO,0,0,0,0.0,0,6,5,1,0,7,12,4,0,0
PARQUE SAN VICENTE,0,451,3,0.67,0,6,6,0,0,19,7,147,0,0
PARQUE SAN CARLOS,749,231,2,0.87,0,1,1,0,0,8,2,3,0,0
PARQUE REPUBLICA,0,0,201,0.0,0,2,2,0,1,15,2,12,1,1
PARQUE MONTECRISTO,0,466,6,1.29,0,7,4,3,0,7,2,26,0,2
PARQUE MODELO,259,82,0,0.0,0,0,0,0,0,7,3,0,0,1
PARQUE LOS MOLINOS,864,264,6,2.27,0,0,0,0,0,15,7,39,0,0
PARQUE LICEO SECCION 3,0,0,164,0.0,0,1,1,0,1,25,4,0,0,1
PARQUE LICEO SECCION 2,0,0,157,0.0,0,9,9,0,1,14,2,0,0,1
PARQUE LICEO SECCION 1,0,0,58,0.0,0,0,0,0,0,2,1,0,0,1
PARQUE LATINO,0,432,4,0.93,0,4,0,4,0,12,7,119,0,1
