barrio,poblacion,hogares,nbi,escuelas_municipales,pct_nbi,centros_salud
SAN FERNANDO,4094.0,1612.0,65.0,0,4.0,0
SAN FELIPE,2553.0,667.0,44.0,0,6.6,0
SAN DANIEL,1359.0,455.0,13.0,0,2.9,0
SAN CAYETANO,288.0,65.0,6.0,0,9.2,0
SAN ANTONIO,323.0,93.0,4.0,0,4.3,0
SACHI,1053.0,255.0,28.0,1,11.0,1
ROSEDAL ANEXO,916.0,288.0,6.0,0,2.1,1
ROSEDAL,2314.0,755.0,6.0,1,0.8,0
ROGELIO MARTINEZ,1204.0,390.0,3.0,0,0.8,0
ROCIO DEL SUR,,,,0,,0
ROCIO,,,,0,,0
RIVERA INDARTE,1742.0,517.0,23.0,0,4.4,0
RIVADAVIA,3105.0,1064.0,25.0,0,2.3,0
RESIDENCIAL VELEZ SARSFIELD,3161.0,1013.0,6.0,0,0.6,0
RESIDENCIAL SUD,947.0,282.0,5.0,0,1.8,0
RESIDENCIAL SANTA ROSA,2741.0,713.0,43.0,0,6.0,0
RESIDENCIAL SANTA ANA,1547.0,474.0,13.0,0,2.7,0
RESIDENCIAL SAN ROQUE,13559.0,3398.0,501.0,1,14.7,1
RESIDENCIAL SAN JORGE,1120.0,292.0,36.0,2,12.3,1
RESIDENCIAL SAN CARLOS,2868.0,908.0,17.0,1,1.9,0
RESIDENCIAL OLIVOS,971.0,311.0,4.0,0,1.3,0
RESIDENCIAL ARAGON,1719.0,432.0,55.0,0,12.7,0
RESIDENCIAL AMERICA,6874.0,2183.0,50.0,0,2.3,0
RES CHATEAU CARRERAS CO VI CO,201.0,62.0,0.0,0,0.0,0
RENE FAVALORO II,1536.0,470.0,9.0,0,1.9,0
RENE FAVALORO,1012.0,296.0,1.0,0,0.3,0
RENACIMIENTO,2927.0,699.0,71.0,1,10.2,1
REMEDIOS DE ESCALADA,4565.0,1256.0,150.0,0,11.9,1
RECREO DEL NORTE,2032.0,487.0,61.0,0,12.5,0
RAMON J CARCANO,2031.0,532.0,50.0,0,9.4,1
QUINTAS DE SAN JORGE,1537.0,340.0,46.0,0,13.5,0
QUINTAS DE ITALIA,436.0,115.0,3.0,0,2.6,0
QUINTAS DE FLORES,194.0,44.0,0.0,0,0.0,0
QUINTAS DE ARGUELLO,649.0,205.0,2.0,0,1.0,0
QUINTA SANTA ANA,648.0,242.0,0.0,0,0.0,1
QUEBRADA DE LAS ROSAS,4842.0,1503.0,20.0,0,1.3,0
PUENTE BLANCO,1157.0,354.0,14.0,0,4.0,0
PROVIDENCIA,4998.0,1856.0,148.0,0,8.0,0
PRIMERA JUNTA,783.0,253.0,3.0,0,1.2,0
POSTA DE VARGAS,719.0,171.0,5.0,0,2.9,0
PORTAL DEL JACARANDA,183.0,54.0,2.0,0,3.7,0
PORTAL DE CORDOBA,2234.0,535.0,20.0,0,3.7,0
POLICIAL,4680.0,1212.0,156.0,0,12.9,0
POLICARPIO CABRAL,517.0,157.0,5.0,0,3.2,0
POETA LUGONES,7839.0,2591.0,14.0,0,0.5,0
PIEDRAS BLANCAS,41.0,16.0,0.0,0,0.0,0
PATRICIOS OESTE,5211.0,1370.0,114.0,0,8.3,0
PATRICIOS NORTE,1790.0,485.0,39.0,0,8.0,0
PATRICIOS ESTE,2550.0,653.0,51.0,0,7.8,1
PATRICIOS,4731.0,1400.0,67.0,1,4.8,0
PATRIA,1790.0,640.0,5.0,0,0.8,0
PASO DE LOS ANDES,2529.0,902.0,25.0,0,2.8,0
PARQUE VELEZ SARSFIELD,3045.0,1004.0,8.0,0,0.8,0
PARQUE TABLADA,981.0,323.0,1.0,0,0.3,0
PARQUE SARMIENTO,,,,0,,0
