barrio,poblacion,hogares,nbi,pct_nbi,escuelas_total,escuelas_estatales,escuelas_privadas,dispensarios_municipales,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,poblacion_log,pct_escuelas_privadas,escuelas_por_1000_hab,dispensarios_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_dispensario,tiene_comisaria,tiene_transporte,infraestructura_score,centroide_lat,centroide_lon,area_barrio_km2,densidad_poblacional,densidad_hogares,infraestructura_por_km2,educacion_ratio_publico_privado,tamano_promedio_hogar,cluster_barrio,cluster_barrio_str,cluster_descripcion,categoria_infraestructura,tooltip_html
1 DE MAYO,3.3788524434880727,2.5455135646794878,2.1897669837031786,0.16922287126528923,0.8248861171391112,1.0689531712988085,0.39275916217071455,-0.4889171865444709,0.4457179959649944,-0.20042968347886214,-0.31940471773047346,-0.2853478608449372,1.6748596541598555,2.558551086262831,0.6139020778240882,-0.5023409759346499,-0.41923022653073,-0.2772718104008337,-0.9201833783002596,-0.5236368020780688,0.8460434230488473,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,-1.0236017594186895,-31.436,-64.1177,0.27953048004065584,2.1486436536638664,1.5137969818235346,-0.5109540662571735,-0.04221010194236202,0.5419474472764608,0.3229879685276647,Cluster 2,Area de Transición (Estrato 2),Muy Baja,<b>1 DE MAYO</b><hr>Tipología: <span style='color:#38bdf8'>Area de Transición (Estrato 2)</span><br>Pob: 19996.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
2 DE SEPTIEMBRE,-0.06786061154282395,-0.1861339528612233,0.5505727335797597,2.8971855437901533,-0.35513137076247453,-0.31481413714624074,-0.3185713204273574,1.901887855657992,-0.01566240205973512,-0.20042968347886214,-0.5490765103497621,-0.2853478608449372,0.3188888414377209,0.46520778529056483,-0.4496412372007491,-0.47983143565910086,1.6586469539242847,-0.2772718104008337,-0.3995433496154725,-0.17570613763860599,0.8460434230488473,2.0102828441296667,-0.29847421946995023,0.29027091864054483,0.008843435000768242,-31.3336,-64.2419,-0.25790749583182104,0.8034810234455936,0.16190997242786448,-0.18499253544599778,-0.04221010194236202,2.0478958633105893,1.7854057149168137,Cluster 4,Area de Transición (Estrato 4),Alta,<b>2 DE SEPTIEMBRE</b><hr>Tipología: <span style='color:#38bdf8'>Area de Transición (Estrato 4)</span><br>Pob: 2624.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
20 DE JUNIO,-0.4573320441369783,-0.3986197661743339,-0.19313576879105077,1.5724298145836342,-0.5518009520794055,-0.660755964257503,-0.3185713204273574,1.901887855657992,0.4457179959649944,0.18167602888434883,-0.5188565376366978,-0.2853478608449372,-1.0370819712844137,-0.9557907707388849,-0.4496412372007491,-0.7649522791493887,3.2113284060910634,-0.2772718104008337,2.6428988239083124,-0.647455543871472,-1.181972429259419,2.0102828441296667,-0.29847421946995023,0.29027091864054483,2.3512034698399122,-31.3867,-64.1638,-0.37868007467956866,1.915789134579108,1.5494318073003177,5.331063369574158,-0.6057028633350752,0.03996464193175137,-0.40822090466690975,Cluster 1,Núcleo Urbano Consolidado Mayor,Muy Alta,<b>20 DE JUNIO</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Urbano Consolidado Mayor</span><br>Pob: 661.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
23 DE ABRIL,-0.21567325407091617,-0.2759475440554247,0.1180075842416352,1.9771667601151008,-0.5518009520794055,-0.660755964257503,-0.3185713204273574,-0.4889171865444709,-0.7538710388993024,-0.5825353958420731,-0.36775667407137635,-0.2853478608449372,0.3188888414377209,0.12078578404685159,-0.4496412372007491,-0.7649522791493887,-0.41923022653073,-0.2772718104008337,-0.797318474775826,0.011260162469432766,-1.181972429259419,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,-1.0746862872675689,-31.4577,-64.128,-0.2941392694861453,0.7051258589833032,0.11052269317870583,-0.4656426034612235,-0.6057028633350752,1.995966607585274,1.7854057149168137,Cluster 4,Area de Transición (Estrato 4),Muy Baja,<b>23 DE ABRIL</b><hr>Tipología: <span style='color:#38bdf8'>Area de Transición (Estrato 4)</span><br>Pob: 1879.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
25 DE MAYO,-0.48927544742157275,-0.3986197661743339,-0.17036918198378107,1.8398771354194052,0.43154695450524927,1.0689531712988085,-0.3185713204273574,-0.4889171865444709,0.07661367754521078,-0.5825353958420731,-0.5249005321793108,-0.2853478608449372,4.386801279604125,-1.2424653705764666,-0.4496412372007491,2.839200277970605,-0.41923022653073,-0.2772718104008337,2.6428988239083124,9.258043799600777,0.8460434230488473,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,2.9486235797357554,-31.4901,-64.0823,-0.2941392694861453,-0.8188401106261477,-0.566615168549539,0.9945105038470284,2.2117609436284904,-1.3448155107433089,-0.40822090466690975,Cluster 1,Núcleo Urbano Consolidado Mayor,Muy Alta,<b>25 DE MAYO</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Urbano Consolidado Mayor</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
4 DE FEBRERO,-0.4190396414417813,-0.39478625923311805,-0.2842021160201296,0.4545000134901117,-0.5518009520794055,-0.660755964257503,-0.3185713204273574,-0.4889171865444709,-0.8461471185042483,-0.39148253966046764,-0.4825925703810207,-0.2853478608449372,0.3188888414377209,-0.6918026500251407,-0.4496412372007491,-0.7649522791493887,-0.41923022653073,-0.2772718104008337,-0.6836684390157252,0.8024619225292788,-1.181972429259419,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,-1.0010170207907636,-31.4561,-64.1457,-0.25186886688943366,-0.6918838913414562,-0.7206627397929665,-0.46248133861499435,-0.6057028633350752,1.4766740503321267,-1.1394297778614841,Cluster 0,Periferia Excluida NBI,Muy Baja,<b>4 DE FEBRERO</b><hr>Tipología: <span style='color:#38bdf8'>Periferia Excluida NBI</span><br>Pob: 854.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
ACHAVAL PENA,-0.43888026459991447,-0.3887621768969216,-0.329735289634669,-0.10535637812610231,-0.5518009520794055,-0.660755964257503,-0.3185713204273574,-0.4889171865444709,-0.47704280008446465,-0.5825353958420731,-0.0776449360259591,-0.2853478608449372,-1.0370819712844137,-0.819671895995861,-0.4496412372007491,-0.7649522791493887,-0.41923022653073,-0.2772718104008337,0.1794575082434204,-0.647455543871472,-1.181972429259419,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,-0.44123814194146405,-31.4362,-64.2041,4.476377594999886,-1.3528391899733687,-1.156518716330038,-0.5169253443000507,-0.6057028633350752,0.3169206724667637,-1.1394297778614841,Cluster 0,Periferia Excluida NBI,Baja,<b>ACHAVAL PENA</b><hr>Tipología: <span style='color:#38bdf8'>Periferia Excluida NBI</span><br>Pob: 754.0<br>Score Infra: <b style='color:#e2e8f0'>Baja</b>
ACOSTA,0.5051365852640624,0.3237224703204932,0.6340502185397486,0.6845047094088746,0.8248861171391112,1.7608368255213334,-0.3185713204273574,-0.4889171865444709,0.6302701551748863,-0.20042968347886214,-0.45841659221056924,-0.2853478608449372,0.3188888414377209,1.230360853921807,-0.4496412372007491,0.1879515925155208,-0.41923022653073,-0.2772718104008337,-0.5408379886685711,-0.42334362122541225,0.8460434230488473,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,-0.434247627604249,-31.4236,-64.1235,-0.02843959602110056,0.39708068255872403,0.16190997242786448,-0.43894747809306683,3.3387464664139164,0.611186454910214,0.3229879685276647,Cluster 2,Area de Transición (Estrato 2),Media,<b>ACOSTA</b><hr>Tipología: <span style='color:#38bdf8'>Area de Transición (Estrato 2)</span><br>Pob: 5512.0<br>Score Infra: <b style='color:#e2e8f0'>Media</b>
AEROPUERTO,-0.48927544742157275,-0.3986197661743339,-0.36767960098011854,-0.4779996451572765,-0.35513137076247453,-0.31481413714624074,-0.3185713204273574,-0.4889171865444709,-0.2924906408745728,-0.39148253966046764,-0.5490765103497621,-0.2853478608449372,-1.0370819712844137,-1.2424653705764666,-0.4496412372007491,0.7356837392205475,-0.41923022653073,-0.2772718104008337,1.414249788663977,-0.647455543871472,0.8460434230488473,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,1.105816454071442,-31.325,-64.1957,1.4751790106333573,-1.3394218777757683,-1.136206484919925,-0.4740726430511677,-0.04221010194236202,-1.3448155107433089,-0.40822090466690975,Cluster 1,Núcleo Urbano Consolidado Mayor,Muy Alta,<b>AEROPUERTO</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Urbano Consolidado Mayor</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
AIRES DEL SUR,-0.48927544742157275,-0.3986197661743339,-0.40562391232556805,-0.9237451798835615,-0.5518009520794055,-0.660755964257503,-0.3185713204273574,-0.4889171865444709,-0.8461471185042483,-0.39148253966046764,-0.5490765103497621,-0.2853478608449372,-1.0370819712844137,-1.2424653705764666,-0.4496412372007491,-0.7649522791493887,-0.41923022653073,-0.2772718104008337,-0.4287237642025255,-0.647455543871472,-1.181972429259419,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,-0.8353956041859758,-31.4642,-64.1844,-0.36660281679479395,0.28628292539132033,0.6425529772897798,-0.08945208675996344,-0.6057028633350752,-1.3448155107433089,-1.1394297778614841,Cluster 0,Periferia Excluida NBI,Muy Baja,<b>AIRES DEL SUR</b><hr>Tipología: <span style='color:#38bdf8'>Periferia Excluida NBI</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Baja</b>
ALBERDI,5.905158990213171,7.983069338869889,6.105619914553568,0.0622439429309809,6.9216431379639705,4.18242961530017,8.217394470749506,-0.4889171865444709,3.3062764637183175,4.3848388648796695,1.59049755773519,5.916212314851698,1.6748596541598555,3.066934459356096,1.9005663680289615,0.10541661150517423,-0.41923022653073,1.3791124748735804,-0.8218914554807127,-0.5719261113774959,0.8460434230488473,-0.49744243847086145,3.3503731135501913,0.29027091864054483,-0.4234929901623796,-31.4084,-64.2022,1.106822645147727,1.2328091538638999,2.2034715114245094,-0.5021727750176483,-0.8310999678921603,-2.019895835172401,0.3229879685276647,Cluster 2,Area de Transición (Estrato 2),Media,<b>ALBERDI</b><hr>Tipología: <span style='color:#38bdf8'>Area de Transición (Estrato 2)</span><br>Pob: 32729.0<br>Score Infra: <b style='color:#e2e8f0'>Media</b>
ALBORADA NORTE,-0.48927544742157275,-0.3986197661743339,-0.3904461877873882,-0.7454469659930475,-0.5518009520794055,-0.660755964257503,-0.3185713204273574,-0.4889171865444709,0.5379940755699403,0.18167602888434883,-0.5490765103497621,-0.2853478608449372,-1.0370819712844137,-1.2424653705764666,-0.4496412372007491,-0.7649522791493887,-0.41923022653073,-0.2772718104008337,2.6428988239083124,-0.647455543871472,-1.181972429259419,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,1.1558255181761345,-31.3417,-64.2683,-0.36660281679479395,0.28628292539132033,0.6425529772897798,2.0784730944540204,-0.6057028633350752,-1.3448155107433089,-0.40822090466690975,Cluster 1,Núcleo Urbano Consolidado Mayor,Muy Alta,<b>ALBORADA NORTE</b><hr>Tipología: <span style='color:#38bdf8'>Núcleo Urbano Consolidado Mayor</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Muy Alta</b>
ALBORADA SUR,-0.48927544742157275,-0.3986197661743339,-0.39803505005647816,-0.8345960729383045,-0.5518009520794055,-0.660755964257503,-0.3185713204273574,-0.4889171865444709,-0.38476672047951876,-0.20042968347886214,-0.41006463586966635,-0.2853478608449372,-1.0370819712844137,-1.2424653705764666,-0.4496412372007491,-0.7649522791493887,-0.41923022653073,-0.2772718104008337,1.1070875298528935,-0.647455543871472,-1.181972429259419,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,0.16048382293112595,-31.3621,-64.2251,-0.36660281679479395,0.28628292539132033,0.6425529772897798,0.9948617554966095,-0.6057028633350752,-1.3448155107433089,-1.1394297778614841,Cluster 0,Periferia Excluida NBI,Alta,<b>ALBORADA SUR</b><hr>Tipología: <span style='color:#38bdf8'>Periferia Excluida NBI</span><br>Pob: 500.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
ALEJANDRO CENTENO,-0.3442404921356192,-0.27156639326546367,-0.3904461877873882,-0.841728001493925,-0.15846178944554357,0.031127689965021584,-0.3185713204273574,-0.4889171865444709,-0.10793848166468102,-0.20042968347886214,-0.4221526249548921,-0.2853478608449372,0.3188888414377209,-0.3154133372887487,-0.4496412372007491,0.4505628957302597,-0.41923022653073,-0.2772718104008337,0.204030488948307,0.3579526394909614,0.8460434230488473,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,0.17930443845439734,-31.3583,-64.2315,-0.25186886688943366,-0.3919089944699778,-0.23094915101445362,-0.15408239028286905,0.5212826594503511,-0.7389741939479697,-1.1394297778614841,Cluster 0,Periferia Excluida NBI,Alta,<b>ALEJANDRO CENTENO</b><hr>Tipología: <span style='color:#38bdf8'>Periferia Excluida NBI</span><br>Pob: 1231.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
ALMIRANTE BROWN,-0.3863026132308615,-0.37342814913205796,-0.3069687028273993,0.017669389458352405,-0.15846178944554357,0.031127689965021584,-0.3185713204273574,-0.4889171865444709,-0.47704280008446465,-0.009376827297256658,-0.4523725976679564,-0.2853478608449372,1.6748596541598555,-0.5092796134379041,-0.4496412372007491,0.7056710188531488,-0.41923022653073,-0.2772718104008337,-0.13845542962605137,1.7831063575330315,0.8460434230488473,-0.49744243847086145,-0.29847421946995023,0.29027091864054483,0.08412589709385376,-31.4616,-64.0911,-0.32433241419808223,0.18784222432050568,-0.14154377348978983,0.13886148546769198,0.5212826594503511,1.4939838022405647,-1.1394297778614841,Cluster 0,Periferia Excluida NBI,Alta,<b>ALMIRANTE BROWN</b><hr>Tipología: <span style='color:#38bdf8'>Periferia Excluida NBI</span><br>Pob: 1019.0<br>Score Infra: <b style='color:#e2e8f0'>Alta</b>
