barrio,poblacion,hogares,nbi,pct_nbi,escuelas_municipales,escuelas_total,escuelas_estatales,escuelas_privadas,centros_salud,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,hogares_por_poblacion,densidad_hogares,escuelas_por_1000_hab,centros_salud_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_centro_salud,tiene_comisaria,tiene_transporte,infraestructura_score
COUNTRY LA RESERVA,795.0,207.0,2.0,0.97,0,0,0,0,0,0,0,0,0,0,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
COUNTRY LA SANTINA - COUNTRY CAMPINA DEL SUR,500.0,200.0,0.0,0.0,0,0,0,0,0,9,2,0,0,0,0.4,0.4,0.0,0.0,0.0,18.0,0.0,0,0,0,1,0.3333
COUNTRY LAS DELICIAS,776.0,213.0,2.0,0.94,0,0,0,0,0,0,0,0,0,0,0.274,0.274,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
COUNTRY LOMAS DE LA CAROLINA,1572.0,383.0,0.0,0.0,0,0,0,0,0,2,1,0,0,0,0.244,0.244,0.0,0.0,0.0,1.27,0.0,0,0,0,1,0.0235
COUNTRY LOS ALGARROBOS,500.0,200.0,0.0,0.0,0,0,0,0,0,4,2,0,0,0,0.4,0.4,0.0,0.0,0.0,8.0,0.0,0,0,0,1,0.1481
COUNTRY LOS MIMBRES,500.0,200.0,0.0,0.0,0,0,0,0,0,3,1,0,0,0,0.4,0.4,0.0,0.0,0.0,6.0,0.0,0,0,0,1,0.1111
COUNTRY RANCH CLUB,500.0,200.0,0.0,0.0,0,0,0,0,0,3,1,0,0,0,0.4,0.4,0.0,0.0,0.0,6.0,0.0,0,0,0,1,0.1111
COUNTRY VALLE ESCONDIDO,6660.0,1818.0,8.0,0.44,0,1,0,1,0,3,1,0,0,0,0.273,0.273,0.15,0.0,0.0,0.45,0.0,1,0,0,1,0.0187
CRISOL NORTE,1224.0,541.0,5.0,0.92,0,8,4,4,0,41,20,121,0,1,0.442,0.442,4.8035,0.0,0.0,24.0,8.17,1,0,0,1,0.7778
CRISOL SUD,3336.0,1124.0,10.0,0.89,0,7,4,3,0,17,8,152,0,1,0.337,0.337,2.1,0.0,0.0,5.1,3.0,1,0,0,1,0.2402
CUPANI,2255.0,674.0,32.0,4.75,0,2,0,2,1,13,6,6,0,1,0.299,0.299,0.89,4.43,0.0,5.76,4.43,1,1,0,1,0.3163
DE LOS BIOQUIMICOS,1265.0,348.0,25.0,7.18,0,0,0,0,0,13,1,0,0,1,0.275,0.275,0.0,0.0,0.0,10.28,7.91,0,0,0,1,0.1904
DE LOS DOCENTES,500.0,200.0,0.0,0.0,0,0,0,0,0,3,3,0,0,2,0.4,0.4,0.0,0.0,0.0,6.0,40.0,0,0,0,1,0.1111
DEAN FUNES,2124.0,682.0,22.0,3.23,0,2,1,1,0,27,10,87,0,1,0.321,0.321,0.94,0.0,0.0,12.71,4.71,1,0,0,1,0.3006
DIPAS,500.0,200.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
DUCASSE,936.0,389.0,32.0,8.23,0,1,1,0,0,52,43,5,0,1,0.416,0.416,1.07,0.0,0.0,24.0,10.68,1,0,0,1,0.5187
EJERCITO ARGENTINO,1845.0,624.0,8.0,1.28,0,3,3,0,0,37,24,64,0,1,0.338,0.338,1.63,0.0,0.0,20.05,5.42,1,0,0,1,0.4844
EL BALCON,500.0,200.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0.4,0.4,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0.037
EL BOSQUE,1590.0,407.0,6.0,1.47,0,0,0,0,0,6,1,0,0,1,0.256,0.256,0.0,0.0,0.0,3.77,6.29,0,0,0,1,0.0698
EL CABILDO,5049.0,1331.0,88.0,6.61,0,5,5,0,1,22,4,13,0,1,0.264,0.264,0.99,1.98,0.0,4.36,1.98,1,1,0,1,0.2155
EL CERRITO,3659.0,920.0,105.0,11.41,0,1,1,0,1,8,2,5,0,2,0.251,0.251,0.27,2.73,0.0,2.19,5.47,1,1,0,1,0.1504
EL PRADO,500.0,200.0,0.0,0.0,0,0,0,0,0,4,1,0,0,0,0.4,0.4,0.0,0.0,0.0,8.0,0.0,0,0,0,1,0.1481
EL PUEBLITO,1315.0,332.0,124.0,37.35,0,0,0,0,0,0,0,0,0,0,0.252,0.252,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
EL QUEBRACHAL,500.0,200.0,5.0,2.5,0,0,0,0,0,8,1,0,0,0,0.4,0.4,0.0,0.0,0.0,16.0,0.0,0,0,0,1,0.2963
EL QUEBRACHO,4361.0,1017.0,136.0,13.37,0,2,2,0,0,12,4,238,0,2,0.233,0.233,0.46,0.0,0.0,2.75,4.59,1,0,0,1,0.0828
EL REFUGIO,1201.0,334.0,2.0,0.6,0,1,0,1,0,5,3,146,0,0,0.278,0.278,0.83,0.0,0.0,4.16,0.0,1,0,0,1,0.1346
EL TREBOL,1264.0,412.0,6.0,1.46,0,0,0,0,0,5,4,60,0,1,0.326,0.326,0.0,0.0,0.0,3.96,7.91,0,0,0,1,0.0733
EL VIEJO ALGARROBO,500.0,200.0,4.0,2.0,0,1,1,0,0,23,1,0,0,1,0.4,0.4,2.0,0.0,0.0,24.0,20.0,1,0,0,1,0.5832
EMAUS,500.0,200.0,1.0,0.5,0,0,0,0,0,2,1,6,0,0,0.4,0.4,0.0,0.0,0.0,4.0,0.0,0,0,0,1,0.0741
EMPALME,3426.0,1140.0,12.0,1.05,0,7,5,2,0,7,8,79,1,0,0.333,0.333,2.04,0.0,1.5584999999999962,2.04,0.0,1,0,1,1,0.2905
EMPALME CASAS DE OBREROS Y EMPLEADOS,1233.0,375.0,13.0,3.47,0,0,0,0,0,21,11,24,0,1,0.304,0.304,0.0,0.0,0.0,17.03,8.11,0,0,0,1,0.3154
ESCOBAR,2180.0,733.0,7.0,0.95,0,4,2,2,0,17,4,456,0,0,0.336,0.336,1.83,0.0,0.0,7.8,0.0,1,0,0,1,0.2714
ESCUELA DE SUBOFICIALES,500.0,200.0,0.0,0.0,0,0,0,0,1,2,1,0,0,1,0.4,0.4,0.0,6.656999999999986,0.0,4.0,20.0,0,1,0,1,0.2963
ESTACION FLORES,3876.0,1024.0,124.0,12.11,0,5,5,0,1,13,2,287,0,1,0.264,0.264,1.29,2.58,0.0,3.35,2.58,1,1,0,1,0.2377
ESTADIO CORDOBA,500.0,200.0,0.0,0.0,0,0,0,0,0,4,0,0,0,0,0.4,0.4,0.0,0.0,0.0,8.0,0.0,0,0,0,1,0.1481
FERIAR,500.0,200.0,0.0,0.0,0,0,0,0,0,10,2,0,0,1,0.4,0.4,0.0,0.0,0.0,20.0,20.0,0,0,0,1,0.3704
FERRER,1844.0,462.0,139.0,30.09,0,0,0,0,1,13,5,21,0,2,0.251,0.251,0.0,5.42,0.0,7.05,10.85,0,1,0,1,0.3115
FERREYRA,3868.0,1029.0,101.0,9.82,0,5,4,1,0,19,2,66,2,1,0.266,0.266,1.29,0.0,1.5584999999999962,4.91,2.59,1,0,1,1,0.2916
FERREYRA SEGUNDA SECCION,939.0,215.0,32.0,14.88,0,0,0,0,0,6,2,0,0,0,0.229,0.229,0.0,0.0,0.0,6.39,0.0,0,0,0,1,0.1183
FERROVIARIO MITRE,1133.0,350.0,42.0,12.0,0,6,5,1,0,9,9,14,0,1,0.309,0.309,4.8035,0.0,0.0,7.94,8.83,1,0,0,1,0.4804
FINCA LA DOROTEA,500.0,200.0,10.0,5.0,0,0,0,0,0,2,1,12,0,1,0.4,0.4,0.0,0.0,0.0,4.0,20.0,0,0,0,1,0.0741
FINCAS DEL SUR,500.0,200.0,0.0,0.0,0,0,0,0,0,0,0,187,0,0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
GENERAL ARENALES,2318.0,622.0,60.0,9.65,0,3,3,0,2,10,1,41,0,2,0.268,0.268,1.29,6.656999999999986,0.0,4.31,8.63,1,1,0,1,0.3916
GENERAL ARTIGAS,1552.0,471.0,8.0,1.7,0,2,2,0,0,10,3,68,0,0,0.303,0.303,1.29,0.0,0.0,6.44,0.0,1,0,0,1,0.2088
GENERAL BELGRANO,3154.0,890.0,30.0,3.37,0,2,2,0,0,8,3,217,0,1,0.282,0.282,0.63,0.0,0.0,2.54,3.17,1,0,0,1,0.0908
GENERAL BUSTOS,15659.0,4933.0,243.0,4.93,0,16,9,7,0,30,8,447,0,2,0.315,0.315,1.02,0.0,0.0,1.92,1.28,1,0,0,1,0.1063
GENERAL MOSCONI,3324.0,851.0,110.0,12.93,0,1,1,0,1,16,6,145,0,1,0.256,0.256,0.3,3.01,0.0,4.81,3.01,1,1,0,1,0.2104
GENERAL PAZ,9524.0,4209.0,107.0,2.54,0,23,13,10,0,32,13,230,1,1,0.442,0.442,2.41,0.0,1.05,3.36,1.05,1,0,1,1,0.3043
GENERAL PUEYRREDON,24021.0,7938.0,561.0,7.07,0,17,4,13,0,48,12,202,0,1,0.33,0.33,0.71,0.0,0.0,2.0,0.42,1,0,0,1,0.0863
GENERAL SAVIO,4889.0,1309.0,313.0,23.91,0,0,0,0,0,9,1,70,0,1,0.268,0.268,0.0,0.0,0.0,1.84,2.05,0,0,0,1,0.0341
GRANADERO PRINGLES,2209.0,628.0,16.0,2.55,0,0,0,0,0,19,4,25,0,1,0.284,0.284,0.0,0.0,0.0,8.6,4.53,0,0,0,1,0.1593
GRANJA DE FUNES,3866.0,1228.0,27.0,2.2,0,5,5,0,0,30,11,50,0,1,0.318,0.318,1.29,0.0,0.0,7.76,2.59,1,0,0,1,0.2332
GUARNICION AEREA CORDOBA,500.0,200.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
GUARNICION MILITAR CORDOBA,500.0,200.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
GUAYAQUIL,587.0,200.0,0.0,0.0,0,2,2,0,0,14,4,86,0,1,0.341,0.341,3.41,0.0,0.0,23.85,17.04,1,0,0,1,0.6783
GUEMES,11588.0,5333.0,428.0,8.03,0,17,14,3,1,41,21,132,0,0,0.46,0.46,1.47,0.86,0.0,3.54,0.0,1,1,0,1,0.1963
GUINAZU,1361.0,373.0,41.0,10.99,0,5,5,0,1,20,2,10,1,1,0.274,0.274,3.67,6.656999999999986,1.5584999999999962,14.7,7.35,1,1,1,1,0.8602
GUINAZU SUD,500.0,200.0,3.0,1.5,0,0,0,0,1,12,2,4,0,1,0.4,0.4,0.0,6.656999999999986,0.0,24.0,20.0,0,1,0,1,0.6667
HIPOLITO IRIGOYEN,3313.0,893.0,83.0,9.29,0,0,0,0,1,6,4,23,0,1,0.27,0.27,0.0,3.02,0.0,1.81,3.02,0,1,0,1,0.1343
HOGAR PROPIO,4716.0,1581.0,56.0,3.54,0,2,2,0,1,19,5,18,0,3,0.335,0.335,0.42,2.12,0.0,4.03,6.36,1,1,0,1,0.1745
HORIZONTE,2016.0,641.0,11.0,1.72,0,0,0,0,0,10,6,188,0,0,0.318,0.318,0.0,0.0,0.0,4.96,0.0,0,0,0,1,0.0919
INAUDI,1662.0,459.0,4.0,0.87,0,4,4,0,1,7,1,52,1,1,0.276,0.276,2.41,6.02,1.5584999999999962,4.21,6.02,1,1,1,1,0.5573
INDEPENDENCIA,813.0,294.0,7.0,2.38,0,1,0,1,0,16,9,38,0,0,0.362,0.362,1.23,0.0,0.0,19.68,0.0,1,0,0,1,0.4498
INDUSTRIAL ESTE,1153.0,386.0,1.0,0.26,0,0,0,0,0,14,10,167,0,0,0.335,0.335,0.0,0.0,0.0,12.14,0.0,0,0,0,1,0.2248
INDUSTRIAL OESTE,1621.0,473.0,14.0,2.96,0,0,0,0,0,19,3,147,0,0,0.292,0.292,0.0,0.0,0.0,11.72,0.0,0,0,0,1,0.217
IPONA,982.0,402.0,8.0,1.99,0,3,0,3,0,26,17,14,0,1,0.409,0.409,3.05,0.0,0.0,24.0,10.18,1,0,0,1,0.6561
IPV ANEXO LOS GIGANTES,5240.0,1414.0,36.0,2.55,0,3,3,0,0,11,2,0,0,1,0.27,0.27,0.57,0.0,0.0,2.1,1.91,1,0,0,1,0.0784
IRUPE,523.0,200.0,10.0,5.0,0,3,3,0,0,6,6,45,0,1,0.382,0.382,4.8035,0.0,0.0,11.47,19.12,1,0,0,1,0.5457
ITUZAINGO,3192.0,933.0,18.0,1.93,0,9,6,3,0,16,4,19,1,0,0.292,0.292,2.82,0.0,1.5584999999999962,5.01,0.0,1,0,1,1,0.3996
ITUZAINGO ANEXO,6081.0,1583.0,138.0,8.72,0,1,1,0,1,35,5,23,0,5,0.26,0.26,0.16,1.64,0.0,5.76,8.22,1,1,0,1,0.1725
ITUZAINGO II,1553.0,394.0,42.0,10.66,0,0,0,0,0,2,1,0,0,1,0.254,0.254,0.0,0.0,0.0,1.29,6.44,0,0,0,1,0.0239
JARDIN,6841.0,2621.0,45.0,1.72,0,12,8,4,0,13,13,52,0,1,0.383,0.383,1.75,0.0,0.0,1.9,1.46,1,0,0,1,0.1566
JARDIN DEL CLARET,500.0,200.0,1.0,0.5,0,0,0,0,0,11,4,0,0,0,0.4,0.4,0.0,0.0,0.0,22.0,0.0,0,0,0,1,0.4074
JARDIN DEL PILAR,2131.0,633.0,37.0,5.85,0,2,2,0,0,12,3,116,0,1,0.297,0.297,0.94,0.0,0.0,5.63,4.69,1,0,0,1,0.1695
JARDIN DEL SUD,1482.0,451.0,3.0,0.67,0,0,0,0,0,7,2,38,0,1,0.304,0.304,0.0,0.0,0.0,4.72,6.75,0,0,0,1,0.0874
JARDIN ESPINOSA,1515.0,485.0,3.0,0.62,0,6,0,6,0,6,3,345,0,1,0.32,0.32,3.96,0.0,0.0,3.96,6.6,1,0,0,1,0.3481
JARDIN HIPODROMO,2188.0,644.0,28.0,4.35,0,3,0,3,0,2,1,28,0,2,0.294,0.294,1.37,0.0,0.0,0.91,9.14,1,0,0,1,0.1119
JARDINES DEL JOCKEY,516.0,200.0,1.0,0.5,0,0,0,0,0,7,4,0,0,0,0.388,0.388,0.0,0.0,0.0,13.57,0.0,0,0,0,1,0.2513
JERONIMO LUIS DE CABRERA,3272.0,928.0,48.0,5.17,0,1,1,0,0,16,5,10,0,2,0.284,0.284,0.31,0.0,0.0,4.89,6.11,1,0,0,1,0.1121
JOCKEY CLUB,516.0,200.0,0.0,0.0,0,0,0,0,0,2,3,96,0,1,0.388,0.388,0.0,0.0,0.0,3.88,19.38,0,0,0,1,0.0719
JOSE HERNANDEZ,3233.0,951.0,44.0,4.63,0,1,1,0,1,9,3,42,0,1,0.294,0.294,0.31,3.09,0.0,2.78,3.09,1,1,0,1,0.1761
JOSE I RUCCI,500.0,200.0,0.0,0.0,0,0,0,0,0,8,3,0,0,1,0.4,0.4,0.0,0.0,0.0,16.0,20.0,0,0,0,1,0.2963
JOSE IGNACIO DIAZ SECCION 1,4483.0,1196.0,86.0,7.19,0,0,0,0,1,7,2,0,0,1,0.267,0.267,0.0,2.23,0.0,1.56,2.23,0,1,0,1,0.1033
JOSE IGNACIO DIAZ SECCION 2,2204.0,598.0,52.0,8.7,0,0,0,0,0,10,2,0,0,0,0.271,0.271,0.0,0.0,0.0,4.54,0.0,0,0,0,1,0.0841
JOSE IGNACIO DIAZ SECCION 3,11876.0,3006.0,474.0,15.77,0,6,6,0,1,8,3,118,1,0,0.253,0.253,0.51,0.84,0.84,0.67,0.0,1,1,1,1,0.1357
JUAN B JUSTO,3088.0,813.0,24.0,2.95,0,1,1,0,0,8,3,22,0,1,0.263,0.263,0.32,0.0,0.0,2.59,3.24,1,0,0,1,0.0702
JUAN XXIII,977.0,308.0,2.0,0.65,0,0,0,0,0,15,5,70,0,1,0.315,0.315,0.0,0.0,0.0,15.35,10.24,0,0,0,1,0.2843
JUNIORS,6521.0,2409.0,19.0,0.79,0,7,6,1,0,18,5,88,0,1,0.369,0.369,1.07,0.0,0.0,2.76,1.53,1,0,0,1,0.1254
KAIROS,826.0,200.0,23.0,11.5,0,0,0,0,1,7,1,18,0,2,0.242,0.242,0.0,6.656999999999986,0.0,8.47,24.21,0,1,0,1,0.3791
KENNEDY,1074.0,326.0,8.0,2.45,0,3,3,0,0,2,1,119,0,0,0.304,0.304,2.79,0.0,0.0,1.86,0.0,1,0,0,1,0.2281
LA CAROLINA,700.0,200.0,0.0,0.0,0,2,2,0,0,0,0,5,0,1,0.286,0.286,2.86,0.0,0.0,0.0,14.29,1,0,0,0,0.1985
LA DOROTEA,526.0,200.0,16.0,8.0,0,1,1,0,0,3,1,0,0,0,0.38,0.38,1.9,0.0,0.0,5.7,0.0,1,0,0,1,0.2374
LA ESPERANZA,500.0,200.0,1.0,0.5,0,0,0,0,0,8,3,6,0,0,0.4,0.4,0.0,0.0,0.0,16.0,0.0,0,0,0,1,0.2963
LA FLORESTA,1590.0,366.0,72.0,19.67,0,2,2,0,0,3,1,193,0,2,0.23,0.23,1.26,0.0,0.0,1.89,12.58,1,0,0,1,0.1224
LA FRANCE,3218.0,1016.0,30.0,2.95,0,8,5,3,0,17,8,213,1,1,0.316,0.316,2.49,0.0,1.5584999999999962,5.28,3.11,1,0,1,1,0.3817
LA FRATERNIDAD,500.0,200.0,5.0,2.5,0,1,1,0,0,25,8,51,0,2,0.4,0.4,2.0,0.0,0.0,24.0,40.0,1,0,0,1,0.5832
LA HORTENSIA,1423.0,371.0,29.0,7.82,0,0,0,0,0,1,1,240,0,0,0.261,0.261,0.0,0.0,0.0,0.7,0.0,0,0,0,1,0.013
LA SALLE,707.0,210.0,3.0,1.43,0,2,2,0,1,11,4,4,0,0,0.297,0.297,2.83,6.656999999999986,0.0,15.56,0.0,1,1,0,1,0.7068
LA TOMA,500.0,200.0,18.0,9.0,0,0,0,0,1,0,0,5,0,2,0.4,0.4,0.0,6.656999999999986,0.0,0.0,40.0,0,1,0,0,0.2222
LAMADRID,2346.0,666.0,32.0,4.8,0,0,0,0,1,7,1,12,0,1,0.284,0.284,0.0,4.26,0.0,2.98,4.26,0,1,0,1,0.1974
LAS CANITAS,500.0,200.0,0.0,0.0,0,0,0,0,0,1,2,0,0,0,0.4,0.4,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0.037
LAS CANUELAS,500.0,200.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
LAS CORTADERAS,500.0,200.0,18.0,9.0,0,1,1,0,1,24,3,0,0,0,0.4,0.4,2.0,6.656999999999986,0.0,24.0,0.0,1,1,0,1,0.8055
LAS DALIAS,649.0,200.0,7.0,3.5,0,0,0,0,0,5,2,46,0,1,0.308,0.308,0.0,0.0,0.0,7.7,15.41,0,0,0,1,0.1426
LAS FLORES,4037.0,1284.0,39.0,3.04,0,8,5,3,0,21,13,325,0,0,0.318,0.318,1.98,0.0,0.0,5.2,0.0,1,0,0,1,0.2337
LAS HUERTILLAS,1133.0,278.0,27.0,9.71,0,1,1,0,0,1,1,7,0,2,0.245,0.245,0.88,0.0,0.0,0.88,17.65,1,0,0,1,0.0774
LAS LILAS,2237.0,550.0,56.0,10.18,0,2,2,0,1,6,1,52,0,1,0.246,0.246,0.89,4.47,0.0,2.68,4.47,1,1,0,1,0.2606
LAS MAGNOLIAS,2459.0,767.0,25.0,3.26,0,0,0,0,0,34,8,27,0,2,0.312,0.312,0.0,0.0,0.0,13.83,8.13,0,0,0,1,0.2561
LAS MARGARITAS,2032.0,644.0,19.0,2.95,0,2,2,0,1,7,7,205,0,1,0.317,0.317,0.98,4.92,0.0,3.44,4.92,1,1,0,1,0.2959
LAS PALMAS,6142.0,1993.0,57.0,2.86,0,13,6,7,1,15,4,431,1,1,0.324,0.324,2.12,1.63,1.5584999999999962,2.44,1.63,1,1,1,1,0.3578
LAS PALMAS ANEXO,864.0,230.0,3.0,1.3,0,0,0,0,0,8,2,0,0,0,0.266,0.266,0.0,0.0,0.0,9.26,0.0,0,0,0,1,0.1715
LAS PLAYAS,2869.0,798.0,49.0,6.14,0,0,0,0,0,3,1,159,0,0,0.278,0.278,0.0,0.0,0.0,1.05,0.0,0,0,0,1,0.0194
LAS ROSAS,877.0,346.0,1.0,0.29,0,4,0,4,0,2,1,223,0,0,0.395,0.395,4.56,0.0,0.0,2.28,0.0,1,0,0,1,0.3587
LAS VIOLETAS,3243.0,834.0,98.0,11.75,0,5,5,0,1,7,2,2,0,2,0.257,0.257,1.54,3.08,0.0,2.16,6.17,1,1,0,1,0.2497
LICEO GENERAL PAZ,628.0,200.0,14.0,7.0,0,0,0,0,0,0,0,14,1,1,0.318,0.318,0.0,0.0,1.5584999999999962,0.0,15.92,0,0,1,0,0.1111
LOMAS DE SAN MARTIN,1734.0,560.0,3.0,0.54,0,0,0,0,0,7,4,308,0,0,0.323,0.323,0.0,0.0,0.0,4.04,0.0,0,0,0,1,0.0748
LOS ALAMOS,1964.0,518.0,33.0,6.37,0,0,0,0,0,6,3,201,0,1,0.264,0.264,0.0,0.0,0.0,3.05,5.09,0,0,0,1,0.0565
LOS ANGELES,766.0,282.0,0.0,0.0,0,3,0,3,0,15,13,4,0,0,0.368,0.368,3.92,0.0,0.0,19.58,0.0,1,0,0,1,0.6346
LOS ARBOLES,500.0,200.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
LOS BOULEVARES,12277.0,3480.0,218.0,6.26,0,8,8,0,1,56,3,444,1,2,0.283,0.283,0.65,0.81,0.81,4.56,1.63,1,1,1,1,0.2143
LOS CEIBOS,826.0,249.0,7.0,2.81,0,0,0,0,0,8,5,23,0,1,0.301,0.301,0.0,0.0,0.0,9.69,12.11,0,0,0,1,0.1794
LOS CHINGOLOS,1944.0,473.0,42.0,8.88,0,4,4,0,0,5,1,49,0,1,0.243,0.243,2.06,0.0,0.0,2.57,5.14,1,0,0,1,0.1905
LOS CIELOS,500.0,200.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
LOS EUCALIPTUS,1741.0,480.0,15.0,3.12,0,2,1,1,0,4,3,31,0,1,0.276,0.276,1.15,0.0,0.0,2.3,5.74,1,0,0,1,0.1224
LOS FILTROS,852.0,200.0,32.0,16.0,0,2,2,0,0,7,2,12,0,0,0.235,0.235,2.35,0.0,0.0,8.22,0.0,1,0,0,1,0.3153
LOS FRESNOS,1067.0,246.0,38.0,15.45,0,1,1,0,0,0,0,0,0,2,0.231,0.231,0.94,0.0,0.0,0.0,18.74,1,0,0,0,0.0652
LOS GIGANTES,4442.0,1249.0,49.0,3.92,0,3,3,0,0,11,2,41,0,1,0.281,0.281,0.68,0.0,0.0,2.48,2.25,1,0,0,1,0.0931
LOS GRANADOS,3435.0,917.0,41.0,4.47,0,4,3,1,0,6,2,10,0,1,0.267,0.267,1.16,0.0,0.0,1.75,2.91,1,0,0,1,0.1129
LOS HORNILLOS,726.0,200.0,20.0,10.0,0,0,0,0,0,19,5,1,0,1,0.275,0.275,0.0,0.0,0.0,24.0,13.77,0,0,0,1,0.4444
LOS JACARANDAES,1305.0,319.0,70.0,21.94,0,0,0,0,0,0,0,6,0,1,0.244,0.244,0.0,0.0,0.0,0.0,7.66,0,0,0,0,0.0
LOS JOSEFINOS,500.0,200.0,9.0,4.5,0,0,0,0,1,0,0,0,0,1,0.4,0.4,0.0,6.656999999999986,0.0,0.0,20.0,0,1,0,0,0.2222
LOS NARANJOS,1615.0,561.0,7.0,1.25,0,6,3,3,0,9,7,430,1,1,0.347,0.347,3.72,0.0,1.5584999999999962,5.57,6.19,1,0,1,1,0.4724
LOS OLMOS,1859.0,541.0,21.0,3.88,0,2,0,2,0,13,8,56,0,1,0.291,0.291,1.08,0.0,0.0,6.99,5.38,1,0,0,1,0.2044
LOS OLMOS SUD,2486.0,636.0,48.0,7.55,0,1,1,0,1,19,4,19,0,2,0.256,0.256,0.4,4.02,0.0,7.64,8.05,1,1,0,1,0.3034
LOS PARAISOS,5079.0,1638.0,40.0,2.44,0,3,0,3,0,28,6,364,0,1,0.323,0.323,0.59,0.0,0.0,5.51,1.97,1,0,0,1,0.143
LOS PINOS,1901.0,532.0,21.0,3.95,0,2,2,0,1,7,4,160,0,1,0.28,0.28,1.05,5.26,0.0,3.68,5.26,1,1,0,1,0.3166
LOS PLATANOS,7003.0,2166.0,58.0,2.68,0,8,7,1,0,11,5,120,0,0,0.309,0.309,1.14,0.0,0.0,1.57,0.0,1,0,0,1,0.1082
LOS ROBLES,3479.0,958.0,144.0,15.03,0,4,4,0,0,8,2,203,0,1,0.275,0.275,1.15,0.0,0.0,2.3,2.87,1,0,0,1,0.1224
LOS SAUCES,1635.0,469.0,22.0,4.69,0,2,2,0,1,9,2,16,0,1,0.287,0.287,1.22,6.12,0.0,5.5,6.12,1,1,0,1,0.3908
LOS SOLES,500.0,200.0,0.0,0.0,0,0,0,0,0,5,1,0,0,0,0.4,0.4,0.0,0.0,0.0,10.0,0.0,0,0,0,1,0.1852
LOS SUENOS,500.0,200.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0.4,0.4,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0.037
LOURDES,1413.0,318.0,50.0,15.72,0,1,1,0,0,26,6,7,0,1,0.225,0.225,0.71,0.0,0.0,18.4,7.08,1,0,0,1,0.39
MAIPU SECCION 1,2022.0,679.0,7.0,1.03,0,0,0,0,0,17,12,0,0,1,0.336,0.336,0.0,0.0,0.0,8.41,4.95,0,0,0,1,0.1557
MAIPU SECCION 2,2283.0,764.0,8.0,1.05,0,0,0,0,0,13,11,0,0,1,0.335,0.335,0.0,0.0,0.0,5.69,4.38,0,0,0,1,0.1054
MALDONADO,8018.0,1873.0,359.0,19.17,0,7,7,0,0,10,2,13,0,0,0.234,0.234,0.87,0.0,0.0,1.25,0.0,1,0,0,1,0.0835
MANANTIALES I-MANANTIALES II,500.0,200.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0.4,0.4,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0.037
MARCELO T DE ALVEAR,2748.0,751.0,48.0,6.39,0,0,0,0,0,8,2,263,0,1,0.273,0.273,0.0,0.0,0.0,2.91,3.64,0,0,0,1,0.0539
MARCOS SASTRE,1104.0,281.0,18.0,6.41,0,1,1,0,0,11,3,33,0,1,0.255,0.255,0.91,0.0,0.0,9.96,9.06,1,0,0,1,0.2476
MARECHAL,3557.0,1077.0,61.0,5.66,0,1,1,0,0,19,4,20,0,1,0.303,0.303,0.28,0.0,0.0,5.34,2.81,1,0,0,1,0.1183
MARIA LASTENIA,500.0,200.0,11.0,5.5,0,4,4,0,0,20,5,16,0,1,0.4,0.4,4.8035,0.0,0.0,24.0,20.0,1,0,0,1,0.7778
MARIANO BALCARCE,1994.0,656.0,10.0,1.52,0,1,0,1,0,6,7,40,0,1,0.329,0.329,0.5,0.0,0.0,3.01,5.02,1,0,0,1,0.0904
MARIANO FRAGUEIRO,3630.0,963.0,89.0,9.24,0,3,3,0,0,31,8,25,0,1,0.265,0.265,0.83,0.0,0.0,8.54,2.75,1,0,0,1,0.2157
MARQUES ANEXO,10478.0,2704.0,230.0,8.51,0,1,1,0,0,0,0,0,0,0,0.258,0.258,0.1,0.0,0.0,0.0,0.0,1,0,0,0,0.0069
