barrio,poblacion,hogares,nbi,pct_nbi,escuelas_municipales,escuelas_total,escuelas_estatales,escuelas_privadas,centros_salud,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales,hogares_por_poblacion,densidad_hogares,escuelas_por_1000_hab,centros_salud_por_10000_hab,comisarias_por_10000_hab,paradas_por_1000_hab,centros_vecinales_por_10000_hab,tiene_escuela,tiene_centro_salud,tiene_comisaria,tiene_transporte,infraestructura_score
AMPLIACION CABO FARINA,500.0,200.0,12.0,6.0,0,0,0,0,0,3,1,17,0,1,0.4,0.4,0.0,0.0,0.0,6.0,20.0,0,0,0,1,0.1111
AMPLIACION EMPALME,3115.0,940.0,25.0,2.66,0,0,0,0,1,25,3,19,0,1,0.302,0.302,0.0,3.21,0.0,8.03,3.21,0,1,0,1,0.2559
AMPLIACION GENERAL ARTIGAS,2325.0,661.0,20.0,3.03,0,0,0,0,0,1,0,80,0,2,0.284,0.284,0.0,0.0,0.0,0.43,8.6,0,0,0,1,0.008
AMPLIACION JARDIN ESPINOSA,519.0,200.0,0.0,0.0,0,0,0,0,0,10,4,128,0,0,0.385,0.385,0.0,0.0,0.0,19.27,0.0,0,0,0,1,0.3569
AMPLIACION JOSE IGNACIO DIAZ SECCION 2,1883.0,430.0,56.0,13.02,0,1,1,0,1,8,2,0,0,1,0.228,0.228,0.53,5.31,0.0,4.25,5.31,1,1,0,1,0.2927
AMPLIACION JOSE IGNACIO DIAZ SECCION 3,668.0,200.0,22.0,11.0,0,0,0,0,0,9,3,0,0,1,0.299,0.299,0.0,0.0,0.0,13.47,14.97,0,0,0,1,0.2494
AMPLIACION KENNEDY,500.0,200.0,7.0,3.5,0,0,0,0,0,12,3,20,0,0,0.4,0.4,0.0,0.0,0.0,24.0,0.0,0,0,0,1,0.4444
AMPLIACION LAS PALMAS,1750.0,513.0,12.0,2.34,0,2,2,0,0,19,8,182,0,1,0.293,0.293,1.14,0.0,0.0,10.86,5.71,1,0,0,1,0.2802
AMPLIACION LOS ALAMOS,795.0,200.0,4.0,2.0,0,0,0,0,0,6,6,0,0,0,0.252,0.252,0.0,0.0,0.0,7.55,0.0,0,0,0,1,0.1398
AMPLIACION LOS PLATANOS,1060.0,281.0,10.0,3.56,0,0,0,0,0,5,2,18,0,1,0.265,0.265,0.0,0.0,0.0,4.72,9.43,0,0,0,1,0.0874
AMPLIACION PALMAR,1356.0,380.0,6.0,1.58,0,2,2,0,0,11,2,7,0,1,0.28,0.28,1.47,0.0,0.0,8.11,7.37,1,0,0,1,0.2522
AMPLIACION PANAMERICANO,1545.0,528.0,10.0,1.89,0,0,0,0,0,4,3,54,0,1,0.342,0.342,0.0,0.0,0.0,2.59,6.47,0,0,0,1,0.048
AMPLIACION PARQUE SAN CARLOS,1070.0,311.0,4.0,1.29,0,0,0,0,0,4,2,0,0,0,0.291,0.291,0.0,0.0,0.0,3.74,0.0,0,0,0,1,0.0693
AMPLIACION POETA LUGONES,2830.0,839.0,2.0,0.24,0,1,1,0,0,9,2,147,0,1,0.296,0.296,0.35,0.0,0.0,3.18,3.53,1,0,0,1,0.0832
AMPLIACION PRIMERO DE MAYO,1690.0,389.0,40.0,10.28,0,3,0,3,0,6,3,0,0,1,0.23,0.23,1.78,0.0,0.0,3.55,5.92,1,0,0,1,0.1893
AMPLIACION PUEYRREDON,1809.0,553.0,14.0,2.53,0,5,4,1,0,14,5,18,0,1,0.306,0.306,2.76,0.0,0.0,7.74,5.53,1,0,0,1,0.3349
AMPLIACION RESIDENCIAL AMERICA,5488.0,1603.0,53.0,3.31,0,7,4,3,0,9,1,133,0,2,0.292,0.292,1.28,0.0,0.0,1.64,3.64,1,0,0,1,0.1192
AMPLIACION ROSEDAL,3123.0,814.0,40.0,4.91,0,0,0,0,1,8,3,276,0,1,0.261,0.261,0.0,3.2,0.0,2.56,3.2,0,1,0,1,0.1542
AMPLIACION SAN FERNANDO,3375.0,1000.0,48.0,4.8,0,0,0,0,0,5,1,80,0,0,0.296,0.296,0.0,0.0,0.0,1.48,0.0,0,0,0,1,0.0274
AMPLIACION SAN PABLO,2247.0,735.0,2.0,0.27,0,4,4,0,0,5,2,66,0,1,0.327,0.327,1.78,0.0,0.0,2.23,4.45,1,0,0,1,0.1648
AMPLIACION URCA,2059.0,630.0,3.0,0.48,0,0,0,0,0,0,0,0,0,0,0.306,0.306,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
AMPLIACION VELEZ SARSFIELD,1625.0,449.0,14.0,3.12,0,0,0,0,0,10,4,49,0,0,0.276,0.276,0.0,0.0,0.0,6.15,0.0,0,0,0,1,0.1139
ANA MARIA ZUMARAN,3542.0,1198.0,36.0,3.01,0,7,4,3,0,6,4,269,0,1,0.338,0.338,1.98,0.0,0.0,1.69,2.82,1,0,0,1,0.1687
ANEXO LOS ALAMOS,757.0,218.0,3.0,1.38,0,0,0,0,0,7,3,0,0,0,0.288,0.288,0.0,0.0,0.0,9.25,0.0,0,0,0,1,0.1713
APEADERO LA TABLADA,500.0,200.0,3.0,1.5,0,0,0,0,0,2,2,33,0,0,0.4,0.4,0.0,0.0,0.0,4.0,0.0,0,0,0,1,0.0741
ARGUELLO,14865.0,4354.0,87.0,2.0,0,24,5,19,0,15,3,533,0,1,0.293,0.293,1.61,0.0,0.0,1.01,0.67,1,0,0,1,0.1304
ARGUELLO II,2677.0,623.0,91.0,14.61,0,2,2,0,0,3,1,0,0,0,0.233,0.233,0.75,0.0,0.0,1.12,0.0,1,0,0,1,0.0728
ARGUELLO NORTE,15574.0,4079.0,539.0,13.21,0,13,11,2,0,20,3,59,1,1,0.262,0.262,0.83,0.0,0.64,1.28,0.64,1,0,1,1,0.1269
ARTURO CAPDEVILA,1818.0,484.0,7.0,1.45,0,4,4,0,0,18,3,24,0,0,0.266,0.266,2.2,0.0,0.0,9.9,0.0,1,0,0,1,0.336
ATE,968.0,324.0,6.0,1.85,0,0,0,0,0,13,8,189,0,1,0.335,0.335,0.0,0.0,0.0,13.43,10.33,0,0,0,1,0.2487
AVENIDA,1121.0,352.0,4.0,1.14,0,3,0,3,0,5,5,72,0,0,0.314,0.314,2.68,0.0,0.0,4.46,0.0,1,0,0,1,0.2686
AYACUCHO,4356.0,1435.0,15.0,1.05,0,4,2,2,0,38,8,185,0,2,0.329,0.329,0.92,0.0,0.0,8.72,4.59,1,0,0,1,0.2253
BAJADA DE PIEDRA,889.0,225.0,26.0,11.56,0,0,0,0,0,12,4,19,0,1,0.253,0.253,0.0,0.0,0.0,13.5,11.25,0,0,0,1,0.25
BAJADA SAN ROQUE,500.0,200.0,3.0,1.5,0,1,1,0,0,4,3,0,0,0,0.4,0.4,2.0,0.0,0.0,8.0,0.0,1,0,0,1,0.2869
BAJO GALAN,810.0,301.0,6.0,1.99,0,1,1,0,0,29,17,57,1,1,0.372,0.372,1.23,0.0,1.5584999999999962,24.0,12.35,1,0,1,1,0.6409
BAJO GENERAL PAZ,1223.0,423.0,7.0,1.65,0,4,3,1,0,33,11,22,0,1,0.346,0.346,3.27,0.0,0.0,24.0,8.18,1,0,0,1,0.6714
BARRANCAS DEL SUR,500.0,200.0,0.0,0.0,0,0,0,0,0,3,2,0,0,0,0.4,0.4,0.0,0.0,0.0,6.0,0.0,0,0,0,1,0.1111
BELLA VISTA,4607.0,1364.0,118.0,8.65,0,5,5,0,0,9,5,249,0,0,0.296,0.296,1.09,0.0,0.0,1.95,0.0,1,0,0,1,0.1118
BELLA VISTA OESTE,1828.0,532.0,28.0,5.26,0,0,0,0,0,4,1,31,0,1,0.291,0.291,0.0,0.0,0.0,2.19,5.47,0,0,0,1,0.0406
BETANIA,1992.0,480.0,65.0,13.54,0,0,0,0,0,10,2,15,0,4,0.241,0.241,0.0,0.0,0.0,5.02,20.08,0,0,0,1,0.093
BH_CAMINO A 60 CUADRAS,1615.0,422.0,89.0,21.09,0,0,0,0,0,0,0,0,0,1,0.261,0.261,0.0,0.0,0.0,0.0,6.19,0,0,0,0,0.0
BIALET MASSE,2091.0,591.0,20.0,3.38,0,0,0,0,1,9,2,138,0,1,0.283,0.283,0.0,4.78,0.0,4.3,4.78,0,1,0,1,0.2392
BOEDO,2664.0,567.0,154.0,27.16,0,0,0,0,0,6,1,38,0,1,0.213,0.213,0.0,0.0,0.0,2.25,3.75,0,0,0,1,0.0417
BRIGADIER SAN MARTIN,500.0,200.0,0.0,0.0,0,5,5,0,0,32,4,43,0,3,0.4,0.4,4.8035,0.0,0.0,24.0,60.0,1,0,0,1,0.7778
CABANA DEL PILAR,500.0,200.0,0.0,0.0,0,0,0,0,0,12,8,122,0,0,0.4,0.4,0.0,0.0,0.0,24.0,0.0,0,0,0,1,0.4444
CABO FARINA,4574.0,1294.0,158.0,12.21,0,0,0,0,1,8,4,146,0,0,0.283,0.283,0.0,2.19,0.0,1.75,0.0,0,1,0,1,0.1055
CACERES,875.0,248.0,21.0,8.47,0,2,2,0,0,10,3,63,1,0,0.283,0.283,2.29,0.0,1.5584999999999962,11.43,0.0,1,0,1,1,0.4817
CALIFORNIA,600.0,200.0,12.0,6.0,0,1,1,0,0,8,8,70,0,0,0.333,0.333,1.67,0.0,0.0,13.33,0.0,1,0,0,1,0.3627
CAMINO A SAN CARLOS,1123.0,316.0,58.0,18.35,0,0,0,0,0,0,0,0,0,0,0.281,0.281,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
CAMINO A VILLA POSSE,500.0,200.0,5.0,2.5,0,2,2,0,0,4,1,0,0,1,0.4,0.4,4.0,0.0,0.0,8.0,20.0,1,0,0,1,0.4257
CAMPING GRL SAN MARTIN,500.0,200.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0.4,0.4,0.0,0.0,0.0,0.0,20.0,0,0,0,0,0.0
CARBO,1444.0,395.0,29.0,7.34,0,0,0,0,1,32,3,15,0,2,0.274,0.274,0.0,6.656999999999986,0.0,22.16,13.85,0,1,0,1,0.6326
CAROLA LORENZINI,500.0,200.0,3.0,1.5,0,0,0,0,0,7,6,10,0,1,0.4,0.4,0.0,0.0,0.0,14.0,20.0,0,0,0,1,0.2593
CARRARA,500.0,200.0,11.0,5.5,0,0,0,0,1,10,2,9,0,0,0.4,0.4,0.0,6.656999999999986,0.0,20.0,0.0,0,1,0,1,0.5926
CASEROS,1497.0,619.0,6.0,0.97,0,1,1,0,0,10,4,2,0,0,0.413,0.413,0.67,0.0,0.0,6.68,0.0,1,0,0,1,0.1702
CENTRO,28200.0,14423.0,568.0,3.94,0,40,19,21,0,120,64,1419,1,2,0.511,0.511,1.42,0.0,0.35,4.26,0.71,1,0,1,1,0.2024
CENTRO AMERICA,5529.0,1658.0,36.0,2.17,0,5,5,0,0,16,2,330,0,1,0.3,0.3,0.9,0.0,0.0,2.89,1.81,1,0,0,1,0.116
CERRO CHICO,2719.0,1019.0,6.0,0.59,0,0,0,0,0,25,6,99,0,0,0.375,0.375,0.0,0.0,0.0,9.19,0.0,0,0,0,1,0.1702
CERRO DE LAS ROSAS,5947.0,1944.0,3.0,0.15,0,19,5,14,0,11,10,308,1,1,0.327,0.327,3.19,0.0,1.5584999999999962,1.85,1.68,1,0,1,1,0.3667
CERRO NORTE,5374.0,1449.0,111.0,7.66,0,2,2,0,0,17,2,108,0,0,0.27,0.27,0.37,0.0,0.0,3.16,0.0,1,0,0,1,0.0842
CERVECEROS,3893.0,1094.0,17.0,1.55,0,5,5,0,1,11,2,68,0,1,0.281,0.281,1.28,2.57,0.0,2.83,2.57,1,1,0,1,0.227
CHATEAU CARRERAS,1624.0,514.0,3.0,0.58,0,11,4,7,0,15,4,113,1,0,0.317,0.317,4.8035,0.0,1.5584999999999962,9.24,0.0,1,0,1,1,0.6156
CIRCUNVALACION,500.0,200.0,0.0,0.0,0,0,0,0,0,15,18,0,0,1,0.4,0.4,0.0,0.0,0.0,24.0,20.0,0,0,0,1,0.4444
CIUDAD AMPLIACION CABILDO,2593.0,577.0,93.0,16.12,0,2,2,0,0,5,2,0,1,3,0.223,0.223,0.77,0.0,1.5584999999999962,1.93,11.57,1,0,1,1,0.2003
CIUDAD AMPLIACION FERREYRA,500.0,200.0,0.0,0.0,0,4,4,0,0,0,0,0,0,1,0.4,0.4,4.8035,0.0,0.0,0.0,20.0,1,0,0,0,0.3333
CIUDAD DE JUAN PABLO II,2125.0,552.0,45.0,8.15,0,4,4,0,0,2,1,3,0,1,0.26,0.26,1.88,0.0,0.0,0.94,4.71,1,0,0,1,0.1479
CIUDAD DE LAS ARTES,500.0,200.0,0.0,0.0,0,0,0,0,0,9,5,0,0,0,0.4,0.4,0.0,0.0,0.0,18.0,0.0,0,0,0,1,0.3333
CIUDAD DE LOS CUARTETOS,2204.0,489.0,68.0,13.91,0,2,2,0,0,6,1,0,1,2,0.222,0.222,0.91,0.0,1.5584999999999962,2.72,9.07,1,0,1,1,0.2246
CIUDAD DE MIS SUENOS,2147.0,511.0,85.0,16.63,0,6,6,0,0,8,1,0,1,0,0.238,0.238,2.79,0.0,1.5584999999999962,3.73,0.0,1,0,1,1,0.3738
CIUDAD EVITA,2662.0,638.0,95.0,14.89,0,3,3,0,0,7,2,0,1,1,0.24,0.24,1.13,0.0,1.5584999999999962,2.63,3.76,1,0,1,1,0.2382
CIUDAD MI ESPERANZA,1492.0,349.0,50.0,14.33,0,1,1,0,0,4,1,0,0,1,0.234,0.234,0.67,0.0,0.0,2.68,6.7,1,0,0,1,0.0961
CIUDAD OBISPO ANGELELLI,1828.0,403.0,81.0,20.1,0,5,5,0,0,21,2,0,0,1,0.22,0.22,2.74,0.0,0.0,11.49,5.47,1,0,0,1,0.4029
CIUDAD PARQUE LAS ROSAS,1385.0,325.0,26.0,8.0,0,0,0,0,0,5,2,0,1,1,0.235,0.235,0.0,0.0,1.5584999999999962,3.61,7.22,0,0,1,1,0.178
CIUDAD UNIVERSITARIA,500.0,200.0,0.0,0.0,0,10,8,2,0,77,21,41,0,0,0.4,0.4,4.8035,0.0,0.0,24.0,0.0,1,0,0,1,0.7778
CIUDAD VILLA RETIRO,1402.0,316.0,57.0,18.04,0,2,2,0,0,6,2,0,0,0,0.225,0.225,1.43,0.0,0.0,4.28,0.0,1,0,0,1,0.1785
CIUDADELA,1442.0,469.0,10.0,2.13,0,0,0,0,0,4,3,111,0,0,0.325,0.325,0.0,0.0,0.0,2.77,0.0,0,0,0,1,0.0513
CLAROS DEL BOSQUE,500.0,200.0,5.0,2.5,0,0,0,0,0,4,3,5,0,0,0.4,0.4,0.0,0.0,0.0,8.0,0.0,0,0,0,1,0.1481
COFICO,500.0,200.0,1.0,0.5,0,4,4,0,0,36,22,2,0,1,0.4,0.4,4.8035,0.0,0.0,24.0,20.0,1,0,0,1,0.7778
