stop_id,stop_name,stop_lat,stop_lon,barrio_asignado
C6488,Juan Lavalleja 3574,-31.372793,-64.182349,HIPOLITO IRIGOYEN
C6227,Atlántida 2199,-31.478031,-64.245236,PARQUE FUTURA
C6179,Dirección desconocida,-31.360434993834023,-64.1798222064972,VILLA AZALAIS OESTE
C6060,Avenida Ambrosio Olmos 513,-31.429107,-64.185589,GUEMES
C6173,Avenida Renault 2224,-31.47266,-64.236846,CONGRESO
C6127,Maestro Marcelo López 3490,-31.44060938193272,-64.19302403926851,LAS FLORES
C6099,Mariano Fragueíro 1304,-31.399954,-64.187477,SAN MARTIN
C6007,De Los Valsecitos 477,-31.311537,-64.178739,GUINAZU
C6174,Avenida Juan B. Justo 9669,-31.311445051149285,-64.17609930038454,GUINAZU
C6106,Mariano Fragueíro 3462,-31.374579,-64.183738,HIPOLITO IRIGOYEN
C6084,Rodriguez Peña 1584,-31.395938,-64.190154,SAN MARTIN
C6050,Avenida Ingeniero Medina Allende S/N,-31.43792532392011,-64.19237561523914,GUEMES
C6004,Colorado 5208,-31.47158,-64.234893,CONGRESO
C7327,Coronel Manuel Namuncurá 5988,-31.415433,-64.263631,PARQUE REPUBLICA
C7318,Avenida Santa Ana 3098,-31.413529,-64.225581,QUINTA SANTA ANA
p4_ida_a,Mariano Fragueíro 4035,-31.36840512995744,-64.18392062187196,HIPOLITO IRIGOYEN
p22_vuelta_a,Mariano Fragueíro 4014,-31.36851,-64.183776,HIPOLITO IRIGOYEN
C729,Tucumán 329,-31.4110109843643,-64.18652772903444,URQUIZA
C5702,Martín Cartechini 152,-31.412439,-64.130432,MALDONADO
C9203,Antonio Rosillo 13,-31.394555,-64.250402,LOS ROBLES
C5694,Obispo Castellano 119,-31.411432,-64.138538,MALDONADO
C5684,Argandoña 2390,-31.419773,-64.152866,YAPEYU
C5114,Bulevar Juan Domingo Perón 868,-31.425349,-64.169544,CRISOL SUD
C9310,José Figueroa 207,-31.392247,-64.249426,COLINAS DEL CERRO
C5586,La Tablada 2278,-31.400915,-64.210694,VILLA PAEZ
C6271,Ostende 204,-31.455222,-64.203018,LAS FLORES
C5467,Corrientes 2007,-31.42572,-64.158236,CRISOL SUD
C5458,Lisandro de La Torre 3457,-31.430512,-64.140898,ACOSTA
C5446,Ramos Mejia 1907,-31.432174,-64.123287,EMPALME
C5550,Tinogasta 5890,-31.437236,-64.110149,VILLA BUSTOS
C5539,Ramos Mejia 1794,-31.429588,-64.123356,EMPALME
C5160,Pedro Antonio Inchauspe 290,-31.44974,-64.194682,LAS FLORES
C6294,Bermudas 487,-31.46177,-64.207953,CABO FARINA
C5394,Bernardo de Irigoyen 1243,-31.422126,-64.15543,YAPEYU
C5375,Mario Bravo 870,-31.420071,-64.122037,RENACIMIENTO
C5063,Avenida Colón 6344,-31.394409,-64.263394,LOS ROBLES
C5353,Cangallo 693,-31.418377,-64.119306,RENACIMIENTO
C5343,Pasaje Sáenz Peña 4482,-31.418675,-64.127938,MALDONADO
C5333,San Jerónimo 2960,-31.42366,-64.146085,YAPEYU
C5324,Rosario de Santa Fe 1258,-31.416047,-64.165639,YAPEYU
C5315,Avenida Duarte Quirós 5119,-31.397655,-64.249168,LAS VIOLETAS
C5268,Avenida Duarte Quirós 2313,-31.409931,-64.214975,ALBERDI
C5257,Arrecifes 205,-31.402074,-64.240751,LAS VIOLETAS
C9197,Chancay 99,-31.391982,-64.254001,LOS ROBLES
C5227,Avenida Carlos Federico Gauss 5545,-31.358222,-64.251641,COLINAS DEL CERRO
C5233,Ramón Cárcano 967,-31.379882770532284,-64.25715565681459,COLINAS DEL CERRO
C5203,Avenida Río Bamba 311,-31.397976,-64.25671,LOS ROBLES
C5190,Avenida Duarte Quirós 4068,-31.404249,-64.234856,QUINTA SANTA ANA
C5180,Avenida Duarte Quirós 1870,-31.4114,-64.209788,ALBERDI
C5583,República Popular China S/N,-31.363426,-64.280802,LA SALLE
C5095,Avenida Mahatma Ghandi 398,-31.384728,-64.269183,PARQUE DON BOSCO
C9053,Avenida Octavio Pinto 2747,-31.38852900539176,-64.21624928712843,LAS MARGARITAS
C4703,Avenida Cjal. Felipe Belardinelli 3733,-31.454696,-64.195851,LAS FLORES
C9061,Monseñor Miguel de Andrea 803,-31.397413,-64.2146,VILLA PAEZ
C9050,Avenida 11 de Septiembre 2887,-31.445168,-64.14829,BH_CAMINO A 60 CUADRAS
C9038,Avenida 11 de Septiembre 3791,-31.45654,-64.148038,BH_CAMINO A 60 CUADRAS
C9027,Avenida Menéndez Pidal 4115,-31.381138,-64.241551,COLINAS DEL CERRO
C9000,Avenida Idelfonso Muñecas 4594,-31.48089505112741,-64.13570523262025,VILLA CORONEL OLMEDO
C6229,Isabela 2200,-31.479541,-64.247113,PARQUE FUTURA
C6192,Avenida Armada Argentina S/N,-31.486192580492343,-64.2432725429535,PARQUE FUTURA
C6310,Venezuela 19,-31.433185,-64.193512,GUEMES
C6171,Filadelfia 2172,-31.471823,-64.235344,CONGRESO
C6125,Avenida Ingeniero Medina Allende S/N,-31.437158,-64.19237,GUEMES
C6027,Avenida Juan B. Justo 7751,-31.329226,-64.175971,REMEDIOS DE ESCALADA
