id,cueanexo,nombre,est_sector,est_ambito,est_domicilio,est_barrio,est_localidad,est_departamento,nivel,n_plan_estudio,lon,lat
1,140225506,ESCUELA NOCTURNA LUIS MARIA DRAGO ANEXO EXT. AULICA VICENTE FORESTIERI,Estatal,Urbano,RIO NEGRO 5800,VILLA EL LIBERTADOR,CORDOBA,CAPITAL,"[""6. Jóvenes y Adultos - Primario""]",,-64.2247,-31.4802
2,140000200,INSTITUTO LUTERANO CONCORDIA,Privado,Urbano,AV. SANTA ANA 2011,ALTO ALBERDI,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en ciencias naturales""]",-64.212,-31.4164
3,140002500,INSTITUTO GRAL. MANUEL BELGRANO,Privado,Urbano,ARMENIA 2080,PUEYRREDON,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en Ciencias Sociales y Humanidades""]",-64.1585,-31.4039
4,140003900,I.P.E.A. Nº 227 ING. AGR. HERIBERTO G. FISHER ,Estatal,Rural Aglomerado,SARMIENTO 441,,LOZADA,SANTA MARIA,"[""2. Común - Secundario""]","[""2. Técnico en producción agropecuaria""]",-64.0908,-31.6477
5,140005200,I.P.E.M. Nº 199 DR. JUAN EMILIO REMONDA,Estatal,Urbano,SOSA REVELLO 590,PANAMERICANO,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en Arte - Artes Visuales"",""2. Bachiller en Ciencias Sociales y Humanidades""]",-64.1822,-31.368
6,140005500,INSTITUTO PEDRO IGNACIO DE  CASTRO BARROS (EX-NOCT.FEMENINO),Privado,Urbano,SALTA 250,CENTRO,CORDOBA,CAPITAL,"[""2. Común - Secundario"",""7. Jóvenes y Adultos - Secundario""]","[""2. Bachiller en Ciencias Sociales y Humanidades"",""7. Bachiller orientado en economía y administración""]",-64.1774,-31.4148
7,140005600,I.P.E.T. Nº 76. GUSTAVO RIEMANN,Estatal,Urbano,ARTURO ILLIA 524,CENTRO,VILLA RUMIPAL,CALAMUCHITA,"[""2. Común - Secundario""]","[""2. Técnico en equipos e instalaciones electromecánicas"",""2. Técnico químico""]",-64.4767,-32.1937
8,140005800,I.P.E.A. Nº 238 CARLOS MARIA MAMPAEY,Estatal,Urbano,CORRIENTES S/N°,,VILLA GENERAL BELGRANO,CALAMUCHITA,"[""2. Común - Secundario""]","[""2. Técnico en producción agropecuaria""]",-64.5534,-31.9637
9,140007000,INSTITUTO SECUNDARIO OLEGARIO VICTOR ANDRADE,Privado,Urbano,AMALIA CELIA FIGUEREDO DE PIETRA 1615,VILLA RETIRO,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en economía y administración""]",-64.1499,-31.3418
10,140007300,INSTITUTO ESPIRITU SANTO,Privado,Urbano,JORGE ISAACS 4847,PARQUE LICEO 1RA. SECCION,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en comunicación"",""2. Bachiller en economía y administración""]",-64.1739,-31.3511
11,140007600,INSTITUTO MODELO DE JUEGOS Y DEPORTES RACING,Privado,Urbano,GARAGLIO 2065,NUEVA ITALIA,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en educación física""]",-64.1429,-31.389
12,140007900,INSTITUTO HORTUS CONCLUSUS,Privado,Urbano,ANTONIO MARIA GIANELLI 551,GENERAL BUSTOS,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en ciencias naturales"",""2. Bachiller en Ciencias Sociales y Humanidades""]",-64.1755,-31.3951
13,140009000,INSTITUTO DEL SANTISIMO ROSARIO,Privado,Urbano,SAN MARTIN 756,,SANTA ROSA DE RIO PRIMERO,RIO PRIMERO,"[""2. Común - Secundario""]","[""2. Bachiller en economía y administración""]",-63.4042,-31.1533
14,140009100,C.E.N.M.A. STA ROSA DE RIO PRIMERO,Estatal,Urbano,9 DE JULIO 455,CENTRO,SANTA ROSA DE RIO PRIMERO,RIO PRIMERO,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en informática""]",-63.3992,-31.1548
15,140009102,C.E.N.M.A. SANTA ROSA DE RIO PRIMERO ANEXO OBISPO TREJO,Estatal,Urbano,GENERAL PAZ 788,,OBISPO TREJO,RIO PRIMERO,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en agro y ambiente""]",-63.4129,-30.7824
16,140009104,C.E.N.M.A. SANTA ROSA DE RIO PRIMERO ANEXO SEDE LA PUERTA,Estatal,Urbano,LAS HERAS,,LA PUERTA,RIO PRIMERO,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en agro y ambiente""]",-63.2537,-30.8934
17,140009105,C.E.N.M.A. SANTA ROSA DE RIO PRIMERO ANEXO SEDE,Estatal,Urbano,SAN MARTIN 916,,SANTA ROSA DE RIO PRIMERO,RIO PRIMERO,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en economía y administración""]",-63.4015,-31.1538
18,140009108,C.E.N.M.A. SANTA ROSA DE RIO PRIMERO ANEXO SEDE VILLA FONTANA,Estatal,Rural Aglomerado,CORNELIO SAAVEDRA 456,,VILLA FONTANA,RIO PRIMERO,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en informática""]",-63.1169,-30.8941
19,140011400,INSTITUTO CRISTO REY,Privado,Urbano,CURA BROCHERO 753,GENERAL BUSTOS,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en economía y administración"",""2. Bachiller en informática""]",-64.1706,-31.3916
20,140011600,I.P.E.M. Nº 191 MONSEÑOR ENRIQUE ANGELELLI,Estatal,Urbano,BOULEVAR FEDERICO RAUCH 2790,ARTURO CAPDEVILA,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en economía y administración""]",-64.1317,-31.3758
21,140011800,C.E.N.M.A. POLICIA DE LA PROVINCIA DE CORDOBA,Estatal,Urbano,AV. HUMBERTO PRIMO 147,CENTRO,CORDOBA,CAPITAL,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en ciencias sociales y humanidades"",""7. Bachiller orientado en informática""]",-64.1839,-31.4099
22,140011900,C.E.N.M.A. Nº 107,Estatal,Urbano,TRANSITO CACERES DE ALLENDE 250,CENTRO,CORDOBA,CAPITAL,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en economía y administración""]",-64.1758,-31.4215
23,140011901,C.E.N.M.A. Nº 107 - ANEXO COLINAS DE BELLA VISTA,Estatal,Urbano,LA PAMPA 1600,COLINAS DE BELLA VISTA,CORDOBA,CAPITAL,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en economía y administración""]",-64.209,-31.4301
24,140011902,C.E.N.M.A. Nº 107 ANEXO SEDE CAPITAL HUMANO,Estatal,Urbano,ROSARIO DE SANTA FE 650,CENTRO,CORDOBA,CAPITAL,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en informática""]",-64.176,-31.4191
25,140011903,C.E.N.M.A. Nº 107 ANEXO SEDE EDUCACION A DISTANCIA,Estatal,Urbano,ENTRE RÍOS 451,CENTRO,CORDOBA,CAPITAL,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en economía y administración""]",-64.1789,-31.4196
26,140011904,C.E.N.M.A. Nº 107 ANEXO SEDE EDUCACION A DISTANCIA N° 2,Estatal,Urbano,SANTIAGO DEL ESTERO  151,CENTRO,CORDOBA,CAPITAL,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en turismo""]",-64.1768,-31.416
27,140012900,INSTITUTO SAN CARLOS,Privado,Urbano,INTENDENTE BOGACKI 499,,MALAGUEÑO,SANTA MARIA,"[""2. Común - Secundario""]","[""2. Bachiller en economía y administración""]",-64.3607,-31.4626
28,140013400,C.E.N.M.A  Nº 295,Estatal,Urbano,M.N. DE FERREYRA 198,CENTRO,MALAGUEÑO,SANTA MARIA,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en economía y administración""]",-64.3581,-31.4655
29,140013401,C.E.N.M.A. Nº 295 ANEXO Bº COLINAS DE VILLA CARLOS PAZ,Estatal,Urbano,ROMA,COLINAS,VILLA CARLOS PAZ,PUNILLA,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en economía y administración""]",-64.5246,-31.4149
30,140013404,C.E.N.M.A Nº 295 ANEXO SEDE VILLA SAN NICOLAS,Estatal,Urbano,SEGUNDO DURATI RODRIGUEZ ,VILLA SAN NICOLAS,MALAGUEÑO,SANTA MARIA,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en economía y administración""]",-64.4507,-31.4355
31,140011703,ESCUELA NOCTURNA JOSE HERNANDEZ ANEXO EXTENSION AULICA BARRIO QUINTAS DEL ROSARIO,Estatal,Urbano,AVENIDA LAS MALVINAS ARGENTINAS KM 6.5,QUINTAS DEL ROSARIO,CORDOBA,CAPITAL,"[""6. Jóvenes y Adultos - Primario""]",,-64.0922,-31.3789
32,140015300,INSTITUTO ARTURO CAPDEVILA,Privado,Urbano,ASTURIAS 3960,FERROVIARIO MITRE,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en economía y administración"",""2. Bachiller en turismo""]",-64.1363,-31.4352
33,140015400,INSTITUTO JORGE LUIS BORGES,Privado,Urbano,AVENIDA CROACIA 3127,DEAN FUNES,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en economía y administración""]",-64.1202,-31.4457
34,140015700,I.P.E.M. Nº 207 EDUARDO RAUL REQUENA,Estatal,Urbano,AV.FARADAY 5127,ITUZAINGO,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en comunicación""]",-64.0869,-31.4603
35,140016900,INST. SUP. REMEDIOS ESCALADA DE SAN MARTIN,Privado,Urbano,PROFESORA ADELINA ALEGRE DE DURET S/N°,SARMIENTO,VILLA CARLOS PAZ,PUNILLA,"[""2. Común - Secundario"",""3. Común - Superior""]","[""2. Bachiller en economía y administración"",""2. Bachiller en Informática""]",-64.4916,-31.4286
36,140017600,INSTITUTO ESTEBAN ECHEVERRIA,Privado,Rural Aglomerado,GENERAL PAZ 556,,LA LAGUNA,GENERAL SAN MARTIN,"[""2. Común - Secundario""]","[""2. Bachiller en ciencias naturales""]",-63.2441,-32.8038
37,140018000,I.P.E.A. Nº 218. JUAN BAUTISTA BOSIO,Estatal,Rural Aglomerado,AV.FRANCISCO ROCA 649,,PASCO,GENERAL SAN MARTIN,"[""2. Común - Secundario""]","[""2. Técnico en producción agropecuaria""]",-63.3412,-32.7498
38,140018300,I.P.E.M. N° 180 RAFAEL OBLIGADO,Estatal,Urbano,MENDOZA  249,,TICINO,GENERAL SAN MARTIN,"[""2. Común - Secundario""]","[""2. Bachiller en economía y administración""]",-63.434,-32.6937
39,140021100,INSTITUTO SAN FRANCISCO DE ASIS - ORIENTADO y TECNICO,Privado,Urbano,CALLE 8 S/N,VILLA RIO SANTA ROSA (Villa Incor),SANTA ROSA DE CALAMUCHITA,CALAMUCHITA,"[""2. Común - Secundario""]","[""2. Bachiller en comunicación"",""2. Bachiller en economía y administración"",""2. Bachiller en educación física"",""2. Bachiller orientado en ciencias sociales"",""2. Técnico en Industrialización de la Madera y el Mueble"",""2. Tecnico en Industrias de Procesos""]",-64.5355,-32.0788
40,140021500,INSTITUTO FRAY MAMERTO ESQUIU,Privado,Urbano,SARMIENTO 343,CENTRO,VILLA DEL DIQUE,CALAMUCHITA,"[""2. Común - Secundario""]","[""2. Bachiller en economía y administración"",""2. Bachiller en Informática""]",-64.4569,-32.1794
41,140022900,INSTITUTO PIO XII,Privado,Urbano,PADRE BUTELER 229,CENTRO,DESPEÑADEROS,SANTA MARIA,"[""2. Común - Secundario""]","[""2. Bachiller en Ciencias Sociales y Humanidades""]",-64.286,-31.8178
42,140023200,INSTITUTO NUESTRA MADRE DE LA MERCED,Privado,Urbano,MARIANO FRAGUEIRO 2389,ALTA CORDOBA,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en ciencias naturales"",""2. Bachiller en comunicación""]",-64.184,-31.3878
43,140023500,INSTITUTO DR. ABRAHAM MOLINA,Privado,Urbano,URQUIZA 375,,LOS CONDORES,CALAMUCHITA,"[""2. Común - Secundario""]","[""2. Bachiller en economía y administración""]",-64.2764,-32.3216
44,140026400,INST.PRIVADO DIOCESANO GENERAL MANUEL BELGRANO,Privado,Urbano,DEAN FUNES 173,,POZO DEL MOLLE,RIO SEGUNDO,"[""2. Común - Secundario""]","[""2. Bachiller en ciencias naturales"",""2. Bachiller en Informática"",""2. Técnico en producción agropecuaria""]",-62.9191,-32.0218
45,140026800,INSTITUTO SECUNDARIO GENERAL JOSE MARIA PAZ,Privado,Urbano,BV. RIO CUARTO 599,CENTRO,LAGUNA LARGA,RIO SEGUNDO,"[""2. Común - Secundario""]","[""2. Bachiller en Ciencias Sociales y Humanidades"",""2. Bachiller en economía y administración""]",-63.7998,-31.7766
46,140029000,INSTITUTO MANUEL DORREGO,Privado,Rural Aglomerado,SARMIENTO 295,,COLONIA MARINA,SAN JUSTO,"[""2. Común - Secundario""]","[""2. Bachiller en Agro y Ambiente""]",-62.3606,-31.2501
47,140014000,J.DE INF. PABLO PIZZURNO,Estatal,Urbano,CALLE 4,,VILLA PARQUE SANTA ANA,SANTA MARIA,"[""0. Común - Inicial""]",,-64.3555,-31.591
48,140030300,INSTITUTO PARROQUIAL SAN ROQUE,Privado,Urbano,MADRE MARIA BRIGIDA PASTORINO 2790,VILLA CORINA,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en Ciencias Sociales y Humanidades"",""2. Técnico en electrónica""]",-64.1427,-31.3779
49,140032100,I.P.E.A. Nº 236 EMILIO PRATAVIERA,Estatal,Rural Aglomerado,AVENIDA ALMAFUERTE 251,,CALCHIN OESTE,RIO SEGUNDO,"[""2. Común - Secundario""]","[""2. Técnico en producción agropecuaria""]",-63.2756,-31.863
50,140032700,I.P.E.A. Nº 231 INT.DELMO EDUARDO SEBASTIAN TORASSO,Estatal,Rural Aglomerado,ESPAÑA 337,ESTE,LAS JUNTURAS,RIO SEGUNDO,"[""2. Común - Secundario""]","[""2. Técnico en producción agropecuaria""]",-63.4458,-31.8276
51,140033600,I.P.E.T. Nº 170 PADRE JOSE G. BROCHERO,Estatal,Rural Aglomerado,AV. CURA BROCHERO 1138,RESIDENCIAL SUR,SALSACATE,POCHO,"[""2. Común - Secundario""]","[""2. Maestro mayor de obras""]",-65.0916,-31.3146
52,140034505,C.E.I.J.A. Nº 3 VILLA DE SOTO ANEXO SEDE ESTANCIA DE GUADALUPE,Estatal,Rural Disperso,PUBLICA,,ESTANCIA DE GUADALUPE,MINAS,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en turismo""]",-65.215,-31.1278
53,140034501,C.E.I.J.A. Nº 3 VILLA DE SOTO ANEXO SERREZUELA,Estatal,Urbano,AV. MALVINAS ARGENTINAS,,SERREZUELA,CRUZ DEL EJE,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en informática""]",-65.3852,-30.6391
54,140034503,C.E.I.J.A. Nº 3 VILLA DE SOTO ANEXO SEDE LOS ESCALONES,Estatal,Rural Disperso,CALLE PUBLICA,,LOS ESCALONES,CRUZ DEL EJE,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en agro y ambiente""]",-65.2953,-30.4741
55,140032400,MANUEL BELGRANO,Estatal,Rural Disperso,CALLE PUBLICA S/N ,,CAMPO MARTOLINO,RIO SEGUNDO,"[""0. Común - Inicial"",""1. Común - Primario""]",,-63.3449,-32.0057
56,140032500,J.DE INF. JUAN BAUTISTA ALBERDI,Estatal,Rural Aglomerado,DEAN FUNES 630,,LAS JUNTURAS,RIO SEGUNDO,"[""0. Común - Inicial""]",,-63.4529,-31.8341
57,140034600,INSTITUTO JOSE MANUEL ESTRADA,Privado,Urbano,JOSE IGNACIO PERALTA 339,CENTRO,VILLA DE SOTO,CRUZ DEL EJE,"[""2. Común - Secundario""]","[""2. Bachiller en economía y administración"",""2. Bachiller en Informática""]",-64.986,-30.8559
58,140035700,I.P.E.A.Y.M. Nº 243 EDUARDO OLIVERA,Estatal,Urbano,DOCTOR JULIO CASTELLANO 450,,PILAR,RIO SEGUNDO,"[""2. Común - Secundario""]","[""2. Bachiller en Ciencias Sociales y Humanidades"",""2. Técnico en producción agropecuaria""]",-63.8687,-31.6882
59,140034506,C.E.I.J.A. Nº 3 VILLA DE SOTO ANEXO SEDE LA HIGUERA,Estatal,Rural Disperso,CALLE PUBLICA,,LA HIGUERA,CRUZ DEL EJE,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en turismo""]",-65.1029,-31.0157
60,140034700,ESCUELA PADRE BARTOLOME DE LAS CASAS,Estatal,Urbano,AVENIDA 25 DE MAYO 31,CENTRO,VILLA DE SOTO,CRUZ DEL EJE,"[""1. Común - Primario""]",,-64.9897,-30.8577
61,140034507,C.E.I.J.A. Nº 3 VILLA DE SOTO ANEXO SEDE LOS ESCALONES EXT. AULICA TUCLAME,Estatal,Rural,CALLE PUBLICA,,TUCLAME,CRUZ DEL EJE,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en agro y ambiente""]",-65.2378,-30.7469
62,140039700,INSTITUTO MANUELA MAYORGA DE MAYORGA,Privado,Rural Disperso,AVENIDA LOS ESTUDIANTES,SAN JOSE,PAMPAYASTA NORTE,TERCERO ARRIBA,"[""2. Común - Secundario""]","[""2. Bachiller en ciencias naturales""]",-63.6426,-32.2407
63,140040300,I.P.E.T. Nº 71 LUIS FEDERICO LELOIR,Estatal,Urbano,GUEMES 387,CANDELA,HERNANDO,TERCERO ARRIBA,"[""2. Común - Secundario""]","[""2. Maestro mayor de obras"",""2. Técnico en Industria de los Alimentos""]",-63.7377,-32.4215
64,140041400,INSTITUTO PABLO A. PIZZURNO - AGROTECNICO y ORIENTADO,Privado,Urbano,GENERAL PAZ 495,CENTRO,HERNANDO,TERCERO ARRIBA,"[""2. Común - Secundario""]","[""2. Bachiller en economía y administración"",""2. Técnico en producción agropecuaria""]",-63.7331,-32.4235
65,140041700,I.P.E.T. Nº 70  PROF. DR. HUMBERTO DIONISI,Estatal,Urbano,AV. JUAN B. JUSTO 4350,VILLA AZALAIS OESTE,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller con formación profesional especializado"",""2. Bachiller orientado en ciencias sociales"",""2. Técnico en equipos e instalaciones electromecánicas"",""2. Técnico en Industrialización de la Madera y el Mueble""]",-64.176,-31.3728
66,140042200,INSTITUTO MANUEL BELGRANO,Privado,Urbano,BELGRANO 960,SAN JOSE,SACANTA,SAN JUSTO,"[""2. Común - Secundario""]","[""2. Bachiller en economía y administración""]",-63.0422,-31.6633
67,140042601,C.E.N.M.A. AIME PAINE - ANEXO EL ARAÑADO,Estatal,Rural Aglomerado,25 DE MAYO 381,,EL ARAÑADO,SAN JUSTO,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en informática""]",-62.8903,-31.7409
68,140042604,C.E.N.M.A. AIME PAINE - ANEXO ALICIA,Estatal,Urbano,LA RIOJA 526,,ALICIA,SAN JUSTO,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en agro y ambiente""]",-62.4646,-31.9446
69,140042605,C.E.N.M.A. AIME PAINE - ANEXO SEDE LAS VARILLAS,Estatal,Urbano,SARGENTO CABRAL 521,,LAS VARILLAS,SAN JUSTO,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en economía y administración"",""7. Bachiller orientado en metalmecánica""]",-62.7109,-31.8743
70,140239600,JARDIN DE INF. COSTA AZUL,Privado,Urbano,HUARPES 88,,VILLA CARLOS PAZ,PUNILLA,"[""0. Común - Inicial""]",,-64.4654,-31.3996
71,140042606,C.E.N.M.A. AIME PAINE ANEXO SEDE LAS VARAS,Estatal,Rural Aglomerado,FALUCHO Y SHANCAY,,LAS VARAS,SAN JUSTO,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en economía y administración""]",-62.6175,-31.8036
72,140042600,C.E.N.M.A. AIME PAINE,Estatal,Urbano,BELGRANO 960,SAN JOSE,SACANTA,SAN JUSTO,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en economía y administración""]",-63.0425,-31.663
73,140042603,C.E.N.M.A. AIME PAINE - ANEXO SEDE EL FORTIN,Estatal,Rural Aglomerado,BOULEVAR  HORACIO SHEDDEN,,EL FORTIN,SAN JUSTO,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en economía y administración""]",-62.3008,-31.968
74,140042000,J.DE INF. JOSE DE SAN MARTIN,Estatal,Urbano,SAN JUAN  2255,BARRACAS,MONTE MAIZ,UNION,"[""0. Común - Inicial""]",,-62.5939,-33.2026
75,140042607,C.E.N.M.A. AIME PAINE ANEXO SEDE LAS VARILLAS EXT AUL REFUGIO MUSICAL DE B° EL BOSQUE,Estatal,Urbano,PJE TERESA NANNINI 743,EL BOSQUE,LAS VARILLAS,SAN JUSTO,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en economía y administración""]",-62.7151,-31.8824
76,140044500,INSTITUTO DEL ESPIRITU SANTO,Privado,Urbano,AV. SAN MARTIN 5109,CENTRO,RIO CEBALLOS,COLON,"[""2. Común - Secundario""]","[""2. Bachiller en ciencias naturales""]",-64.3221,-31.1666
77,140045200,INSTITUTO NUESTRA SEÑORA DE NIEVA,Privado,Urbano,AYACUCHO 442,GUEMES,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en ciencias naturales"",""2. Bachiller en Ciencias Sociales y Humanidades""]",-64.1918,-31.4197
78,140045300,I.P.E.M. Nº 194 NICOLAS LOBOS PORTO,Estatal,Urbano,BOLIVAR 896,GUEMES,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en economía y administración"",""2. Bachiller orientado en ciencias sociales""]",-64.1953,-31.4244
79,140046003,C.E.N.M.A. N° 71 ANEXO EXTENSION AULICA Bº LOS ROBLES,Estatal,Urbano,CALLE PUBLICA,LOS ROBLES,CORDOBA,CAPITAL,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en informática""]",-64.2617,-31.4035
80,140046004,C.E.N.M.A. Nº 71 ANEXO BARRIO PARQUE REPUBLICA,Estatal,Urbano,LLAQUELEN 5500,PARQUE REPUBLICA,CORDOBA,CAPITAL,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en economía y administración""]",-64.2533,-31.4185
81,140046800,I.P.E.M. Nº 40 DEODORO ROCA,Estatal,Urbano,PEDRO LUIS DE CABRERA 3070,JARDIN,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller en ciencias naturales"",""2. Bachiller en comunicación"",""2. Bachiller orientado en ciencias sociales""]",-64.1716,-31.4477
82,140047300,INSTITUTO MARIANO MORENO (ED.ADULTOS),Privado,Urbano,AVENIDA BELGRANO 386,CENTRO,CORRAL DE BUSTOS,MARCOS JUAREZ,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en economía y administración""]",-62.186,-33.2857
83,140046007,C.E.N.M.A. Nº 71 ANEXO SEDE Bº PARQUE REPUBLICA,Estatal,Urbano,CHOCORI  1194,PARQUE REPUBLICA,CORDOBA,CAPITAL,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en economía y administración""]",-64.2547,-31.4182
84,140046801,I.P.E.M. Nº 40 DEODORO ROCA ANEXO PIT B°OÑA,Estatal,Urbano,AMBOY 3248,OÑA,CORDOBA,CAPITAL,"[""2. Común - Secundario""]","[""2. Bachiller orientado en ciencias sociales""]",-64.166,-31.4501
85,140044300,COLEGIO DEL ESPIRITU SANTO,Privado,Urbano,AV. SAN MARTIN 5109,CENTRO,RIO CEBALLOS,COLON,"[""1. Común - Primario""]",,-64.3221,-31.1666
86,140047500,ESC. NORMAL SUPERIOR MAESTROS ARGENTINOS,Estatal,Urbano,25 DE MAYO 747,,CORRAL DE BUSTOS,MARCOS JUAREZ,"[""0. Común - Inicial"",""1. Común - Primario"",""2. Común - Secundario"",""3. Común - Superior""]","[""2. Bachiller en ciencias naturales"",""2. Bachiller en Ciencias Sociales y Humanidades""]",-62.1878,-33.2895
87,140049400,C.E.I.J.A. Nº 1 BELL VILLE,Estatal,Urbano,ENTRE RIOS 457,CENTRO,BELL VILLE,UNION,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en economía y administración"",""7. Bachiller orientado en informática""]",-62.6917,-32.6338
88,140049401,C.E.I.J.A. N° 1 BELL VILLE ANEXO SAN ANTONIO DE LITIN,Estatal,Rural Aglomerado,LIBERTAD 342,,SAN ANTONIO DE LITIN,UNION,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en informática""]",-62.636,-32.2123
89,140049402,C.E.I.J.A. Nº 1 BELL VILLE ANEXO CINTRA,Estatal,Rural Aglomerado,BELGRANO 548,CENTRO,CINTRA,UNION,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en informática""]",-62.65,-32.3067
90,140049403,C.E.I.J.A. N° 1 BELL VILLE ANEXO SEDE MONTE LEÑA,Estatal,Rural Disperso,CARDO 146,,MONTE LEÑA,UNION,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en economía y administración""]",-62.5888,-32.6113
91,140049404,C.E.I.J.A. N° 1 BELL VILLE ANEXO SEDE SAN MARCOS SUD,Estatal,Urbano,LIBERTAD S/N,,SAN MARCOS SUD,UNION,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en economía y administración""]",-62.4849,-32.6324
92,140049405,C.E.I.J.A. N° 1 BELL VILLE ANEXO BALLESTEROS ,Estatal,Urbano,ANSELMO G. VAZQUEZ 522,CENTRO,BALLESTEROS,UNION,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en economía y administración""]",-62.9829,-32.5421
93,140049406,C.E.I.J.A. N° 1 BELL VILLE ANEXO MORRISON,Estatal,Urbano,AV. LEONARDO MURIALDO 1355,SUR,MORRISON,UNION,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en informática""]",-62.8338,-32.5935
94,140049407,C.E.I.J.A. Nº 1 BELL VILLE ANEXO SEDE MAINERO,Estatal,Urbano,"BV, COLON 1240",ESTACION,BELL VILLE,UNION,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller orientado en metalmecánica""]",-62.694,-32.6146
95,140049408,C.E.I.J.A. Nº 1 BELL VILLE ANEXO ALTO ALEGRE,Estatal,Rural Aglomerado,JULIO A ROCA  115,,ALTO ALEGRE,UNION,"[""7. Jóvenes y Adultos - Secundario""]","[""7. Bachiller Orientado en Ciencias Naturales""]",-62.65,-32.3067
96,140050100,I.P.E.M.y T. Nº 173 GDOR. JUAN B. BUSTOS,Estatal,Urbano,MENDOZA 206,NORTE,MORRISON,UNION,"[""2. Común - Secundario""]","[""2. Bachiller en economía y administración"",""2. Técnico en mecanización agropecuaria""]",-62.8342,-32.586
97,140050200,INSTITUTO SAN JOSE,Privado,Urbano,AV. LEONARDO MURIALDO 453,NORTE,MORRISON,UNION,"[""2. Común - Secundario""]","[""2. Bachiller en economía y administración""]",-62.8325,-32.5888
