id,cueanexo,nombre,est_sector,est_ambito,est_domicilio,est_barrio,est_localidad,est_departamento,nivel,n_plan_estudio,lon,lat
4553,140417201,J.DE INF. JOSE GABRIEL BROCHERO - ANEXO BAJO DE CORRALES,Estatal,Rural Disperso,RUTA 15 S/N°,,BAJO DE CORRALES,SAN ALBERTO,"[""0. Común - Inicial""]",,-65.1105,-31.4557
4554,140417202,J.DE INF. JOSE GABRIEL BROCHERO - ANEXO PANAHOLMA,Estatal,Rural Disperso,CALLE PUBLICA S/N°,,PANAHOLMA,SAN ALBERTO,"[""0. Común - Inicial""]",,-65.0539,-31.632
4555,140417300,J.DE INF. DR. DALMACIO VELEZ SARSFIELD,Estatal,Urbano,VELEZ SARSFIELD 469,SAN VICENTE,BELL VILLE,UNION,"[""0. Común - Inicial""]",,-62.6776,-32.6291
4556,140417400,J.DE INF. INT. DR. RAUL G. VILLAFAÑE,Estatal,Urbano,PARAGUAY SUR 3695,CIUDAD,SAN FRANCISCO,SAN JUSTO,"[""0. Común - Inicial""]",,-62.1074,-31.4317
4557,140417500,J.DE INF. MARINA MARIA M. FAVA DE ESTEBAN,Estatal,Urbano,INDEPENDENCIA (S) 3950,INDEPENDENCIA,SAN FRANCISCO,SAN JUSTO,"[""0. Común - Inicial""]",,-62.107,-31.4221
4558,140417600,J.DE INF. PROVINCIA DE MISIONES,Estatal,Urbano,LULLIO S/N°,ANA MARIA ZUMARAN,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.2037,-31.3745
4559,140417700,J.DE INF. PROVINCIA DE FORMOSA,Estatal,Urbano,RODRIGUEZ PEÑA 1548,ALTA CORDOBA,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.1901,-31.3964
4560,140417800,J.DE INF. LEOPOLDO LUGONES,Estatal,Urbano,LARTIGAU LESPADA 3050,POETA LUGONES,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.2114,-31.3622
4561,140417900,J.DE INF. 9 DE JULIO,Estatal,Urbano,JOSE A. CABRERA 5015,DEAN FUNES,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.122,-31.4441
4562,140418100,ESCUELA HIPOLITO BOUCHARD,Estatal,Urbano,E.J.CARRA 1873,BOUCHARD,SAN FRANCISCO,SAN JUSTO,"[""1. Común - Primario""]",,-62.0895,-31.4417
4563,140418300,J.DE INF. JERONIMO LUIS DE CABRERA,Estatal,Rural Disperso,EUFRONIO LUDUEÑA,,IMPIRA,RIO SEGUNDO,"[""0. Común - Inicial""]",,-63.6502,-31.7994
4564,140418400,J.DE INF. MARIA JOSEFA GONZALEZ CASERO,Estatal,Urbano,25 DE MAYO,,PILAR,RIO SEGUNDO,"[""0. Común - Inicial""]",,-63.8888,-31.6833
4565,140418500,J.DE INF. MANUEL BELGRANO,Estatal,Rural Aglomerado,JOSE HERNANDEZ 98,,CALCHIN OESTE,RIO SEGUNDO,"[""0. Común - Inicial""]",,-63.2773,-31.8629
4566,140418700,LEOPOLDO DIAZ,Estatal,Rural Disperso,CALLE PUBLICA S/N,,LA ESTANCIA,RIO SECO,"[""1. Común - Primario""]",,-63.8578,-29.9133
4567,140418800,JUSTA MONTENEGRO DE PATIÑO,Estatal,Rural Disperso,CALLE PUBLICA S/N°,,LA PENCA,RIO SECO,"[""0. Común - Inicial"",""1. Común - Primario""]",,-63.5176,-30.1321
4568,140419000,RICARDO ROJAS,Estatal,Rural Disperso,CALLE PUBLICA S/N,,LA VICTORIA OESTE,RIO SECO,"[""0. Común - Inicial"",""1. Común - Primario""]",,-63.4845,-30.1824
4569,140419300,J.DE INF. GOBERNADOR AMADEO SABATTINI,Estatal,Urbano,ARTURO ZANICHELLI,GOBERNADOR AMADEO SABATTINI,ALTA GRACIA,SANTA MARIA,"[""0. Común - Inicial""]",,-64.4361,-31.6464
4570,140419400,J.DE INF. JOSE MARIA PAZ,Estatal,Urbano,CHILE 1175,CAMARA,ALTA GRACIA,SANTA MARIA,"[""0. Común - Inicial""]",,-64.4194,-31.6573
4571,140419500,J.DE INF. FRENCH Y BERUTTI,Estatal,Rural Aglomerado,ANTONIO BERUTTI S/N,,RAFAEL GARCIA,SANTA MARIA,"[""0. Común - Inicial""]",,-64.2589,-31.6471
4572,140419600,J.DE INF. ROQUE SAENZ PEÑA,Estatal,Rural Disperso,CAMIARE,,VILLA AMANCAY,CALAMUCHITA,"[""0. Común - Inicial""]",,-64.5722,-32.1871
4573,140419700,J.DE INF. GENERAL BELGRANO,Estatal,Rural Disperso,SAN AGUSTIN S/N°,,LA SERRANITA,SANTA MARIA,"[""0. Común - Inicial""]",,-64.4552,-31.736
4574,140419800,J.DE INF. ESTHER SANCHEZ DE ROUVIERE,Estatal,Urbano,INGENIERO CASSAFOUTH S/N°,VILLA IRUPE,EMBALSE,CALAMUCHITA,"[""0. Común - Inicial""]",,-64.4092,-32.1829
4575,140419900,J.DE INF. DOMINGO FAUSTINO SARMIENTO,Estatal,Urbano,JOSUE RODRIGUEZ 267,CENTRO OESTE,ALEJO LEDESMA,MARCOS JUAREZ,"[""0. Común - Inicial""]",,-62.6252,-33.6094
4576,140420000,J.DE INF. CDTE. ROSENDO LEAL,Estatal,Rural Disperso,CESAR MANUEL VERA,,CIENAGA DEL CORO,MINAS,"[""0. Común - Inicial""]",,-65.2823,-31.0411
4577,140418600,J.DE INF. AERONAUTICA ARGENTINA,Estatal,Urbano,OCAMPO Y ROMAN DEHEZA,LA LOMITA,LA FALDA,PUNILLA,"[""0. Común - Inicial""]",,-64.4891,-31.0856
4578,140418000,J.DE INF. REPUBLICA DE COSTA RICA,Estatal,Urbano,CALLE PUBLICA S/N°,25 DE MAYO,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.0924,-31.4761
4579,140420100,J.DE INF. DOCTOR ARTURO M. BAS,Estatal,Urbano,FIGUEROA ALCORTA 155,LAS PLAYAS,VILLA MARIA,GENERAL SAN MARTIN,"[""0. Común - Inicial""]",,-63.2086,-32.4299
4580,140420200,J.DE INF. ROSARIO VERA PEÑALOZA,Estatal,Rural Aglomerado,AV. FUERZA AEREA ARGENTINA 412,CENTRO,BENJAMIN GOULD,UNION,"[""0. Común - Inicial""]",,-62.7288,-33.5883
4581,140420600,COLEGIO PRIVADO EL MANANTIAL,Privado,Urbano,ROMAN BASAIL 48,CENTRO,VILLA DOLORES,SAN JAVIER,"[""1. Común - Primario""]",,-65.1919,-31.9434
4582,140420700,COLEGIO GARCIA FAURE,Privado,Urbano,JERONIMO LUIS DE CABRERA 834,ALTA CORDOBA,CORDOBA,CAPITAL,"[""1. Común - Primario""]",,-64.188,-31.3963
4583,140421000,J.DE INF. M.E.D.E.A.-DEJAD LOS NIÑOS VENIR A MI,Privado,Urbano,TOTORILLA (EX-PASAJE 5) 1565,VILLA EL LIBERTADOR,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.2222,-31.4538
4584,140421200,J.DE INF. NUESTRA SEÑORA DE FATIMA,Privado,Urbano,AV RUFINO VARELA ORTIZ 2600,MATIENZO,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.2375,-31.4398
4585,140421300,J.DE INF. HAROLDO ANDENMATTEN,Privado,Urbano,PEDRO ZANNI 950,ALTO ALBERDI,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.2094,-31.3975
4586,140421400,J.DE INF. NUESTRA SEÑORA DE LORETO,Privado,Urbano,GILARDO GILARDI 1666,LOS NARANJOS,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.2216,-31.4291
4587,140421500,J.DE INF. SANTO DOMINGO DE GUZMAN,Privado,Urbano,AV DOMINGO ZIPOLI 915,ESCOBAR,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.2222,-31.3933
4588,140421600,J.DE INF. LUTERANO CONCORDIA,Privado,Urbano,AV. SANTA ANA 2011,ALTO ALBERDI,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.212,-31.4164
4589,140421700,J.DE INF. NUESTRA SEÑORA DE LAS MERCEDES,Privado,Urbano,AZOPARDO 200,CENTRO,UNQUILLO,COLON,"[""0. Común - Inicial""]",,-64.3129,-31.2383
4590,140421800,J.DE INF. ITALO ARG. DANTE ALIGHIERI,Privado,Urbano,JOSE JAVIER DIAZ 481,SAN FERNANDO,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.1906,-31.4465
4591,140422000,J.DE INF. PIO LEON,Privado,Urbano,AVENIDA 28 DE JULIO 345,,COLONIA CAROYA,COLON,"[""0. Común - Inicial""]",,-64.104,-30.9859
4592,140422100,J.DE INF. PUERTAS DEL SOL,Privado,Urbano,BUENOS AIRES 750,,ONCATIVO,RIO SEGUNDO,"[""0. Común - Inicial""]",,-63.6887,-31.9184
4593,140422200,J.DE INF. SOR MARIA ANTONIA DE PAZ Y FIGUEROA,Privado,Urbano,NICOLAS DE ISASMENDI 2862,YOFRE NORTE,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.1345,-31.3856
4594,140422300,J.DE INF. DOCTOR ANTONIO NORES,Privado,Urbano,JULIO DE VEDIA 2355,SANTA CLARA DE ASIS,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.1381,-31.382
4595,140422400,J.DE INF. CORAZON DE MARIA,Privado,Urbano,ANTONIO DEL VISO 445,ALTA CORDOBA,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.1817,-31.3947
4596,140422500,J.DE INF. SAN ANTONIO,Privado,Urbano,AV. AMADEO SABATTINI 141,CENTRO,VILLA MARIA,GENERAL SAN MARTIN,"[""0. Común - Inicial""]",,-63.2485,-32.4122
4597,140422600,J.DE INF. SANTO CRISTO,Privado,Urbano,DOMINGO FUNES 1180,OBSERVATORIO,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.204,-31.424
4598,140422700,J.DE INF. NUESTRA SEÑORA,Privado,Urbano,INCA MANCO 3450,JARDIN ESPINOSA,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.1741,-31.455
4599,140422800,J.DE INF. MANUEL BELGRANO,Privado,Urbano,BV. BELGRANO 835,25 DE MAYO,BRINCKMANN,SAN JUSTO,"[""0. Común - Inicial""]",,-62.0379,-30.8686
4600,140422900,J.DE INF. AMPARO DE MARIA,Privado,Urbano,CASEROS 730,ALBERDI,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.1954,-31.4151
4601,140423000,JARDIN DE NIÑOS MUSICOS,Privado,Urbano,ITUZAINGO  658,NUEVA CORDOBA,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.1848,-31.4246
4602,140423100,J.DE INF. LA SANTISIMA TRINIDAD,Privado,Urbano,VELEZ SARSFIELD 1072,CENTRO,VILLA MARIA,GENERAL SAN MARTIN,"[""0. Común - Inicial""]",,-63.2495,-32.4049
4603,140423200,MARIANO MORENO,Estatal,Rural Disperso,CALLE PUBLICA S/N°,,CAMPO BATTISTON,TERCERO ARRIBA,"[""0. Común - Inicial"",""1. Común - Primario""]",,-63.563,-32.2454
4604,140423300,J.DE INF. GRAL. JOSE DE SAN MARTIN,Estatal,Urbano,CORRIENTES 285,,RIO PRIMERO,RIO PRIMERO,"[""0. Común - Inicial""]",,-63.6177,-31.3311
4605,140420002,J.DE INF. CDTE.ROSENDO LEAL - ANEXO ESTANCIA DE GUADALUPE,Estatal,Rural Disperso,CALLE PUBLICA,,ESTANCIA DE GUADALUPE,MINAS,"[""0. Común - Inicial""]",,-65.2148,-31.1278
4606,140423400,J.DE INF. MARIA C. C. DE ARGUELLO,Estatal,Rural Aglomerado,DERQUI 686,,DIEGO DE ROJAS,RIO PRIMERO,"[""0. Común - Inicial""]",,-63.3401,-31.0301
4607,140423500,J.DE INF. ESTANISLAO DEL CAMPO,Estatal,Rural Disperso,RUTA NACIONAL N°19 - Av. Gral. José de San Martín,,LOS CHAÑARITOS,RIO SEGUNDO,"[""0. Común - Inicial""]",,-63.3264,-31.4033
4608,140423600,J.DE INF. DOCTOR NICOLAS AVELLANEDA,Estatal,Urbano,CALLE PUBLICA S/N°,VILLA SAN CARLOS,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.1699,-31.4706
4609,140423700,J.DE INF. DR. CARLOS VAZ FERREIRA,Estatal,Urbano,FUENCARRAL,BELLA VISTA,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.205,-31.4327
4610,140423800,J.DE INF. HEBE SAN MARTIN DE DUPRAT,Estatal,Urbano,BONN 4665,ESTACION FLORES,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.2476,-31.451
4611,140423900,J.DE INF. SAN JOSE DE CALASANZ,Estatal,Urbano,CALLE 28 ENTRE 15 Y 7,INAUDI,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.1936,-31.4766
4612,140424000,J.DE INF. JOSE MANUEL ESTRADA,Estatal,Urbano,AV. BERNARDO O'HIGGINS KM. 8,VILLA SAN CARLOS,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.169,-31.5022
4613,140424100,J.DE INF. JOSE HERNANDEZ,Estatal,Urbano,SAN MARTIN 151,CENTRO,CANALS,UNION,"[""0. Común - Inicial""]",,-62.886,-33.5634
4614,140424101,J.DE INF. JOSE HERNANDEZ - ANEXO COLONIA BREMEN,Estatal,Rural Disperso,AV. CORDOBA S/N,,COLONIA BREMEN,UNION,"[""0. Común - Inicial""]",,-62.7321,-33.4634
4615,140424300,J.DE INF. GENERAL FRANCISCO ORTIZ DE OCAMPO,Estatal,Urbano,SALTA 232,CENTRO,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.1775,-31.4151
4616,140424400,INSTITUTO PRIVADO TORREON DE LOS RIOS,Privado,Urbano,AVENIDA PADRE LUCCHESE 4701,,VILLA ALLENDE,COLON,"[""0. Común - Inicial""]",,-64.2261,-31.3033
4617,140424500,J.DE INF. ARTURO CAPDEVILA,Privado,Urbano,AV. ARTURO CAPDEVILA 709,AMPLIACION RESIDENCIAL AMERICA,CORDOBA,CAPITAL,"[""0. Común - Inicial""]",,-64.1636,-31.3767
4618,140424700,J.DE INF. DEL NIÑO JESUS,Privado,Urbano,VELEZ SARSFIELD 542,RADOSTA,BERROTARAN,RIO CUARTO,"[""0. Común - Inicial""]",,-64.3921,-32.4538
