X,Y,Name,NOMBRE_BAR,SUP_HA_MOD,COD_BA_14,Poblacion,Hombres,Mujeres,%Poblacion,Hogares,NBI(hogares)
-64.2550290261622,-31.315867092543,450-VILLA CORNU,VILLA CORNU,76.12,"450","3,637","1,786","1,851",0.27%,"954","72"
-64.1446975348582,-31.3753122407543,449-VILLA CORINA,VILLA CORINA,57.06,"449","4,622","2,174","2,448",0.35%,"1,373","78"
-64.1225564917819,-31.3886748687489,448-VILLA CLAUDINA,VILLA CLAUDINA,4.25,"448","334","167","167",0.03%,"98","6"
-64.238479952604,-31.346764951577,447-VILLA CLARET,VILLA CLARET,6.49,"447","494","238","256",0.04%,"137","4"
-64.2308900849635,-31.3655136474965,446-VILLA CENTENARIO,VILLA CENTENARIO,49.47,"446","2,331","1,040","1,291",0.18%,"847","13"
-64.2107766574213,-31.3873896225332,445-VILLA CABRERA,VILLA CABRERA,112.83,"445","6,437","2,940","3,497",0.48%,"2,336","28"
-64.1118196733192,-31.4380459286388,444-VILLA BUSTOS,VILLA BUSTOS,31.56,"444","2,219","1,107","1,112",0.17%,"538","54"
-64.2502732108312,-31.3593223550694,443-VILLA BELGRANO,VILLA BELGRANO,259.07,"443","5,152","2,537","2,615",0.39%,"1,554","24"
-64.1748905214047,-31.3679277643136,442-VILLA AZALAIS OESTE,VILLA AZALAIS OESTE,22.02,"442","1,121","560","561",0.08%,"319","14"
-64.1617435194703,-31.3651524446768,441-VILLA AZALAIS ANEXO,VILLA AZALAIS ANEXO,12.64,"441","351","167","184",0.03%,"82","13"
-64.1519055061196,-31.3733605910932,440-VILLA AZALAIS,VILLA AZALAIS,87.9,"440","7,680","3,701","3,979",0.58%,"2,225","140"
-64.2431944869072,-31.4159890689732,439-VILLA AVALOS,VILLA AVALOS,71.21,"439","1,364","710","654",0.10%,"350","88"
-64.2474522379448,-31.4430863044472,438-VILLA ASPACIA,VILLA ASPACIA,40.81,"438","2,319","1,130","1,189",0.17%,"607","43"
-64.1354526357973,-31.431052918483,437-VILLA ARGENTINA,VILLA ARGENTINA,13.12,"437","966","472","494",0.07%,"313","3"
-64.2821735904198,-31.3138838412422,436-VILLA ALLENDE PARQUE,VILLA ALLENDE PARQUE,131.17,"436","5,601","2,759","2,842",0.42%,"1,512","138"
-64.1804311454914,-31.3114354632522,435-VILLA ALICIA RISLER,VILLA ALICIA RISLER,40.05,"435","3,062","1,500","1,562",0.23%,"797","100"
-64.2666051276845,-31.4161416393993,434-VILLA ALBERTO,VILLA ALBERTO,52.52,"434","876","435","441",0.07%,"198","25"
-64.2358376189342,-31.3934888286527,433-VILLA ALBERDI,VILLA ALBERDI,30.14,"433","2,014","964","1,050",0.15%,"547","44"
-64.247507386986,-31.4354459009998,432-VILLA ADELA,VILLA ADELA,52.72,"432","3,684","1,804","1,880",0.28%,"1,088","56"
-64.270839671136,-31.329018947509,431-VILLA 9 DE JULIO,VILLA 9 DE JULIO,199.37,"431","8,712","4,276","4,436",0.66%,"2,383","268"
-64.1908220088431,-31.3709389448169,430-VILLA 4 DE AGOSTO,VILLA 4 DE AGOSTO,9.72,"430","1,620","806","814",0.12%,"329","81"
-64.2476088717772,-31.4779710996914,429-VICOR,VICOR,4.81,"429","418","210","208",0.03%,"93","3"
-64.1311415524934,-31.4814988423669,428-VASQUEZ,VASQUEZ,6.65,"428","119","56","63",0.01%,"32","13"
-64.2403575253101,-31.3714184962642,427-VALLE DEL CERRO,VALLE DEL CERRO,24.06,"427","701","353","348",0.05%,"216","0"
-64.1474823201876,-31.438642250908,426-URQUIZA,URQUIZA,54.95,"426","5,578","2,694","2,884",0.42%,"1,562","160"
-64.2348551534556,-31.4007024648215,425-URITORCO,URITORCO,8.19,"425","428","202","226",0.03%,"127","1"
-64.237176476034,-31.3825291437329,424-URCA,URCA,65.61,"424","3,308","1,549","1,759",0.25%,"1,073","19"
-64.2653478417105,-31.3226062886296,423-UOCRA,UOCRA,30.58,"423","1,906","890","1,016",0.14%,"582","25"
-64.2281773518277,-31.4095065222609,422-TRANVIARIOS,TRANVIARIOS,27.03,"422","2,245","1,061","1,184",0.17%,"720","16"
-64.249188644474,-31.400399552588,421-TEODORO FELDS,TEODORO FELDS,74.58,"421","3,542","1,686","1,856",0.27%,"1,258","5"
-64.2375452199026,-31.4413948429374,420-TENIENTE BENJAMIN MATIENZO,TENIENTE BENJAMIN MATIENZO,99.39,"420","6,873","3,274","3,599",0.52%,"2,080","45"
-64.1992317699973,-31.4786597752331,419-TEJAS II,TEJAS II,47.85,"419","687","322","365",0.05%,"187","6"
-64.1901622837599,-31.4623776512352,418-TEJAS DEL SUR,TEJAS DEL SUR,28.27,"418","1,454","717","737",0.11%,"406","5"
-64.1342425341031,-31.4395334252609,417-TALLERES SUD,TALLERES SUD,47.63,"417","3,940","1,883","2,057",0.30%,"1,027","145"
-64.1589426196123,-31.3901962264128,416-TALLERES OESTE,TALLERES OESTE,139.04,"416","5,925","2,799","3,126",0.45%,"1,848","62"
-64.1506644470621,-31.3889614484158,415-TALLERES ESTE,TALLERES ESTE,59.71,"415","5,542","2,608","2,934",0.42%,"1,710","59"
-64.2262528800577,-31.371014347978,414-TABLADA PARK,TABLADA PARK,28.25,"414","748","351","397",0.06%,"265","0"
-64.2104488002246,-31.4386525402631,413-SUAREZ,SUAREZ,35.24,"413","2,807","1,396","1,411",0.21%,"762","87"
-64.2244471605241,-31.4605760175949,412-SOLARES DE SANTA MARIA- ALTOS DE MANANTIALES,SOLARES DE SANTA MARIA- ALTOS DE MANANTIALES,38.02,"412","650","312","338",0.05%,"192","1"
-64.2235302714597,-31.4544018167226,411-SMATA,SMATA,30.05,"411","2,291","1,124","1,167",0.17%,"599","2"
-64.163901564558,-31.459818195198,410-SEP SEGUNDA ETAPA,SEP SEGUNDA ETAPA,15.38,"410","2,640","1,268","1,372",0.20%,"759","16"
-64.1656905708457,-31.4590458861221,409-SEP,SEP,5.54,"409","1,039","481","558",0.08%,"292","7"
-64.1542666069568,-31.4301438218054,408-SARMIENTO,SARMIENTO,30.31,"408","2,507","1,202","1,305",0.19%,"785","17"
-64.1930039660383,-31.3761553934638,407-SARGENTO CABRAL,SARGENTO CABRAL,36.09,"407","3,597","1,701","1,896",0.27%,"1,060","78"
-64.1726932933092,-31.4475111531909,406-SANTA RITA,SANTA RITA,16.49,"406","1,145","546","599",0.09%,"395","13"
-64.2417721699096,-31.4780759649089,405-SANTA ISABEL SECCION 3,SANTA ISABEL SECCION 3,49.46,"405","4,047","1,984","2,063",0.30%,"1,071","51"
-64.2314214735328,-31.4765694987008,404-SANTA ISABEL SECCION 2,SANTA ISABEL SECCION 2,88.55,"404","6,113","2,952","3,161",0.46%,"1,748","100"
-64.2324062857146,-31.4706991572602,403-SANTA ISABEL SECCION 1,SANTA ISABEL SECCION 1,79.33,"403","3,583","1,712","1,871",0.27%,"1,013","45"
-64.246541585744,-31.4762535311804,402-SANTA ISABEL ANEXO,SANTA ISABEL ANEXO,17.55,"402","1,361","680","681",0.10%,"328","24"
-64.1407980125362,-31.3807288135085,401-SANTA CLARA DE ASIS,SANTA CLARA DE ASIS,20.05,"401","1,839","928","911",0.14%,"481","8"
-64.2277242696327,-31.3576320292659,400-SANTA CECILIA,SANTA CECILIA,12.89,"400","1,089","540","549",0.08%,"317","40"
-64.1539750599537,-31.4243205159937,399-SAN VICENTE,SAN VICENTE,259.96,"399","18,145","8,346","9,799",1.36%,"5,733","291"
-64.2323869269285,-31.4009400687718,398-SAN SALVADOR,SAN SALVADOR,34.5,"398","2,101","1,026","1,075",0.16%,"648","4"
-64.1007723274352,-31.3408780235715,397-SAN RAMON,SAN RAMON,105.72,"397","356","187","169",0.03%,"96","11"
-64.2219912910859,-31.4254002097623,396-SAN RAFAEL,SAN RAFAEL,65.01,"396","5,172","2,401","2,771",0.39%,"1,698","20"
-64.2402160055799,-31.466073357489,395-SAN PEDRO NOLASCO,SAN PEDRO NOLASCO,40.77,"395","982","484","498",0.07%,"265","26"
-64.1609205677274,-31.4442248614309,394-SAN PABLO,SAN PABLO,28.03,"394","2,190","1,022","1,168",0.16%,"672","25"
-64.1513078024304,-31.3806758446016,393-SAN NICOLAS,SAN NICOLAS,22.06,"393","2,063","970","1,093",0.16%,"596","44"
-64.2025244371434,-31.3727739384295,392-SAN MARTIN NORTE,SAN MARTIN NORTE,23.09,"392","1,945","930","1,015",0.15%,"560","34"
-64.2031139721542,-31.3810124729714,391-SAN MARTIN ANEXO,SAN MARTIN ANEXO,33.95,"391","3,153","1,477","1,676",0.24%,"1,078","37"
-64.196540458099,-31.3938093272891,389-SAN MARTIN,SAN MARTIN,145.19,"389","13,157","6,519","6,638",0.99%,"4,358","207"
-64.2356214056744,-31.3625836463826,388-SAN MARCELO,SAN MARCELO,9.2,"388","270","124","146",0.02%,"91","0"
-64.2537276188054,-31.480037185052,387-SAN LUIS DE FRANCIA,SAN LUIS DE FRANCIA,7.27,"387","406","198","208",0.03%,"107","4"
-64.2167246301229,-31.375034879287,386-SAN LORENZO NORTE,SAN LORENZO NORTE,5.21,"386","419","195","224",0.03%,"140","5"
-64.1104826929887,-31.4555850114127,385-SAN LORENZO,SAN LORENZO,35.74,"385","1,988","908","1,080",0.15%,"618","17"
-64.2892805257168,-31.3396643850959,384-SAN JOSE,SAN JOSE,14.31,"384","548","255","293",0.04%,"166","2"
-64.1016938389538,-31.4556731937559,383-SAN JAVIER,SAN JAVIER,116.96,"383","1,637","848","789",0.12%,"413","36"
-64.2483281769605,-31.3901313573677,382-SAN IGNACIO,SAN IGNACIO,48.87,"382","2,787","1,369","1,418",0.21%,"755","82"
-64.2113739415651,-31.4261196823107,381-SAN FRANCISCO,SAN FRANCISCO,25.61,"381","1,123","531","592",0.08%,"362","2"
-64.1904852101721,-31.4475771620013,380-SAN FERNANDO,SAN FERNANDO,51.51,"380","4,094","1,980","2,114",0.31%,"1,612","65"
-64.136040573816,-31.4567629225238,379-SAN FELIPE,SAN FELIPE,80.34,"379","2,553","1,254","1,299",0.19%,"667","44"
-64.2027069336836,-31.4489648668651,378-SAN DANIEL,SAN DANIEL,20.5,"378","1,359","653","706",0.10%,"455","13"
